"area","year","est","lwr","upr","log_est","se","type"
"Coastwide",1999,484.975862640786,140.165085619472,1678.03263062752,6.18409912194807,0.63331684705627,"index"
"Coastwide",2000,931.639918991694,372.861525639204,2327.8157679876,6.83694638701883,0.467222504322438,"index"
"Coastwide",2001,2903.33002527258,1303.30565169442,6467.6503356602,7.97361364177684,0.408657772856062,"index"
"Coastwide",2002,1500.69433558091,627.57735889471,3588.53527286422,7.31368317037687,0.444812370400216,"index"
"OR",1999,36.9104649985758,7.13701174268944,190.889755478769,3.60849511513583,0.838383237030847,"index"
"OR",2000,79.2419840520315,16.8694122299787,372.229450018624,4.37250626003319,0.789302363423119,"index"
"OR",2001,294.590276248869,71.871997360163,1207.47208993648,5.68558549686082,0.719757498404028,"index"
"OR",2002,131.094643914412,31.0296369650874,553.851328727525,4.87591953497253,0.735205732058587,"index"
"CA",1999,448.06539764221,128.06099175144,1567.71080575373,6.10493919864133,0.639007940978387,"index"
"CA",2000,852.397934939663,342.027851205265,2124.33647414681,6.74805347757918,0.465907187459832,"index"
"CA",2001,2608.73974902371,1167.10407637369,5831.11927710997,7.86662252892464,0.410385968374769,"index"
"CA",2002,1369.5996916665,568.193260765113,3301.34734946885,7.22227378026077,0.44889200950871,"index"
"North of Cape Mendocino",1999,69.841272921889,16.6879066496251,292.295702856137,4.24622513762368,0.730391397257844,"index"
"North of Cape Mendocino",2000,147.836339849199,42.678115963793,512.102816313394,4.99610585007337,0.633899182698268,"index"
"North of Cape Mendocino",2001,535.009605632059,172.455165508461,1659.76633564234,6.28228470118727,0.577636843087146,"index"
"North of Cape Mendocino",2002,243.665502526938,75.9552587820406,781.682243912568,5.49579639347903,0.594731299133833,"index"
"South of Cape Mendocino",1999,415.134589718897,117.884571090555,1461.91079957947,6.0286027802284,0.642306111515548,"index"
"South of Cape Mendocino",2000,783.803579142496,312.329877483093,1966.98457293713,6.66415845215278,0.4694466482666,"index"
"South of Cape Mendocino",2001,2368.32041964052,1056.34534123458,5309.76129788286,7.7699362991982,0.411928926795608,"index"
"South of Cape Mendocino",2002,1257.02883305397,518.158496563044,3049.49450334213,7.13650614631761,0.452163907056107,"index"
"North of Monterey Bay",1999,356.02276866125,102.622972153169,1235.12512983973,5.8749946857205,0.634671293824453,"index"
"North of Monterey Bay",2000,692.044407546208,270.797853293122,1768.57185606111,6.53965012631332,0.478721813250458,"index"
"North of Monterey Bay",2001,2198.03862840897,940.963770790827,5134.49503790938,7.69532070915353,0.432873296527467,"index"
"North of Monterey Bay",2002,1117.96482469624,428.95275108767,2913.7133311045,7.01926519051547,0.488742865957604,"index"
"South of Monterey Bay",1999,128.953093979536,27.7618246169773,598.984421100548,4.85944872567686,0.783579124940599,"index"
"South of Monterey Bay",2000,239.595511445487,69.6915705169774,823.715245315645,5.4789521325328,0.630048700546938,"index"
"South of Monterey Bay",2001,705.2913968636,237.678244735933,2092.89644932574,6.55861104629995,0.554955707727774,"index"
"South of Monterey Bay",2002,382.729510884669,133.748922311563,1095.20043952798,5.94732850177814,0.536420149457415,"index"
