"area","year","est","lwr","upr","log_est","se","type"
"Coastwide",1980,13147.1020817313,5715.98075636629,30239.1313957718,9.48395663930716,0.424974883956578,"index"
"Coastwide",1983,8423.97420345866,4406.73058895825,16103.3990955442,9.03883699154163,0.330592126286593,"index"
"Coastwide",1986,14018.8131922973,7218.57687567272,27225.1894944618,9.54815550595679,0.338650305498713,"index"
"Coastwide",1989,17119.7361619823,11099.588604514,26405.0656919566,9.74798723847782,0.221087692395693,"index"
"Coastwide",1992,4957.96765065494,3044.58568013699,8073.82212473482,8.50875118789756,0.248795940381638,"index"
"WA",1980,9.88272008617089,0.771376767664873,126.615371885348,2.29078778623376,1.30123112318271,"index"
"WA",1983,6.835466123079,0.549688202996867,85.000181675769,1.92212466435086,1.28600767635567,"index"
"WA",1986,16.5454758298039,1.32204704093692,207.067344775129,2.80611270069431,1.28927439313704,"index"
"WA",1989,24.4317171612375,2.1616317883967,276.138057670516,3.19588217183909,1.2372772137114,"index"
"WA",1992,4.52152282020713,0.370044026080028,55.2479358475914,1.50884884422915,1.27705516784462,"index"
"OR",1980,212.007458251295,56.0402231051084,802.051809641656,5.35662145448383,0.678865408926937,"index"
"OR",1983,148.697314565299,43.7355254689867,505.559064898182,5.00191279389012,0.624374780304235,"index"
"OR",1986,331.243457237497,91.0877240007004,1204.57755604702,5.8028536253695,0.658701176847153,"index"
"OR",1989,484.885456562027,155.888217447986,1508.22114611589,6.18391269100742,0.578976707928075,"index"
"OR",1992,93.122290205357,26.108948689545,332.137499529547,4.53391357781039,0.648805524288957,"index"
"CA",1980,12925.2119033938,5607.27123443797,29793.6546606839,9.46693509408895,0.426087229902849,"index"
"CA",1983,8268.44142277025,4315.79056840736,15841.1587583158,9.02020130868108,0.331723191382198,"index"
"CA",1986,13671.02425923,7028.84100100153,26590.003141318,9.52303385443338,0.339422945110325,"index"
"CA",1989,16610.418988259,10724.3696555129,25727.0149974439,9.71778542734994,0.223224233766907,"index"
"CA",1992,4860.32383762936,2983.56581197108,7917.62250118489,8.48886034793171,0.248976974279011,"index"
"North of Cape Mendocino",1980,607.275038958762,217.907545804042,1692.38275609786,6.4089818003937,0.522923348317572,"index"
"North of Cape Mendocino",1983,420.806548520384,158.553853108683,1116.83284767768,6.04217322337557,0.498008600269203,"index"
"North of Cape Mendocino",1986,839.975508762278,311.093364734322,2267.99712016682,6.73337273517692,0.506784648971643,"index"
"North of Cape Mendocino",1989,1144.78105455589,501.331746199549,2614.08473092874,7.04296867897522,0.421283572288546,"index"
"North of Cape Mendocino",1992,261.392459866272,99.5799363504971,686.142415621254,5.56602295558003,0.492387748529089,"index"
"South of Cape Mendocino",1980,12539.8270427725,5401.5133653996,29111.7047436975,9.43666502164941,0.429717373457967,"index"
"South of Cape Mendocino",1983,8003.16765493827,4161.13716451754,15392.5934139391,8.98759269915902,0.333704614759643,"index"
"South of Cape Mendocino",1986,13178.8376835351,6750.62030205941,25728.2671691637,9.48636761627205,0.34132154738716,"index"
"South of Cape Mendocino",1989,15974.9551074264,10256.1594177974,24882.5296378921,9.67877746906504,0.226097902647117,"index"
"South of Cape Mendocino",1992,4696.57519078867,2880.71742570358,7657.05734478427,8.45458883926887,0.24938937392173,"index"
"North of Monterey Bay",1980,10488.6861472032,4543.01101996256,24215.7759712938,9.25805244542443,0.426899249458746,"index"
"North of Monterey Bay",1983,6747.37890392836,3530.71010906793,12894.6077890253,8.81690939792539,0.330442349602102,"index"
"North of Monterey Bay",1986,11377.9871137097,5862.54660504968,22082.3132814391,9.33943581274796,0.338320732200593,"index"
"North of Monterey Bay",1989,13887.2908462474,8673.87003387176,22234.2329658105,9.53872937325823,0.24013657194781,"index"
"North of Monterey Bay",1992,3992.32788728228,2353.72764921764,6771.67639377039,8.29212977015113,0.269583620010833,"index"
"South of Monterey Bay",1980,2658.4159345281,993.261240450694,7115.12237983452,7.88548571105195,0.502301066421356,"index"
"South of Monterey Bay",1983,1676.59529953027,725.245101023631,3875.89215623726,7.42452040862728,0.42756435686483,"index"
"South of Monterey Bay",1986,2640.82607858766,1145.8544552496,6086.25497365593,7.87884705575062,0.425998220134316,"index"
"South of Monterey Bay",1989,3232.4453157349,1867.06584408946,5596.32256799821,8.08099419348355,0.280041259722888,"index"
"South of Monterey Bay",1992,965.639763372664,532.974881397554,1749.53864647681,6.87279084889886,0.303228302849065,"index"
