"area","year","est","lwr","upr","log_est","se","type"
"Coastwide",1995,19879.5285285732,9863.84527494136,40065.0703151569,9.8974457640628,0.357564940326849,"index"
"Coastwide",1998,10880.2353004819,5381.75636551072,21996.447284848,9.2947031470586,0.359156132837943,"index"
"Coastwide",2001,11623.8429826216,5651.11940443293,23909.1967475779,9.36081369712565,0.367968377796551,"index"
"Coastwide",2004,49446.0419773265,24279.3338000171,100699.264953547,10.808637292944,0.362892630669421,"index"
"OR",1995,450.604142855263,136.501005897798,1487.49155526628,6.11058922204213,0.609326113974429,"index"
"OR",1998,213.924815059581,65.3046662173707,700.774219501377,5.3656246217932,0.605399455944382,"index"
"OR",2001,217.850241566996,66.5772913333522,712.836566347715,5.3838078614313,0.604829640927129,"index"
"OR",2004,1856.25399234708,618.992302549041,5566.59407542712,7.52631575330807,0.560328110446851,"index"
"CA",1995,19428.9243857179,9621.92077232437,39231.5746219511,9.87451818240981,0.358536687276162,"index"
"CA",1998,10666.3104854223,5264.95478470146,21608.9565862968,9.27484550056457,0.360219712965801,"index"
"CA",2001,11405.9927410546,5532.68517803767,23514.2008306234,9.34189417530164,0.369121901571639,"index"
"CA",2004,47589.7879849794,23242.7799215181,97440.4924067866,10.7703734790722,0.36563103350224,"index"
"North of Cape Mendocino",1995,1043.5041859025,399.279716209834,2727.16329377418,6.95033973791553,0.490150600259446,"index"
"North of Cape Mendocino",1998,509.694353223884,194.230988196606,1337.52258648527,6.23381123865776,0.492235130171542,"index"
"North of Cape Mendocino",2001,523.850526376401,199.73373993415,1373.92597803108,6.26120638862123,0.49195863647275,"index"
"North of Cape Mendocino",2004,3846.38589089882,1609.2425957881,9193.56998157266,8.25488925676256,0.444584876939779,"index"
"South of Cape Mendocino",1995,18836.0243426707,9287.24588161259,38202.4787068606,9.84352650371081,0.360786821579703,"index"
"South of Cape Mendocino",1998,10370.540947258,5098.3139383774,21094.8405372195,9.24672446449737,0.362281810464021,"index"
"South of Cape Mendocino",2001,11099.9924562453,5360.73323219821,22983.7649425764,9.31469970768265,0.371355632890654,"index"
"South of Cape Mendocino",2004,45599.6560864277,22082.4238024225,94162.1560117135,10.7276554535097,0.369965056094187,"index"
"North of Monterey Bay",1995,16663.9359681302,7997.60925703129,34721.2214332436,9.72100214040643,0.374549845338229,"index"
"North of Monterey Bay",1998,9116.22577800176,4345.39764107265,19124.9637662595,9.11781115728153,0.378036847963111,"index"
"North of Monterey Bay",2001,9738.23683121502,4553.94914776011,20824.3995494497,9.18381535676063,0.387795532313016,"index"
"North of Monterey Bay",2004,41572.8267643337,19776.3810434906,87392.1230267848,10.635202030039,0.37906737463124,"index"
"South of Monterey Bay",1995,3215.59256044298,1418.51131051567,7289.35711553635,8.07576693086828,0.417560582506592,"index"
"South of Monterey Bay",1998,1764.00952248011,779.563981362934,3991.62823038615,7.47534463478352,0.416645344553074,"index"
"South of Monterey Bay",2001,1885.60615140666,827.059740774495,4298.9767037785,7.54200461392391,0.420481034382338,"index"
"South of Monterey Bay",2004,7873.21521299268,3548.17047345777,17470.2760912418,8.97122179838722,0.406657680772411,"index"
