"area","year","est","lwr","upr","log_est","se","type"
"Coastwide",2003,60481.5304904903,37514.0879896304,97510.448114406,11.0100933162622,0.24368891413191,"index"
"Coastwide",2004,135238.591745706,81377.6093035495,224748.267415173,11.8147958437663,0.259158027189227,"index"
"Coastwide",2005,110475.566627153,68106.6958075507,179201.922467034,11.6125496589937,0.246799865885211,"index"
"Coastwide",2006,65743.7505119716,39772.3518001,108674.507182889,11.093519896275,0.256429520520329,"index"
"Coastwide",2007,113040.223493764,64738.7958944928,197379.205945461,11.6354989944775,0.284384341071218,"index"
"Coastwide",2008,33439.6319633296,20306.6344463814,55066.1897615532,10.4174970612568,0.254491477158032,"index"
"Coastwide",2009,41348.550050353,24312.6374207226,70321.5600052218,10.6297926345493,0.270944306184732,"index"
"Coastwide",2010,40216.1595689698,25375.8737880825,63735.3221403711,10.6020241731627,0.234938001945576,"index"
"Coastwide",2011,34768.9962797426,21272.1670485811,56829.3347612364,10.4564813571634,0.250681428417736,"index"
"Coastwide",2012,42273.4046785677,26385.595367459,67727.8916102034,10.651913436297,0.24048397307869,"index"
"Coastwide",2013,69511.8560132653,42948.2474961787,112505.129035564,11.149252607123,0.245668536610696,"index"
"Coastwide",2014,58493.0615302832,37900.3960641904,90274.4721028967,10.9766634198657,0.221405383991863,"index"
"Coastwide",2015,47481.0378707031,29530.7315262479,76342.4690402713,10.7680857075981,0.24229984050989,"index"
"Coastwide",2016,79758.9212852899,51687.5667804847,123075.739889442,11.2867638800369,0.221326177260808,"index"
"Coastwide",2017,97742.0561449239,58032.919234051,164622.24657194,11.4900872074857,0.265985247727499,"index"
"Coastwide",2018,115315.134090563,71797.4501051063,185209.643669209,11.6554239560179,0.241749194988318,"index"
"Coastwide",2019,107258.471166963,58919.1646848069,195257.00506139,11.5829968189108,0.305656190760659,"index"
"Coastwide",2021,58146.110706378,37668.9431366211,89754.8460018101,10.9707142718988,0.221495410562411,"index"
"Coastwide",2022,40522.4754265278,25588.3135208586,64172.6940446857,10.6096120479706,0.23455585329625,"index"
"Coastwide",2023,62181.5805420501,38419.8666668655,100639.31226607,11.0378141021068,0.245659685584907,"index"
"Coastwide",2024,63047.0718797088,40916.9670750716,97146.3321147985,11.0516368990729,0.220584053362448,"index"
"WA",2003,34.614760045018,9.00469507042293,133.061875344314,3.54428018199613,0.687019800779295,"index"
"WA",2004,88.5034445246981,23.6322312224723,331.448165812118,4.4830414724395,0.673701135744424,"index"
"WA",2005,54.8737299372049,13.8798611790161,216.942100384519,4.00503472647519,0.7013372611951,"index"
"WA",2006,28.5708885428292,6.9599842009313,117.284127170511,3.35238831631312,0.720529113335676,"index"
"WA",2007,48.4690442776051,11.7387069266322,200.128367448597,3.88092533184991,0.72349985879177,"index"
"WA",2008,13.0854827251999,3.18441967597888,53.7711343272839,2.57150342679571,0.721050677902526,"index"
"WA",2009,16.7227479354087,4.13102801534762,67.6950864221349,2.81676994435641,0.713402728447496,"index"
"WA",2010,21.3790213519286,5.67111228293535,80.5948694300308,3.06241013055151,0.67706594237862,"index"
"WA",2011,19.3179842620684,4.82273634767877,77.3802441282401,2.9610364890797,0.708020670818702,"index"
"WA",2012,25.561069880513,6.65930912765796,98.1135251287331,3.24107048624339,0.686265029494115,"index"
"WA",2013,61.1664787026134,17.5809440466834,212.806440140116,4.11359930584,0.636125829260313,"index"
"WA",2014,39.7970153225915,11.0123573398351,143.820471830993,3.68379191758367,0.655508923084517,"index"
