"area","year","est","lwr","upr","log_est","se","type"
"Coastwide",2003,56239.5738525027,32731.6007612728,96631.0719166952,10.9373759491533,0.276168174032383,"index"
"Coastwide",2004,171560.867492287,97048.8010432313,303281.76070506,12.0526933951131,0.290680933474871,"index"
"Coastwide",2005,169876.739309964,98411.2230952313,293239.994900377,12.0428283901646,0.278534841501391,"index"
"Coastwide",2006,100528.463074757,55555.7009759334,181907.017833341,11.5181961810578,0.302584520993355,"index"
"Coastwide",2007,168301.222958365,90732.3007798762,312185.422455017,12.0335106466906,0.315231275261672,"index"
"Coastwide",2008,56227.3917856917,32062.257131886,98605.6463216848,10.9371593154637,0.286599393072555,"index"
"Coastwide",2009,55408.2105216813,31472.3927517898,97548.0262154637,10.9224830661167,0.288585428417882,"index"
"Coastwide",2010,39428.7956870213,23618.2077321276,65823.3658947001,10.5822516833421,0.261473414696169,"index"
"Coastwide",2011,48467.4515562074,28053.3533675984,83736.6510011068,10.788647749702,0.278976705981647,"index"
"Coastwide",2012,61686.4128289221,37004.6792441472,102830.604275595,11.0298189721733,0.260728935080387,"index"
"Coastwide",2013,92331.3769441427,54443.3772837663,156586.229468599,11.4331393079463,0.269506389129997,"index"
"Coastwide",2014,87573.3875569078,54757.3497679046,140056.051666101,11.380232435757,0.239578664942636,"index"
"Coastwide",2015,55665.9169629414,33363.6457653994,92876.3700799947,10.9271233349085,0.261178880281118,"index"
"Coastwide",2016,119413.885920253,73085.9317766851,195108.358119395,11.6903507706682,0.250494192280813,"index"
"Coastwide",2017,63890.1568903563,37851.2850538506,107841.837910311,11.0649205892258,0.267096938434207,"index"
"Coastwide",2018,95471.1381724867,55976.5555206497,162831.35214684,11.4665792627026,0.272398389089038,"index"
"Coastwide",2019,86149.4741872368,44116.3044548224,168231.042795927,11.3638391384811,0.341462616213494,"index"
"Coastwide",2021,73763.32641189,46010.5729435896,118256.043671047,11.2086169549887,0.240815883889378,"index"
"Coastwide",2022,98010.1077532178,59047.4860373789,162682.306503556,11.4928258926731,0.258539773897681,"index"
"Coastwide",2023,102049.563074931,60143.0593862541,173155.696269162,11.5332138867485,0.269766467444655,"index"
"Coastwide",2024,95012.5629740198,58177.029137229,155170.988563169,11.4617644036713,0.25026915805322,"index"
"WA",2003,17.4709387090764,2.68417429244893,113.716050494554,2.86053885533416,0.955714347576919,"index"
"WA",2004,60.9576337352141,9.40909903524173,394.919119958125,4.11017909394544,0.953334808766074,"index"
"WA",2005,45.5733738657007,6.84171336782172,303.569046793346,3.81932363952665,0.967510353172928,"index"
"WA",2006,21.9204040251387,3.14879775660044,152.599229854662,3.08741789371372,0.990016752147252,"index"
"WA",2007,37.1500496236313,5.31899684683678,259.471142168289,3.61496510692684,0.991691887866115,"index"
"WA",2008,11.8593656767091,1.71687247602937,81.9190453674098,2.47311790788201,0.986045465812454,"index"
"WA",2009,12.7821899197004,1.87227798211407,87.2650219166736,2.54805278948888,0.980067461897497,"index"
"WA",2010,9.9508150958484,1.49544399815294,66.2135935508552,2.29765446699605,0.966972521160648,"index"
"WA",2011,16.0126437497877,2.43608947878174,105.25260344125,2.77337864453074,0.960724063484034,"index"
"WA",2012,19.9061933279968,3.14044652552568,126.178404755756,2.99103090582317,0.942193797946341,"index"
"WA",2013,45.2340748771631,7.41543393572035,275.927416753937,3.8118506717855,0.922612451470318,"index"
"WA",2014,32.3552930293477,5.16692022744011,202.60908644483,3.47677762516263,0.935987002466023,"index"
"WA",2015,17.7462124125461,2.78241906465718,113.184983165002,2.87617210794289,0.945349713611308,"index"
"WA",2016,39.1087541868215,6.11722163628987,250.030936425719,3.66634633417726,0.946567557549972,"index"
"WA",2017,19.4276806463602,3.06280822815798,123.231605500797,2.96669888654524,0.942551334811001,"index"
"WA",2018,23.9498079760089,3.57694079305805,160.358623548061,3.1759603061216,0.97014660121439,"index"
"WA",2019,24.8057381022085,3.6411303801043,168.992751854641,3.2110750014969,0.978987797330695,"index"
"WA",2021,32.4799201348001,5.51017525468313,191.454021551563,3.48062205638652,0.905131747860291,"index"
"WA",2022,28.7846465222127,4.51907846130152,183.346202661439,3.3598421381223,0.944677585870072,"index"
"WA",2023,28.8487271378832,4.3748814939264,190.233508869084,3.36206587197674,0.962357703771377,"index"
"WA",2024,31.1600613803666,4.85796075548028,199.867696364752,3.43913719084549,0.948241117329896,"index"
"OR",2003,1874.29506496007,831.554303474344,4224.59721013524,7.53598790235719,0.414646036570366,"index"
"OR",2004,6509.9017066651,2954.74342582489,14342.6396552893,8.78107963626606,0.403024006338027,"index"
"OR",2005,5401.60360442163,2474.66015101995,11790.435744187,8.59445115224913,0.398268950629208,"index"
"OR",2006,3165.73069874329,1396.70226523037,7175.36665218529,8.06013917641354,0.417492347161951,"index"
"OR",2007,5058.2318786229,2134.88719479303,11984.5722061195,8.52877227011404,0.440111751447382,"index"
"OR",2008,1555.56420226698,678.34971913474,3567.15705648263,7.34959358984593,0.423441773166696,"index"
"OR",2009,1674.66015402934,706.322268116833,3970.54823001797,7.42336553055676,0.440464178731628,"index"
"OR",2010,1257.99151204821,561.514109650729,2818.34884856182,7.13727169005814,0.41155592350757,"index"
"OR",2011,1687.67224928717,749.087224743205,3802.27766131032,7.43110549118918,0.414420910755703,"index"
"OR",2012,1954.92454673983,897.392930565725,4258.70301990978,7.57810687665667,0.397258861373038,"index"
"OR",2013,3977.15491229682,1917.74817140397,8248.09087672164,8.28832199649756,0.372157372749349,"index"
"OR",2014,3470.57459570142,1749.67219796407,6884.08265179249,8.15207544877178,0.349440969452193,"index"
"OR",2015,2480.5596101064,1180.27865961999,5213.32477643232,7.81623946294052,0.378952688416019,"index"
"OR",2016,4437.34697200123,2156.56922226324,9130.26484225931,8.39781194800622,0.368138414158607,"index"
"OR",2017,2426.72614079094,1150.98730219056,5116.47674234996,7.79429836078999,0.380579944321991,"index"
"OR",2018,3315.07183642487,1534.45562554536,7161.95444019538,8.10623457249825,0.393019271166027,"index"
"OR",2019,3015.19458722207,1214.90710021665,7483.20459827094,8.0114196467875,0.463782376529981,"index"
"OR",2021,3071.96002337108,1550.17771292096,6087.64937499212,8.03007108095733,0.348958567358243,"index"
"OR",2022,3737.07051827008,1817.30200900018,7684.85149378492,8.22605729959646,0.367837897895244,"index"
"OR",2023,3664.97848693864,1663.22632006458,8075.91074508819,8.20657774443685,0.403100867819778,"index"
"OR",2024,3483.26181454534,1657.3269869146,7320.89259661282,8.1557244368046,0.378967730021344,"index"
"CA",2003,54347.8078488336,31568.4378814782,93564.4718646885,10.9031595577678,0.277171653576922,"index"
"CA",2004,164990.008151888,93058.5918869911,292522.18669951,12.0136401943939,0.292176593480667,"index"
"CA",2005,164429.562331677,94992.0720783971,284624.604738311,12.0102375649744,0.279948434771416,"index"
"CA",2006,97340.811971989,53627.8931533464,176684.801848772,11.4859736249593,0.304163251625585,"index"
"CA",2007,163205.84103012,87759.128150824,303514.256665945,12.0027675114974,0.316544771211319,"index"
"CA",2008,54659.968217748,31106.3826697821,96048.2019809909,10.9088868780283,0.287616800525329,"index"
"CA",2009,53720.7681777323,30445.344030099,94790.2224639853,10.8915549501949,0.289733178080204,"index"
"CA",2010,38160.8533598771,22804.9115182706,63856.8901259424,10.5495654879924,0.262675377120099,"index"
"CA",2011,46763.7666631704,26986.8317383091,81033.9610715812,10.7528639654464,0.280494772946418,"index"
"CA",2012,59711.5820888544,35735.591892162,99773.7226883885,10.9972812854026,0.261932793949991,"index"
"CA",2013,88308.9879569686,51889.4968503984,150290.09389834,11.3885971702791,0.271293502648057,"index"
"CA",2014,84070.4576681774,52384.5168252658,134922.34501489,11.3394105080086,0.241353497068115,"index"
"CA",2015,53167.6111404224,31737.571437372,89067.7750803115,10.8812046767778,0.26324371465751,"index"
"CA",2016,114937.430194065,70120.7306333793,188398.106241736,11.6521431740083,0.252131885671412,"index"
"CA",2017,61444.0030689191,36263.8981537317,104108.099386575,11.0258815198156,0.269037359780986,"index"
"CA",2018,92132.1165280859,53840.9974784395,157655.453900979,11.4309788751169,0.274080742549492,"index"
"CA",2019,83109.473861912,42482.9361791473,162587.270721514,11.3279139799039,0.342381907308044,"index"
"CA",2021,70658.886468384,43889.0730225187,113756.748391344,11.1656191617794,0.242962882760886,"index"
"CA",2022,94244.2525884257,56544.9247903278,157078.2732294,11.4536451229567,0.260644785703721,"index"
"CA",2023,98355.7358608552,57814.4350912976,167325.872188388,11.4963461430201,0.271103133357156,"index"
"CA",2024,91498.1410980943,55864.6881207176,149860.49517212,11.4240739351894,0.251732264902112,"index"
"North of Point Conception",2003,53439.2606075018,31034.6610093767,92018.2299852951,10.8863009721773,0.277270919529638,"index"
"North of Point Conception",2004,163321.16774192,92147.8276508269,289467.527478333,12.003473895432,0.292007665029221,"index"
"North of Point Conception",2005,162261.957572867,93754.3487347547,280829.030660406,11.9969673302968,0.279869428909225,"index"
"North of Point Conception",2006,96369.4238646237,53146.0783417066,174746.023521955,11.4759442504589,0.303650811358517,"index"
"North of Point Conception",2007,161132.807538038,86644.3178080146,299659.369730633,11.9899841954712,0.316545346616533,"index"
"North of Point Conception",2008,53849.0622367591,30608.1236628725,94736.9899480541,10.8939402680737,0.288229549442645,"index"
"North of Point Conception",2009,52710.2886922802,29822.6563354867,93163.2146636608,10.8725659468269,0.290588137321778,"index"
"North of Point Conception",2010,37513.3225017314,22373.7722461003,62897.2776534897,10.5324514155791,0.263681756246895,"index"
"North of Point Conception",2011,46251.3198485765,26693.2617961889,80139.4975282018,10.7418452797999,0.280453538320734,"index"
"North of Point Conception",2012,58674.0806538715,35073.4992394217,98155.2401451743,10.9797533521495,0.262531474731044,"index"
"North of Point Conception",2013,87678.2825264653,51572.20587494,149062.486204923,11.3814295140163,0.270765870030745,"index"
"North of Point Conception",2014,83179.4146774985,51829.0216950107,133493.066236234,11.3287551764544,0.241356292485581,"index"
"North of Point Conception",2015,53232.5519037092,31822.8514122481,89046.2185638853,10.8824253660981,0.262497403822912,"index"
"North of Point Conception",2016,113808.953225889,69424.3677357831,186569.618950905,11.6422764726753,0.252189974711459,"index"
"North of Point Conception",2017,61042.5925798219,36055.4640052477,103346.280838982,11.0193271385135,0.268634242274542,"index"
"North of Point Conception",2018,91343.6993433484,53404.3796351458,156235.714500033,11.4223845867219,0.273850210376807,"index"
"North of Point Conception",2019,82610.4907826405,42231.4280372677,161597.499883886,11.3218919584981,0.342338941290925,"index"
"North of Point Conception",2021,70118.5104470703,43581.3867343896,112814.342904703,11.1579420958984,0.24263541127593,"index"
"North of Point Conception",2022,92972.2338219118,55790.8389292707,154932.896291352,11.4400561665025,0.260561526913052,"index"
"North of Point Conception",2023,97097.3509951952,57018.4787619863,165348.072677267,11.4834693727043,0.271606363085106,"index"
"North of Point Conception",2024,90143.6292315933,54875.6886879099,148077.848047732,11.4091595575996,0.253236213060301,"index"
"South of Point Conception",2003,2800.31324500096,1078.55361206727,7270.6207483719,7.93748656312058,0.486799959697363,"index"
"South of Point Conception",2004,8239.69975036701,3120.97036150312,21753.6996870101,9.01671918417738,0.495325396835802,"index"
"South of Point Conception",2005,7614.78173709722,2942.42903837443,19706.4738511634,8.93784660268569,0.4851394655426,"index"
"South of Point Conception",2006,4159.03921013382,1507.26223540027,11476.1763050721,8.3330393674777,0.517861134413321,"index"
"South of Point Conception",2007,7168.41542032741,2555.85532706646,20105.2771235559,8.87743990782023,0.526181962201177,"index"
"South of Point Conception",2008,2378.32954893266,900.516317076615,6281.34253212536,7.77415365004296,0.495511842683463,"index"
"South of Point Conception",2009,2697.92182940104,1029.79636637478,7068.17622903679,7.90023706281239,0.491397143661909,"index"
"South of Point Conception",2010,1915.47318528985,782.949128583004,4686.1761379117,7.55771996523815,0.456463612748043,"index"
"South of Point Conception",2011,2216.13170763086,859.045883822233,5717.08664002305,7.70351848095247,0.483527326255727,"index"
"South of Point Conception",2012,3012.33217505063,1176.98454395884,7709.65530466859,8.01046986672031,0.47947763259155,"index"
"South of Point Conception",2013,4653.09441767756,1803.41970291105,12005.6843256581,8.44528774342419,0.48360468583596,"index"
"South of Point Conception",2014,4393.97287940913,1778.22087275426,10857.4800581879,8.38798908073823,0.461549525460241,"index"
"South of Point Conception",2015,2433.36505923227,929.083788672919,6373.23090089674,7.79703037642404,0.491249562208158,"index"
"South of Point Conception",2016,5604.93269436404,2244.90467788167,13994.0331622432,8.63140232729215,0.466837143424788,"index"
"South of Point Conception",2017,2847.56431053443,1123.04729460806,7220.1968176766,7.95421927997743,0.474711892128083,"index"
"South of Point Conception",2018,4127.43882913829,1577.60886742338,10798.4631932895,8.32541235536666,0.490696134362149,"index"
"South of Point Conception",2019,3538.98340459628,1212.35407985756,10330.6482372538,8.17159479104266,0.546579187389441,"index"
"South of Point Conception",2021,3644.81596481958,1499.22190659972,8861.05209570593,8.20106115340668,0.453253037731081,"index"
"South of Point Conception",2022,5037.87393130607,2022.64986285717,12547.9818399619,8.52473943303973,0.465608397002421,"index"
"South of Point Conception",2023,4952.21207973622,1941.97340801588,12628.599537695,8.50758964053466,0.477625962646728,"index"
"South of Point Conception",2024,4868.93374242663,2077.74305895478,11409.7437053002,8.49063024804464,0.43449407182428,"index"
"North of Cape Mendocino",2003,3513.43639069859,1854.4852335156,6656.4214415899,8.16434986621295,0.326019986525484,"index"
"North of Cape Mendocino",2004,12195.2473688468,6408.80936962872,23206.1916355581,9.40880159489257,0.328257464460231,"index"
"North of Cape Mendocino",2005,10490.5556728387,5641.48520705084,19507.5860852003,9.25823067165934,0.316499707210585,"index"
"North of Cape Mendocino",2006,6226.95559690887,3181.46330108568,12187.7803816384,8.73664282411134,0.342631957474783,"index"
"North of Cape Mendocino",2007,10112.7729202785,5093.40550138187,20078.5458980974,9.22155454941082,0.34993122922117,"index"
"North of Cape Mendocino",2008,3042.43587496761,1547.84342341849,5980.20181708473,8.0204137482115,0.344800135191599,"index"
"North of Cape Mendocino",2009,3406.04447787745,1757.63744522536,6600.4163809744,8.1333069198213,0.33754757712292,"index"
"North of Cape Mendocino",2010,2357.25614942001,1259.31301275972,4412.45067562776,7.76525357306866,0.319869117355006,"index"
"North of Cape Mendocino",2011,3107.15074866362,1621.46014172088,5954.130802546,8.04146142725808,0.331832160212453,"index"
"North of Cape Mendocino",2012,3873.94147728336,2114.83759443152,7096.25297419135,8.26202773731782,0.308829366796057,"index"
"North of Cape Mendocino",2013,7180.33330812583,3957.76082821734,13026.8575221115,8.87910108270936,0.303917516089544,"index"
"North of Cape Mendocino",2014,6566.25198181773,3813.80641415053,11305.1530168787,8.78969847408693,0.27720685183338,"index"
"North of Cape Mendocino",2015,4261.13409757492,2342.05184579992,7752.71641833106,8.35729062392114,0.305366806393165,"index"
"North of Cape Mendocino",2016,8184.10024467585,4608.6971330211,14533.2823749685,9.00994855641713,0.292989096976181,"index"
"North of Cape Mendocino",2017,4413.81847257199,2425.85803201829,8030.88773196226,8.39249546059085,0.30539076069072,"index"
"North of Cape Mendocino",2018,6354.42786273496,3439.15840581004,11740.8821281647,8.7569071501033,0.313232836921399,"index"
"North of Cape Mendocino",2019,5609.58633855588,2602.79408190937,12089.8764556237,8.63223225935528,0.391788559144006,"index"
"North of Cape Mendocino",2021,5497.43120868233,3185.60654062802,9486.96881072966,8.6120362091505,0.278391963812097,"index"
"North of Cape Mendocino",2022,6893.76517808221,3881.4009483898,12244.0322353851,8.83837268471576,0.293077450721829,"index"
"North of Cape Mendocino",2023,6759.41045717106,3607.74688258871,12664.3113320991,8.8186909547563,0.320338656975484,"index"
"North of Cape Mendocino",2024,6563.89097735472,3668.96126749046,11743.0143360626,8.78933884289391,0.29677839994833,"index"
"South of Cape Mendocino",2003,52726.137461804,30526.2984583405,91070.5100860826,10.8728665785956,0.278843257985626,"index"
"South of Cape Mendocino",2004,159365.620123441,89586.1578328424,283496.931799637,11.9789563390354,0.293883073884589,"index"
"South of Cape Mendocino",2005,159386.183637126,91755.0824703358,276867.012163829,11.9790853642737,0.281743547062493,"index"
"South of Cape Mendocino",2006,94301.5074778487,51803.3936887383,171663.933178339,11.4542524544731,0.305639041263049,"index"
"South of Cape Mendocino",2007,158188.450038088,84728.0860938094,295339.914768605,11.9715423230416,0.318546619898849,"index"
"South of Cape Mendocino",2008,53184.9559107241,30197.0380557468,93672.747969642,10.8815308517059,0.28879700608885,"index"
"South of Cape Mendocino",2009,52002.1660438038,29362.7183994915,92097.2382888831,10.8590406513846,0.291617391396994,"index"
"South of Cape Mendocino",2010,37071.5395376012,22086.850428482,62222.4996786191,10.5206048258354,0.264222772834224,"index"
"South of Cape Mendocino",2011,45360.3008075438,26102.95802222,78824.6637641363,10.7223925699393,0.281938164795055,"index"
"South of Cape Mendocino",2012,57812.4713516389,34479.9563177395,96934.0509884727,10.9649597987154,0.263691753982307,"index"
"South of Cape Mendocino",2013,85151.0436360165,49844.7668177419,145465.626488235,11.3521819424575,0.273226016081473,"index"
"South of Cape Mendocino",2014,81007.1355750904,50274.8469734417,130525.628800971,11.3022925232942,0.243388325607549,"index"
"South of Cape Mendocino",2015,51404.7828653665,30572.8943871986,86431.1918907463,10.8474864989696,0.26511579397591,"index"
"South of Cape Mendocino",2016,111229.785675577,67615.4777446932,182976.821788498,11.6193534817262,0.253964506036114,"index"
"South of Cape Mendocino",2017,59476.3384177845,34974.787539152,101142.425172044,10.9933338387899,0.270898403292982,"index"
"South of Cape Mendocino",2018,89116.7103097518,51889.3009016901,153052.515998988,11.3977021414384,0.275940908165474,"index"
"South of Cape Mendocino",2019,80539.8878486803,41076.5937256902,157916.539477349,11.2965078419123,0.343533914239534,"index"
"South of Cape Mendocino",2021,68265.8952032075,42233.7163422128,110343.887573952,11.1311655826813,0.245000132651703,"index"
"South of Cape Mendocino",2022,91116.342575136,54451.8086705029,152468.54212883,11.4198924587634,0.262668660202796,"index"
"South of Cape Mendocino",2023,95290.1526177609,55830.8148600238,162638.02003753,11.4646817539546,0.272760379575478,"index"
"South of Cape Mendocino",2024,88448.6719966652,53811.5232743495,145380.898029749,11.3901776853052,0.25354280933444,"index"
"North of Monterey Bay",2003,51319.8090506686,29660.6546133788,88795.1677172058,10.845832097964,0.279727289001765,"index"
"North of Monterey Bay",2004,157321.430194729,88363.9528330952,280091.956108661,11.9660463174956,0.294304859662339,"index"
"North of Monterey Bay",2005,156857.084197896,90318.9196552604,272414.074005511,11.9630903780302,0.281631777386498,"index"
"North of Monterey Bay",2006,93111.4342778534,51179.6834992334,169398.061897137,11.4415522728865,0.305339461328697,"index"
