Label,Base,Add rec CPUE,Add trawl CPUE,Add rec and trawl CPUE,Upweight CalCOFI,Upweight WCGBTS
N.Parms,106,106,106,106,106,106
TOTAL,2633.05,2637.08,2621.66,2630.71,2675.08,2525.81
Survey,29.2722,30.659,17.2882,25.2529,58.8676,-99.4892
Length_comp,569.289,571.537,570.464,571.218,567.102,585.714
Age_comp,2011.06,2010.95,2010.75,2010.68,2027.48,2014.79
Recruitment,23.3966,23.9337,23.0725,23.5486,21.484,24.1754
Parm_priors,0.0245204,0.00110956,0.0809657,0.000708823,0.144914,0.618736
NatM_uniform_Fem_GP_1,0.165249,0.152049,0.174784,0.156097,0.130571,0.217817
L_at_Amax_Fem_GP_1,47.9006,47.8712,47.9111,47.8823,47.9413,47.8772
VonBert_K_Fem_GP_1,0.196942,0.197405,0.196926,0.197483,0.196149,0.196622
CV_young_Fem_GP_1,0.105029,0.104567,0.105349,0.104986,0.104958,0.104405
CV_old_Fem_GP_1,0.0386426,0.0388739,0.0384857,0.0386825,0.0381388,0.0392768
NatM_uniform_Mal_GP_1,0.265697,0.302372,0.242787,0.293223,0.362158,0.148555
L_at_Amax_Mal_GP_1,-0.32826,-0.328072,-0.32761,-0.32745,-0.327987,-0.330006
VonBert_K_Mal_GP_1,0.526306,0.5275,0.522861,0.524375,0.530398,0.525464
CV_young_Mal_GP_1,0.235858,0.239833,0.236182,0.239721,0.237069,0.231213
SR_LN(R0),10.0316,9.79785,10.2143,9.87248,9.64101,10.8378
Q_extraSD_CalCOFI_Survey(11),0.35495,0.323267,0.384816,0.338125,0.281405,0.420925
Size_DblN_peak_NoCA_HKL(1),40.9735,41.1141,40.3232,40.5485,42.1564,40.9037
Size_DblN_ascend_se_NoCA_HKL(1),4.39925,4.42181,4.32897,4.37009,4.53662,4.34763
Size_DblN_peak_SoCA_HKL(2),23.7993,23.7723,23.8171,23.7747,23.7261,23.9574
Size_DblN_peak_CA_TWL(3),44.9044,45.0292,44.8068,44.8527,44.7978,45.4268
Size_DblN_ascend_se_CA_TWL(3),4.55625,4.55694,4.55462,4.55521,4.55566,4.5421
Size_DblN_peak_OR_WA_Comm(4),42.7525,42.441,43.0236,42.4057,41.7023,46.3481
Size_DblN_ascend_se_OR_WA_Comm(4),4.55947,4.5369,4.5831,4.53374,4.45541,4.79984
Size_DblN_peak_CA_NET(5),46.9908,46.9827,46.9832,47.1247,47.4116,46.8056
Size_DblN_ascend_se_CA_NET(5),4.42563,4.43658,4.4256,4.44986,4.44613,4.38675
Size_DblN_peak_NoCA_OR_WA_Rec(6),43.8942,43.8918,43.8625,43.4429,44.2401,45.4926
Size_DblN_ascend_se_NoCA_OR_WA_Rec(6),5.13617,5.16766,5.12348,5.13309,5.17118,5.13838
Size_DblN_peak_SoCA_Rec(7),24.7079,24.6642,24.7349,24.6628,24.6164,25.0772
Size_DblN_ascend_se_SoCA_Rec(7),2.92383,2.91751,2.92714,2.91515,2.9129,2.99692
Size_DblN_descend_se_SoCA_Rec(7),3.31823,3.33497,3.31126,3.3513,3.37099,3.11163
Size_DblN_end_logit_SoCA_Rec(7),-1.11196,-1.14603,-1.09587,-1.1596,-1.22042,-0.790641
Size_DblN_peak_TWL_discard(8),29.5523,29.5009,29.5848,29.5026,29.4445,30.3014
Size_DblN_ascend_se_TWL_discard(8),4.16685,4.16911,4.16503,4.16661,4.16248,4.18099
Size_DblN_descend_se_TWL_discard(8),3.19313,3.19848,3.1871,3.19567,3.20749,3.07583
Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875,51.6041,51.816,51.5027,51.8811,50.864,51.8776
Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875,4.15685,4.17818,4.14635,4.18217,4.11015,4.16157
Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875,48.8295,49.0631,48.3984,48.7318,49.2153,48.6881
Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875,4.8242,4.845,4.79016,4.82248,4.83883,4.78197
Size_DblN_peak_CA_TWL(3)_BLK3repl_1875,33.7915,33.6334,33.5178,33.4018,33.7144,34.3045
Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875,3.28981,3.2695,3.21001,3.20227,3.28801,3.36634
Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875,30.6778,30.5506,30.8168,30.697,30.0348,31.3928
Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875,3.75181,3.74092,3.76393,3.75758,3.67057,3.83531
Bratio_2025,0.83247,0.708591,0.908274,0.7638,0.590728,0.911136
SSB_unfished,11922.2,11179.1,12735.9,11437.5,12906.2,14555
Totbio_unfished,52043.2,47055.2,57048.9,48626.1,51255,73574.3
Recr_unfished,22733.5,17995,27290.9,19389.3,15382.9,50911.8
Dead_Catch_SPR,2113.52,1797.78,2415.54,1894.3,1746.44,3688.39
OFLCatch_2025,3616.72,2658.7,4458.48,2987.56,2204.33,7112.34
