Label,Base,No CalCOFI,No RREAS,No Triennial,No WCGBTS,No WCGBTS Index
N.Parms,106,106,106,106,106,106
TOTAL,2633.05,2623.77,2606.21,2512.08,1702.02,2633.29
Survey,29.2722,20.6348,5.31718,26.8343,29.7434,31.0721
Length_comp,569.289,570.434,567.482,541.579,474.57,567.807
Age_comp,2011.06,2008.5,2011.92,1919.94,1178.34,2008.99
Recruitment,23.3966,24.0948,21.4425,23.6707,19.3531,25.3655
Parm_priors,0.0245204,0.102473,0.0395942,0.0585039,0.00188365,0.0516982
NatM_uniform_Fem_GP_1,0.165249,0.177531,0.168349,0.171545,0.151378,0.139648
L_at_Amax_Fem_GP_1,47.9006,47.8956,47.8923,47.9509,47.2596,47.8469
VonBert_K_Fem_GP_1,0.196942,0.197019,0.196974,0.195731,0.204132,0.197498
CV_young_Fem_GP_1,0.105029,0.105125,0.105017,0.105943,0.0819724,0.104416
CV_old_Fem_GP_1,0.0386426,0.0387394,0.0387606,0.0381318,0.058174,0.039114
NatM_uniform_Mal_GP_1,0.265697,0.236603,0.259212,0.252202,0.266879,0.328727
L_at_Amax_Mal_GP_1,-0.32826,-0.328405,-0.328655,-0.331128,-0.328758,-0.32748
VonBert_K_Mal_GP_1,0.526306,0.525387,0.529604,0.521754,0.514048,0.525757
CV_young_Mal_GP_1,0.235858,0.234146,0.230563,0.276296,0.0775211,0.243476
SR_LN(R0),10.0316,10.2213,10.0655,10.1527,9.9648,9.75114
Q_extraSD_CalCOFI_Survey(11),0.35495,0.300396,0.368809,0.372648,0.317046,0.315041
Size_DblN_peak_NoCA_HKL(1),40.9735,40.6332,40.9116,40.543,43.5984,41.2994
Size_DblN_ascend_se_NoCA_HKL(1),4.39925,4.35183,4.38886,4.33866,4.62874,4.45811
Size_DblN_peak_SoCA_HKL(2),23.7993,23.818,23.7503,23.8184,24.4231,23.831
Size_DblN_peak_CA_TWL(3),44.9044,44.9002,44.8404,44.8279,46.3279,45.2336
Size_DblN_ascend_se_CA_TWL(3),4.55625,4.55061,4.55264,4.54683,4.63219,4.58078
Size_DblN_peak_OR_WA_Comm(4),42.7525,43.1109,42.3474,42.752,57.154,43.2242
Size_DblN_ascend_se_OR_WA_Comm(4),4.55947,4.59305,4.53023,4.55195,5.52166,4.62365
Size_DblN_peak_CA_NET(5),46.9908,46.8665,46.9621,46.8083,48.2582,47.1621
Size_DblN_ascend_se_CA_NET(5),4.42563,4.41512,4.42212,4.41121,4.47405,4.44701
Size_DblN_peak_NoCA_OR_WA_Rec(6),43.8942,43.822,43.8237,43.6573,47.3447,43.9237
Size_DblN_ascend_se_NoCA_OR_WA_Rec(6),5.13617,5.12206,5.13168,5.10546,5.364,5.17013
Size_DblN_peak_SoCA_Rec(7),24.7079,24.7263,24.6949,24.7182,24.7286,24.7075
Size_DblN_ascend_se_SoCA_Rec(7),2.92383,2.92556,2.93499,2.92194,2.93349,2.92314
Size_DblN_descend_se_SoCA_Rec(7),3.31823,3.29607,3.31387,3.35498,3.00593,3.33535
Size_DblN_end_logit_SoCA_Rec(7),-1.11196,-1.09271,-1.0827,-1.07854,-0.990296,-1.1001
Size_DblN_peak_TWL_discard(8),29.5523,29.5607,29.5203,29.6693,29.4746,29.5548
Size_DblN_ascend_se_TWL_discard(8),4.16685,4.16413,4.18424,4.17463,4.0809,4.17153
Size_DblN_descend_se_TWL_discard(8),3.19313,3.19537,3.20153,3.16564,3.27963,3.18161
Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875,51.6041,51.6418,51.6661,51.414,51.7832,51.2909
Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875,4.15685,4.15595,4.16135,4.14215,4.13063,4.13891
Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875,48.8295,48.5985,48.7963,48.4165,55.5943,49.0913
Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875,4.8242,4.80467,4.82018,4.79115,5.21465,4.85502
Size_DblN_peak_CA_TWL(3)_BLK3repl_1875,33.7915,33.8599,33.8467,33.768,36.3169,33.5653
Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875,3.28981,3.29643,3.30103,3.27371,3.81312,3.25427
Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875,30.6778,30.8525,30.7252,30.851,31.1317,30.3401
Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875,3.75181,3.77017,3.75825,3.77067,3.85855,3.71156
Bratio_2025,0.83247,0.926601,0.832625,0.902593,0.963983,0.878265
SSB_unfished,11922.2,12395.6,11858.7,12439.1,12942.8,12608.5
Totbio_unfished,52043.2,55946.2,52201.8,55048.4,55506.5,51513.8
Recr_unfished,22733.5,27482.7,23518.1,25661,21264.6,17173.8
Dead_Catch_SPR,2113.52,2394.67,2146.9,2298.08,2111.07,1848.15
OFLCatch_2025,3616.72,4502.27,3631.37,4238.28,4426.96,3413.23
