"Label","base","add Rec. CPUE","add Trawl CPUE","add Rec.+Trawl","Upweight CalCOFI","Upweight WCGBTS"
"N.Parms",114,114,114,114,114,114
"TOTAL",2597.98,2601.92,2587.56,2596.66,2635.87,2516.32
"Survey",24.5117,25.7146,13.6779,21.4925,43.9561,-75.9019
"Length_comp",572.241,574.164,573.461,573.59,574.4,584.681
"Age_comp",1976.25,1976.47,1976.09,1976.69,1990.84,1980.12
"Recruitment",24.9153,25.5558,24.2116,24.8602,26.6004,26.8499
"Parm_priors",0.0553721,0.0108584,0.114382,0.0188817,0.0626846,0.566099
"NatM_uniform_Fem_GP_1",0.171052,0.161497,0.178945,0.163866,0.172185,0.214575
"L_at_Amax_Fem_GP_1",48.19,48.0867,48.2142,48.1013,48.0863,48.0915
"VonBert_K_Fem_GP_1",0.193531,0.194888,0.193351,0.19494,0.193612,0.194186
"CV_young_Fem_GP_1",0.110246,0.108344,0.111131,0.109133,0.107124,0.107903
"CV_old_Fem_GP_1",0.0372932,0.0380814,0.0369882,0.0377551,0.0384364,0.0383046
"NatM_uniform_Mal_GP_1",0.26059,0.283795,0.242302,0.279268,0.237946,0.16053
"L_at_Amax_Mal_GP_1",-0.337454,-0.335732,-0.336865,-0.335077,-0.351614,-0.338959
"VonBert_K_Mal_GP_1",0.549249,0.54521,0.546668,0.5426,0.605918,0.548225
"CV_young_Mal_GP_1",0.208244,0.225644,0.203678,0.222211,-0.10006,0.216186
"CV_old_Mal_GP_1",0.148288,0.13014,0.144993,0.129979,0.580872,0.16658
"SR_LN(R0)",10.2476,10.0596,10.4028,10.1002,10.4341,10.9859
"Q_extraSD_CalCOFI_Survey(11)",0.313158,0.294253,0.342993,0.306566,0.273873,0.338073
"Q_extraSD_RREAS_YOY_Survey(12)",1.23343,1.22144,1.24362,1.22645,1.22205,1.16586
"Size_DblN_peak_NoCA_HKL(1)",41.2474,41.3272,40.7086,40.8065,42.4444,41.2972
"Size_DblN_ascend_se_NoCA_HKL(1)",4.42847,4.44041,4.37791,4.39941,4.4838,4.39375
"Size_DblN_descend_se_NoCA_HKL(1)",5.02413,5.1551,5.15549,5.34919,5.1814,5.21834
"Size_DblN_peak_SoCA_HKL(2)",24.2452,24.2225,24.2631,24.2256,24.3067,24.484
"Size_DblN_ascend_se_SoCA_HKL(2)",1.41034,1.39659,1.42032,1.39926,1.41878,1.52588
"Size_DblN_descend_se_SoCA_HKL(2)",5.78144,5.77098,5.78792,5.75598,5.91485,5.965
"Size_DblN_peak_CA_TWL(3)",44.6731,44.8566,44.5681,44.6942,44.8139,45.1258
"Size_DblN_ascend_se_CA_TWL(3)",4.50165,4.5083,4.4994,4.50742,4.45178,4.48757
"Size_DblN_descend_se_CA_TWL(3)",2.98528,3.02398,2.96997,3.02482,3.07938,2.92295
"Size_DblN_peak_OR_WA_Comm(4)",41.925,41.9531,42.025,41.8364,42.0168,44.4622
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.4757,4.48674,4.4835,4.47627,4.40925,4.63106
"Size_DblN_peak_CA_NET(5)",45.8677,46.0124,45.8574,46.1794,46.2077,45.9392
"Size_DblN_ascend_se_CA_NET(5)",4.30744,4.33312,4.30835,4.35314,4.28486,4.29479
"Size_DblN_descend_se_CA_NET(5)",3.63218,3.78648,3.63879,3.91909,3.90141,3.75503
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",43.4907,43.5803,43.4523,43.2247,44.4183,44.6325
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.08974,5.13109,5.07918,5.1071,5.09643,5.07658
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",4.32054,4.7923,4.31829,4.90027,4.3001,4.51014
"Size_DblN_peak_SoCA_Rec(7)",24.6445,24.6245,24.6631,24.6136,24.61,24.9942
"Size_DblN_ascend_se_SoCA_Rec(7)",2.91266,2.91188,2.9143,2.90765,2.93185,2.98178
"Size_DblN_descend_se_SoCA_Rec(7)",3.36502,3.36105,3.36453,3.38289,3.13245,3.16722
"Size_DblN_end_logit_SoCA_Rec(7)",-1.10801,-1.12099,-1.10334,-1.14498,-0.885761,-0.791662
"Size_DblN_peak_TWL_discard(8)",29.5467,29.5159,29.5614,29.5019,29.7411,30.2794
"Size_DblN_ascend_se_TWL_discard(8)",4.18199,4.18511,4.17857,4.18167,4.24618,4.19714
"Size_DblN_descend_se_TWL_discard(8)",3.20012,3.20215,3.19752,3.20236,3.24114,3.08209
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",50.2373,50.584,50.1479,50.6435,50.061,50.5942
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.05049,4.08048,4.04051,4.08313,4.05451,4.06756
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",47.4103,47.7347,47.1576,47.5451,47.6404,47.614
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.71708,4.74138,4.69932,4.73109,4.66093,4.70262
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",33.5853,33.5198,33.3549,33.3251,35.5047,34.1243
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.23437,3.23266,3.1679,3.17707,3.63515,3.32975
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",30.5808,30.5178,30.708,30.6647,30.5809,31.1476
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.73193,3.72924,3.74273,3.7462,3.7566,3.80142
"Bratio_2025",0.602518,0.520678,0.679666,0.57248,0.458408,0.60496
"SSB_unfished",13944.8,12977.8,14817.7,13136.3,16409.4,17606.8
"Totbio_unfished",61068.5,55516,66266.7,56499.1,72654.1,87353.8
"Recr_unfished",28215.1,23379.4,32950.2,24347.1,33999.7,59035.5
"Dead_Catch_SPR",2508.64,2188.85,2816.82,2251.41,2979.9,4296.97
"OFLCatch_2025",2894.4,2243.07,3597.19,2496.99,2732.99,5231.6
