"Label","base","no CalCOFI","no RREAS","no Triennial","no WCGBTS","no WCGBTS index"
"N.Parms",114,114,114,114,114,114
"TOTAL",2597.98,2590.69,2575.76,2524.52,1656.39,2600.01
"Survey",24.5117,19.365,3.01531,21.9947,29.2164,28.5527
"Length_comp",572.241,573.726,571.411,545.915,464.542,571.213
"Age_comp",1976.25,1973.68,1976.89,1931.66,1144.73,1975.63
"Recruitment",24.9153,23.8274,24.3754,24.8637,17.8805,24.5842
"Parm_priors",0.0553721,0.0879249,0.0648299,0.0743543,0.0183778,0.0244752
"NatM_uniform_Fem_GP_1",0.171052,0.175704,0.172506,0.173877,0.163733,0.144058
"L_at_Amax_Fem_GP_1",48.19,48.2448,48.1972,48.2723,47.9223,48.116
"VonBert_K_Fem_GP_1",0.193531,0.192986,0.193403,0.191984,0.193572,0.194445
"CV_young_Fem_GP_1",0.110246,0.11167,0.110516,0.111636,0.0919601,0.109079
"CV_old_Fem_GP_1",0.0372932,0.0367857,0.0372168,0.0366516,0.0456421,0.0378695
"NatM_uniform_Mal_GP_1",0.26059,0.249943,0.258168,0.261137,0.184739,0.323136
"L_at_Amax_Mal_GP_1",-0.337454,-0.338217,-0.337973,-0.336156,-0.392548,-0.335795
"VonBert_K_Mal_GP_1",0.549249,0.55121,0.552039,0.538066,0.746283,0.545034
"CV_young_Mal_GP_1",0.208244,0.195822,0.202674,0.22416,-0.487581,0.222585
"CV_old_Mal_GP_1",0.148288,0.157067,0.155264,0.118774,1.08928,0.13155
"SR_LN(R0)",10.2476,10.2513,10.27,10.3134,10.1417,9.83769
"Q_extraSD_CalCOFI_Survey(11)",0.313158,0.314065,0.315786,0.320818,0.307574,0.309934
"Q_extraSD_RREAS_YOY_Survey(12)",1.23343,1.25052,1.23348,1.23481,1.15576,1.18525
"Size_DblN_peak_NoCA_HKL(1)",41.2474,40.9881,41.2323,40.9838,42.149,41.3821
"Size_DblN_ascend_se_NoCA_HKL(1)",4.42847,4.39797,4.42532,4.40477,4.38856,4.46257
"Size_DblN_descend_se_NoCA_HKL(1)",5.02413,4.9323,4.99747,4.97863,9.15906,5.16358
"Size_DblN_peak_SoCA_HKL(2)",24.2452,24.2338,24.211,24.2697,24.8096,24.2488
"Size_DblN_ascend_se_SoCA_HKL(2)",1.41034,1.4066,1.39579,1.42169,1.48073,1.41044
"Size_DblN_descend_se_SoCA_HKL(2)",5.78144,5.77233,5.78257,5.77447,6.40693,5.79371
"Size_DblN_peak_CA_TWL(3)",44.6731,44.5348,44.6438,44.6024,45.2236,44.7936
"Size_DblN_ascend_se_CA_TWL(3)",4.50165,4.491,4.4998,4.50167,4.47486,4.5183
"Size_DblN_descend_se_CA_TWL(3)",2.98528,2.97188,2.9894,2.95784,3.13138,3.01426
"Size_DblN_peak_OR_WA_Comm(4)",41.925,41.7623,41.7544,41.8477,44.4262,41.936
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.4757,4.4605,4.46333,4.46863,4.55414,4.49187
"Size_DblN_peak_CA_NET(5)",45.8677,45.6874,45.836,45.7073,47.1146,46.1107
"Size_DblN_ascend_se_CA_NET(5)",4.30744,4.29308,4.30375,4.29616,4.35087,4.3388
"Size_DblN_descend_se_CA_NET(5)",3.63218,3.55729,3.6171,3.51668,5.32972,3.775
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",43.4907,43.3034,43.4542,43.3245,45.9467,43.4596
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.08974,5.07416,5.08726,5.07672,5.18036,5.11794
