"Label","Hybrid (iterative)","Pope's Approximation"
"N.Parms",144,144
"TOTAL",2521.71,2522.55
"Survey",20.4428,20.5054
"Length_comp",545.345,547.99
"Age_comp",1931.28,1929.39
"Recruitment",23.8974,23.917
"Parm_priors",0.750795,0.742408
"NatM_uniform_Fem_GP_1",0.167799,0.166354
"L_at_Amax_Fem_GP_1",48.2023,48.2128
"VonBert_K_Fem_GP_1",0.192906,0.193215
"CV_young_Fem_GP_1",0.109484,0.109674
"CV_old_Fem_GP_1",0.0357558,0.0356137
"NatM_uniform_Mal_GP_1",0.291301,0.299161
"L_at_Amax_Mal_GP_1",-0.345094,-0.342594
"VonBert_K_Mal_GP_1",0.569028,0.559987
"CV_young_Mal_GP_1",0.198506,0.207891
"CV_old_Mal_GP_1",0.259329,0.241178
"SR_LN(R0)",10.168,10.1516
"SR_BH_steep",0.50852,0.507434
"Q_extraSD_CalCOFI_Survey(11)",0.289105,0.290111
"Q_extraSD_RREAS_YOY_Survey(12)",1.24425,1.24542
"Size_DblN_peak_NoCA_HKL(1)",41.4917,40.9435
"Size_DblN_ascend_se_NoCA_HKL(1)",4.44784,4.41429
"Size_DblN_descend_se_NoCA_HKL(1)",5.38118,5.67985
"Size_DblN_peak_SoCA_HKL(2)",50.2962,49.4292
"Size_DblN_ascend_se_SoCA_HKL(2)",5.60333,5.58146
"Size_DblN_peak_CA_TWL(3)",37.9064,37.0827
"Size_DblN_ascend_se_CA_TWL(3)",4.03998,3.92411
"Size_DblN_peak_OR_WA_Comm(4)",41.1061,40.9601
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.37111,4.36606
"Size_DblN_peak_CA_NET(5)",46.6243,46.5609
"Size_DblN_ascend_se_CA_NET(5)",4.38334,4.40379
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",43.5279,43.2125
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.0803,5.08209
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",4.41775,4.45598
"Size_DblN_peak_SoCA_Rec(7)",24.5806,24.5557
"Size_DblN_ascend_se_SoCA_Rec(7)",2.89404,2.88727
"Size_DblN_descend_se_SoCA_Rec(7)",3.47375,3.51455
"Size_DblN_end_logit_SoCA_Rec(7)",-1.08924,-1.14114
"Size_DblN_peak_TWL_discard(8)",29.7276,29.6818
"Size_DblN_ascend_se_TWL_discard(8)",4.21064,4.20457
"Size_DblN_descend_se_TWL_discard(8)",3.16537,3.1661
"Size_DblN_peak_WCGBT_Survey(9)",35.2408,35.0346
"Size_DblN_ascend_se_WCGBT_Survey(9)",6.06637,6.05661
"Size_DblN_descend_se_WCGBT_Survey(9)",4.94394,4.96281
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",50.3387,50.2991
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.05107,4.05852
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",30.8251,30.5466
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.76963,3.73134
"Bratio_2025",0.587526,0.584175
"SSB_unfished",13373.3,13427.3
"Totbio_unfished",57384.3,57284.2
"Recr_unfished",26055.6,25632.5
"Dead_Catch_SPR",1792.28,1769.27
"OFLCatch_2025",2547.17,2489.13
