"Label","Block Trawl 2000 Tuned","Block Trawl 2000","Domed Net Selex","M083 (M066 with h=0.72)","M066"
"N.Parms",146,146,144,143,144
"TOTAL",2561.14,2503.78,2522.16,2522.35,2521.71
"Survey",20.2749,20.5607,20.9154,20.9128,20.4428
"Length_comp",555.635,533.137,545.779,544.942,545.345
"Age_comp",1959.18,1924.53,1930.7,1931.77,1931.28
"Recruitment",25.8842,25.4254,24.7353,24.6903,23.8974
"Parm_priors",0.165402,0.124255,0.0293805,0.0366462,0.750795
"NatM_uniform_Fem_GP_1",0.184399,0.18007,0.166326,0.167793,0.167799
"L_at_Amax_Fem_GP_1",48.0692,48.1958,48.2785,48.2039,48.2023
"VonBert_K_Fem_GP_1",0.194218,0.192896,0.192161,0.192927,0.192906
"CV_young_Fem_GP_1",0.107793,0.109142,0.110679,0.109461,0.109484
"CV_old_Fem_GP_1",0.0371588,0.0365169,0.0354944,0.0357416,0.0357558
"NatM_uniform_Mal_GP_1",0.229201,0.244902,0.299359,0.291219,0.291301
"L_at_Amax_Mal_GP_1",-0.334013,-0.336868,-0.345984,-0.345073,-0.345094
"VonBert_K_Mal_GP_1",0.527148,0.539719,0.570654,0.569013,0.569028
"CV_young_Mal_GP_1",0.240944,0.230879,0.190231,0.198294,0.198506
"CV_old_Mal_GP_1",0.146276,0.14601,0.262288,0.259239,0.259329
"SR_LN(R0)",10.2611,10.2021,10.0244,10.0366,10.168
"SR_BH_steep",0.72,0.72,0.72,0.72,0.50852
"Q_extraSD_CalCOFI_Survey(11)",0.28972,0.290881,0.294903,0.294896,0.289105
"Q_extraSD_RREAS_YOY_Survey(12)",1.2265,1.23591,1.24799,1.24784,1.24425
"Size_DblN_peak_NoCA_HKL(1)",41.0502,41.1567,41.3648,41.4765,41.4917
"Size_DblN_ascend_se_NoCA_HKL(1)",4.39998,4.41058,4.43532,4.44484,4.44784
"Size_DblN_descend_se_NoCA_HKL(1)",5.356,5.12465,5.14889,5.38054,5.38118
"Size_DblN_peak_SoCA_HKL(2)",50.4955,49.9533,49.3705,50.1894,50.2962
"Size_DblN_ascend_se_SoCA_HKL(2)",5.59948,5.57799,5.55601,5.59692,5.60333
"Size_DblN_peak_CA_TWL(3)",44.8968,44.66,37.5226,37.9063,37.9064
"Size_DblN_ascend_se_CA_TWL(3)",4.53288,4.52338,3.98021,4.0396,4.03998
"Size_DblN_peak_OR_WA_Comm(4)",42.9944,42.3808,40.8815,41.0625,41.1061
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.56568,4.50805,4.35027,4.36819,4.37111
"Size_DblN_peak_CA_NET(5)",45.9801,45.8253,46.0413,46.6217,46.6243
"Size_DblN_ascend_se_CA_NET(5)",4.32368,4.30303,4.31424,4.38281,4.38334
"Size_DblN_descend_se_CA_NET(5)",3.84957,3.65775,3.73544,15,15
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",43.7268,43.5612,43.3239,43.4982,43.5279
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.09213,5.08045,5.06745,5.07847,5.0803
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",4.63968,4.43105,4.31008,4.41521,4.41775
"Size_DblN_peak_SoCA_Rec(7)",24.8005,24.7554,24.5453,24.5683,24.5806
"Size_DblN_ascend_se_SoCA_Rec(7)",2.9437,2.93318,2.88489,2.89194,2.89404
"Size_DblN_descend_se_SoCA_Rec(7)",3.30311,3.34064,3.51537,3.4795,3.47375
"Size_DblN_end_logit_SoCA_Rec(7)",-0.962869,-1.00799,-1.12535,-1.10103,-1.08924
"Size_DblN_peak_TWL_discard(8)",29.7821,29.7223,29.6988,29.7062,29.7276
"Size_DblN_ascend_se_TWL_discard(8)",4.18878,4.18807,4.20734,4.20913,4.21064
"Size_DblN_descend_se_TWL_discard(8)",3.15079,3.16154,3.16838,3.16996,3.16537
"Size_DblN_peak_WCGBT_Survey(9)",35.7304,35.6013,35.1554,35.1912,35.2408
"Size_DblN_ascend_se_WCGBT_Survey(9)",6.04901,6.05615,6.06844,6.07024,6.06637
"Size_DblN_descend_se_WCGBT_Survey(9)",5.05703,5.01807,4.92769,4.94837,4.94394
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",50.5433,50.1457,50.1012,50.3634,50.3387
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.07636,4.04159,4.03487,4.05278,4.05107
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",33.6473,33.7242,NA,NA,NA
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.24657,3.26703,NA,NA,NA
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",30.6954,30.6875,30.7706,30.8438,30.8251
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.74114,3.73811,3.76056,3.77192,3.76963
"Bratio_2025",0.733834,0.722986,0.70083,0.700401,0.587526
"SSB_unfished",11927.9,11902.8,11847.4,11729.7,13373.3
"Totbio_unfished",54317.7,53292.8,50439.5,50330.8,57384.3
"Recr_unfished",28597.3,26959.3,22569.9,22846.7,26055.6
"Dead_Catch_SPR",2389.47,2297.82,2046.59,2057.81,1792.28
"OFLCatch_2025",3577.57,3360.68,2631.34,2653.8,2547.17
