"Label","M088 domed TWL selex","M087 asymp TWL selex"
"N.Parms",151,147
"TOTAL",2557.33,2560.3
"Survey",20.0406,19.8354
"Length_comp",557.683,555.834
"Age_comp",1953.57,1958.81
"Recruitment",24.9682,24.7059
"Parm_priors",1.06092,1.10199
"NatM_uniform_Fem_GP_1",0.179836,0.183908
"L_at_Amax_Fem_GP_1",48.6368,48.0654
"VonBert_K_Fem_GP_1",0.187518,0.194222
"CV_young_Fem_GP_1",0.117971,0.10776
"CV_old_Fem_GP_1",0.0342019,0.0371875
"NatM_uniform_Mal_GP_1",0.256433,0.230327
"L_at_Amax_Mal_GP_1",-0.345064,-0.333975
"VonBert_K_Mal_GP_1",0.561091,0.527019
"CV_young_Mal_GP_1",0.151129,0.241734
"CV_old_Mal_GP_1",0.220959,0.145764
"SR_LN(R0)",10.4203,10.4079
"SR_BH_steep",0.468786,0.468354
"Q_extraSD_CalCOFI_Survey(11)",0.287961,0.284341
"Q_extraSD_RREAS_YOY_Survey(12)",1.23154,1.22232
"Size_DblN_peak_NoCA_HKL(1)",41.0664,41.0701
"Size_DblN_ascend_se_NoCA_HKL(1)",4.41377,4.40353
"Size_DblN_descend_se_NoCA_HKL(1)",4.30305,5.36846
"Size_DblN_peak_SoCA_HKL(2)",47.2478,50.6847
"Size_DblN_ascend_se_SoCA_HKL(2)",5.43384,5.61102
"Size_DblN_peak_CA_TWL(3)",44.4942,44.933
"Size_DblN_top_logit_CA_TWL(3)",-8.85406,-6
"Size_DblN_ascend_se_CA_TWL(3)",4.47197,4.5348
"Size_DblN_descend_se_CA_TWL(3)",2.84538,15
"Size_DblN_start_logit_CA_TWL(3)",-10,-999
"Size_DblN_peak_OR_WA_Comm(4)",41.6575,43.0712
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.41881,4.57228
"Size_DblN_peak_CA_NET(5)",44.8662,45.9949
"Size_DblN_ascend_se_CA_NET(5)",4.20837,4.32534
"Size_DblN_descend_se_CA_NET(5)",3.13712,3.85687
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",43.1115,43.7676
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.04349,5.09479
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",3.90761,4.6472
"Size_DblN_peak_SoCA_Rec(7)",24.7245,24.8118
"Size_DblN_ascend_se_SoCA_Rec(7)",2.91771,2.9456
"Size_DblN_descend_se_SoCA_Rec(7)",3.40982,3.29723
"Size_DblN_end_logit_SoCA_Rec(7)",-1.03348,-0.95173
"Size_DblN_peak_TWL_discard(8)",29.7623,29.801
"Size_DblN_ascend_se_TWL_discard(8)",4.18267,4.19013
"Size_DblN_descend_se_TWL_discard(8)",3.1556,3.14685
"Size_DblN_peak_WCGBT_Survey(9)",36.0095,35.7616
"Size_DblN_ascend_se_WCGBT_Survey(9)",6.06627,6.04429
"Size_DblN_descend_se_WCGBT_Survey(9)",4.85068,5.05194
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",48.5953,50.5161
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",3.90325,4.07419
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",33.4581,33.6444
"Size_DblN_top_logit_CA_TWL(3)_BLK3repl_1875",-0.583246,NA
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.19826,3.24719
"Size_DblN_descend_se_CA_TWL(3)_BLK3repl_1875",4.45789,NA
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",30.3827,30.6711
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.69457,3.73826
"Bratio_2025",0.628516,0.598312
"SSB_unfished",15106.8,13890.6
"Totbio_unfished",66503.5,63176.6
"Recr_unfished",33534.8,33121.5
"Dead_Catch_SPR",1910.73,1877.6
"OFLCatch_2025",3305.54,3399.74
