"Label","M091 revised SoCA HKL selex","M090"
"N.Parms",150,147
"TOTAL",2544.91,2554.3
"Survey",20.2914,20.4703
"Length_comp",527.577,538.178
"Age_comp",1970.88,1969.2
"Recruitment",26.0432,26.2987
"Parm_priors",0.114224,0.149076
"NatM_uniform_Fem_GP_1",0.178926,0.182742
"L_at_Amax_Fem_GP_1",48.3361,48.343
"VonBert_K_Fem_GP_1",0.190797,0.190644
"CV_young_Fem_GP_1",0.110988,0.111126
"CV_old_Fem_GP_1",0.0359282,0.0359202
"NatM_uniform_Mal_GP_1",0.24083,0.232279
"L_at_Amax_Mal_GP_1",-0.336128,-0.336355
"VonBert_K_Mal_GP_1",0.531083,0.53101
"CV_young_Mal_GP_1",0.202215,0.20188
"CV_old_Mal_GP_1",0.156764,0.158269
"SR_LN(R0)",10.2053,10.2661
"Q_extraSD_CalCOFI_Survey(11)",0.29375,0.294098
"Q_extraSD_RREAS_YOY_Survey(12)",1.22846,1.22664
"Size_DblN_peak_NoCA_HKL(1)",41.049,40.9778
"Size_DblN_ascend_se_NoCA_HKL(1)",4.41923,4.41148
"Size_DblN_descend_se_NoCA_HKL(1)",4.80012,4.76897
"Size_DblN_peak_SoCA_HKL(2)",24.3195,48.4788
"Size_DblN_ascend_se_SoCA_HKL(2)",1.44172,5.499
"Size_DblN_descend_se_SoCA_HKL(2)",5.82474,15
"Size_DblN_peak_CA_TWL(3)",44.7075,44.748
"Size_DblN_ascend_se_CA_TWL(3)",4.49397,4.49231
"Size_DblN_descend_se_CA_TWL(3)",2.9283,2.91642
"Size_DblN_peak_OR_WA_Comm(4)",42.2725,42.4991
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.49084,4.50881
"Size_DblN_peak_CA_NET(5)",45.5315,45.4434
"Size_DblN_ascend_se_CA_NET(5)",4.28329,4.27614
"Size_DblN_descend_se_CA_NET(5)",3.45685,3.43137
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",43.4279,43.4125
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.07827,5.07469
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",4.25487,4.25804
"Size_DblN_peak_SoCA_Rec(7)",24.7751,24.8044
"Size_DblN_ascend_se_SoCA_Rec(7)",2.93774,2.94252
"Size_DblN_descend_se_SoCA_Rec(7)",3.33313,3.31746
"Size_DblN_end_logit_SoCA_Rec(7)",-1.02869,-0.997237
"Size_DblN_peak_TWL_discard(8)",29.7032,29.7533
"Size_DblN_ascend_se_TWL_discard(8)",4.17754,4.17865
"Size_DblN_descend_se_TWL_discard(8)",3.16646,3.157
"Size_DblN_peak_WCGBT_Survey(9)",35.604,35.8286
"Size_DblN_ascend_se_WCGBT_Survey(9)",6.05587,6.05624
"Size_DblN_descend_se_WCGBT_Survey(9)",4.97924,4.97649
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",49.883,49.8397
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.01778,4.01514
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",47.1669,NA
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.71529,NA
"Size_DblN_descend_se_SoCA_HKL(2)_BLK2repl_1875",10,NA
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",33.3809,33.3349
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.1887,3.17738
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",30.6096,30.6149
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.72692,3.726
"Bratio_2025",0.737523,0.748959
"SSB_unfished",12147.7,12332.4
"Totbio_unfished",54195.5,55584.9
"Recr_unfished",27045.8,28741.8
"Dead_Catch_SPR",2297.62,2396.05
"OFLCatch_2025",3255.26,3451.18
