"Reference Points","Estimate","Lower Interval","Upper Interval"
"Unfished Spawning output","12013.7","8252.6859107864","15774.7140892136"
"Unfished Age 3+ Biomass (mt)","50686.1","34178.8717297669","67193.3282702331"
"Unfished Recruitment (R0)","25513.8","12985.0046237855","38042.5953762145"
"2025 Spawning output","8617.87","5180.09317111675","12055.6468288833"
"2025 Fraction Unfished","0.717337","0.454188315507683","0.980485684492317"
"Reference Points Based SO40\%","","",""
"Proxy Spawning output SO40\%","4805.48","3301.07436431456","6309.88563568544"
"SPR Resulting in SO40\%","0.458333","0.458333","0.458333"
"Exploitation Rate Resulting in SO40\%","0.09142","0.0803794836758062","0.102460516324194"
"Yield with SPR Based On SO40\% (mt)","2333.56","1422.84117497963","3244.27882502037"
"Reference Points Based on SPR Proxy for MSY","","",""
"Proxy Spawning output (SPR50)","5359.95","3681.95819405979","7037.94180594021"
"SPR50","0.5","",""
"Exploitation Rate Corresponding to SPR50","0.0796974","0.0700396186672594","0.0893551813327406"
"Yield with SPR50 at SO SPR (mt)","2208.34","1348.56063893783","3068.11936106217"
"Reference Points Based on Estimated MSY Values","","",""
"Spawning output at MSY (SO MSY)","3015.92","2072.42469726617","3959.41530273383"
"SPR MSY","0.323856","0.318155562348804","0.329556437651196"
"Exploitation Rate Corresponding to SPR MSY","0.142727","0.123789925979573","0.161664074020427"
"MSY (mt)","2550.74","1546.18397929181","3555.29602070819"
