"Year","NoCA_HKL (mt)","SoCA_HKL (mt)","CA_TWL (mt)","OR_WA_Comm (mt)","CA_NET (mt)","NoCA_OR_WA_Rec (mt)","SoCA_Rec (mt)","TWL_discard (mt)","Total Catch (mt)"
1875,3.421,4.85,0,0,0,0,0,0,8.271
1876,6.843,9.701,0,0,0,0,0,0,16.544
1877,10.264,14.551,0,0,0,0,0,0,24.815
1878,13.686,19.401,0,0,0,0,0,0,33.087
1879,17.107,24.252,0,0,0,0,0,0,41.359
1880,20.529,29.102,0,0,0,0,0,0,49.631
1881,23.95,33.953,0,0,0,0,0,0,57.903
1882,27.372,38.803,0,0,0,0,0,0,66.175
1883,30.793,43.653,0,0,0,0,0,0,74.446
1884,34.215,48.504,0,0,0,0,0,0,82.719
1885,37.636,53.354,0,0,0,0,0,0,90.99
1886,41.058,58.204,0,0,0,0,0,0,99.262
1887,44.479,63.055,0,0,0,0,0,0,107.534
1888,47.9,67.905,0,0,0,0,0,0,115.805
1889,51.322,72.756,0,0,0,0,0,0,124.078
1890,54.743,77.606,0,0,0,0,0,0,132.349
1891,58.165,82.456,0,0,0,0,0,0,140.621
1892,61.586,87.307,0,0,0,0,0,0,148.893
1893,65.008,92.157,0,0,0,0,0,0,157.165
1894,68.429,97.007,0,0,0,0,0,0,165.436
1895,71.851,101.858,0,0,0,0,0,0,173.709
1896,75.272,106.708,0,0,0,0,0,0,181.98
1897,78.694,111.558,0,0,0,0,0,0,190.252
1898,82.115,116.409,0,0,0,0,0,0,198.524
1899,85.536,121.259,0,0,0,0,0,0,206.795
1900,88.958,126.11,0,0,0,0,0,0,215.068
1901,92.379,130.96,0,0,0,0,0,0,223.339
1902,95.801,135.81,0,0,0,0,0,0,231.611
1903,99.222,140.661,0,0,0,0,0,0,239.883
1904,102.644,145.511,0,0,0,0,0,0,248.155
1905,106.065,150.361,0,0,0,0,0,0,256.426
1906,109.487,155.212,0,0,0,0,0,0,264.699
1907,112.908,160.062,0,0,0,0,0,0,272.97
1908,116.33,164.913,0,0,0,0,0,0,281.243
1909,119.751,169.763,0,0,0,0,0,0,289.514
1910,123.173,174.613,0,0,0,0,0,0,297.786
1911,126.594,179.464,0,0,0,0,0,0,306.058
1912,130.015,184.314,0,0,0,0,0,0,314.329
1913,133.437,189.164,0,0,0,0,0,0,322.601
1914,136.858,194.015,0,0,0,0,0,0,330.873
1915,140.28,198.865,0,0,0,0,0,0,339.145
1916,143.701,203.715,14.432,0,0,0,0,0,361.848
1917,223.354,328.667,22.418,0,0,0,0,0,574.439
1918,262.334,299.409,26.237,0,0,0,0,0,587.98
1919,181.827,179.414,18.255,0,0,0,0,0,379.496
1920,185.5,194.83,18.614,0,0,0,0,0,398.944
1921,153.459,170.02,15.367,0,0,0,0,0,338.846
1922,131.847,167.289,13.214,0,0,0,0,0,312.35
1923,141.951,224.264,14.277,0,0,0,0,0,380.492
1924,82.014,299.879,8.212,0,0,0,0,0,390.105
1925,104.485,327.889,6.74,0,0,0,0,0,439.114
1926,166.124,408.405,20.154,0,0,0,0,0,594.683
1927,118.047,353.542,36.892,0,0,0,0,0,508.481
1928,150.911,301.046,47.351,0,0,1.452,0.276,0,501.036
