"Label","Pre-STAR base","Local Min."
"N.Parms",147,147
"TOTAL",2572.55,2572.62
"Survey",22.4215,20.202
"Length_comp",570.789,575.096
"Age_comp",1953.56,1951.99
"Recruitment",25.6528,25.2402
"Parm_priors",0.117022,0.084027
"NatM_uniform_Fem_GP_1",0.179249,0.175193
"L_at_Amax_Fem_GP_1",48.1477,48.2894
"VonBert_K_Fem_GP_1",0.19396,0.191938
"CV_young_Fem_GP_1",0.109209,0.112246
"CV_old_Fem_GP_1",0.0378103,0.0365882
"NatM_uniform_Mal_GP_1",0.241293,0.261035
"L_at_Amax_Mal_GP_1",-0.33765,-0.338905
"VonBert_K_Mal_GP_1",0.548194,0.544808
"CV_young_Mal_GP_1",0.214217,0.202975
"CV_old_Mal_GP_1",0.152194,0.15931
"SR_LN(R0)",10.1779,10.147
"Q_extraSD_CalCOFI_Survey(11)",0.290881,0.290586
"Q_extraSD_RREAS_YOY_Survey(12)",1.24086,1.2311
"Size_DblN_peak_NoCA_HKL(1)",41.2416,41.1716
"Size_DblN_ascend_se_NoCA_HKL(1)",4.4206,4.41575
"Size_DblN_descend_se_NoCA_HKL(1)",5.10416,4.93293
"Size_DblN_peak_SoCA_HKL(2)",24.2827,24.299
"Size_DblN_ascend_se_SoCA_HKL(2)",1.42739,1.43714
"Size_DblN_descend_se_SoCA_HKL(2)",5.81705,5.80052
"Size_DblN_peak_CA_TWL(3)",44.7841,44.653
"Size_DblN_ascend_se_CA_TWL(3)",4.50355,4.49439
"Size_DblN_descend_se_CA_TWL(3)",2.98893,2.95559
"Size_DblN_peak_OR_WA_Comm(4)",42.305,41.8974
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.50784,4.45892
"Size_DblN_peak_CA_NET(5)",45.9007,45.7125
"Size_DblN_ascend_se_CA_NET(5)",4.30787,4.29098
"Size_DblN_descend_se_CA_NET(5)",3.6629,3.50177
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",43.6141,43.4382
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.09151,5.07178
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",4.37659,4.24837
"Size_DblN_peak_SoCA_Rec(7)",24.6738,24.7
"Size_DblN_ascend_se_SoCA_Rec(7)",2.91911,2.91995
"Size_DblN_descend_se_SoCA_Rec(7)",3.33464,3.39164
"Size_DblN_end_logit_SoCA_Rec(7)",-1.06421,-1.05294
"Size_DblN_peak_TWL_discard(8)",29.598,29.6831
"Size_DblN_ascend_se_TWL_discard(8)",4.1852,4.1838
"Size_DblN_descend_se_TWL_discard(8)",3.194,3.16804
"Size_DblN_peak_WCGBT_Survey(9)",10.5108,35.4581
"Size_DblN_ascend_se_WCGBT_Survey(9)",0.227485,6.05563
"Size_DblN_descend_se_WCGBT_Survey(9)",11.8389,4.96915
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",50.2233,49.9003
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.0476,4.02178
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",47.4492,47.1684
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.71468,4.69909
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",33.6937,33.5332
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.25562,3.21486
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",30.639,30.6021
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.73766,3.72945
"Bratio_2025",0.698577,0.717337
"SSB_unfished",11747.4,12013.7
"Totbio_unfished",52648.2,52790.2
"Recr_unfished",26315.7,25513.8
"Dead_Catch_SPR",2243.46,2208.34
"OFLCatch_2025",3004.27,3033.1
