"","Value","converged","TOTAL","Catch","Equil_catch","Survey","Length_comp","Age_comp","Recruitment","InitEQ_Regime","Forecast_Recruitment","Parm_priors","Parm_softbounds","Parm_devs","Crash_Pen","max_grad"
"1",0.25,TRUE,2575.63,2.07417e-11,0,21.4431,572.981,1950.6,26.2271,0,0,4.35596,0.015375,0,0,0.00179592
"2",0.3,TRUE,2573.59,2.74261e-11,0,21.4876,572.243,1951.6,25.3024,0,0,2.9368,0.0151312,0,0,0.000570962
"3",0.35,FALSE,2572.64,3.23468e-11,0,21.6038,571.749,1952.27,24.8665,0,0,2.13373,0.0149324,0,0,0.0111489
"4",0.4,TRUE,2572.17,3.55351e-11,0,21.7381,571.406,1952.73,24.7027,0,0,1.58565,0.0147793,0,0,0.000777152
"5",0.45,TRUE,2571.97,3.73243e-11,0,21.8699,571.166,1953.05,24.6989,0,0,1.17942,0.0146523,0,0,0.000502995
"6",0.5,TRUE,2571.93,3.80482e-11,0,21.9923,571.001,1953.27,24.7931,0,0,0.865144,0.0145554,0,0,0.00387111
"7",0.55,TRUE,2571.99,3.79814e-11,0,22.1041,570.893,1953.41,24.9477,1.60363e-31,0,0.616925,0.014491,0,0,0.00106548
"8",0.6,TRUE,2572.11,3.73474e-11,0,22.2062,570.828,1953.5,25.1384,1.60222e-31,0,0.420155,0.0144513,0,0,0.00105831
"9",0.65,TRUE,2572.27,3.63298e-11,0,22.3003,570.795,1953.55,25.3482,1.59821e-31,0,0.266539,0.0144348,0,0,0.0048565
"10",0.7,TRUE,2572.47,3.50747e-11,0,22.388,570.787,1953.56,25.5656,0,0,0.152057,0.0144353,0,0,0.000632862
"11",0.72,TRUE,2572.55,3.45328e-11,0,22.4215,570.789,1953.56,25.6528,0,0,0.117018,0.0144334,0,0,0.00796978
"12",0.75,TRUE,2572.69,3.3692e-11,0,22.4706,570.797,1953.55,25.7825,0,0,0.0764105,0.0144446,0,0,0.00396146
"13",0.8,TRUE,2572.94,3.22639e-11,0,22.549,570.821,1953.52,25.9934,0,0,0.0438734,0.014474,0,0,0.000246001
"14",0.85,TRUE,2573.24,3.08501e-11,0,22.6241,570.856,1953.48,26.1948,1.5695e-31,0,0.0666619,0.0145052,0,0,0.00469516
"15",0.9,TRUE,2573.6,2.94885e-11,0,22.6961,570.897,1953.43,26.3847,0,0,0.176562,0.0145306,0,0,0.00835395
"16",0.95,TRUE,2574.14,2.82021e-11,0,22.7652,570.943,1953.37,26.5621,1.55311e-31,0,0.481391,0.0145662,0,0,0.00130926
