"Label","WCBTS selex Lengths >9.5cm","M100 THE DECEIVER"
"N.Parms",144,147
"TOTAL",2588.78,2572.55
"Survey",22.6095,22.4215
"Length_comp",570.953,570.789
"Age_comp",1969.47,1953.56
"Recruitment",25.6252,25.6528
"Parm_priors",0.110135,0.117022
"NatM_uniform_Fem_GP_1",0.178448,0.179249
"L_at_Amax_Fem_GP_1",48.1565,48.1477
"VonBert_K_Fem_GP_1",0.193829,0.19396
"CV_young_Fem_GP_1",0.109431,0.109209
"CV_old_Fem_GP_1",0.0376624,0.0378103
"NatM_uniform_Mal_GP_1",0.242765,0.241293
"L_at_Amax_Mal_GP_1",-0.337488,-0.33765
"VonBert_K_Mal_GP_1",0.548407,0.548194
"CV_young_Mal_GP_1",0.212345,0.214217
"CV_old_Mal_GP_1",0.150576,0.152194
"SR_LN(R0)",10.1656,10.1779
"Q_extraSD_CalCOFI_Survey(11)",0.291309,0.290881
"Q_extraSD_RREAS_YOY_Survey(12)",1.24703,1.24086
"Size_DblN_peak_NoCA_HKL(1)",41.2342,41.2416
"Size_DblN_ascend_se_NoCA_HKL(1)",4.42163,4.4206
"Size_DblN_descend_se_NoCA_HKL(1)",5.08052,5.10416
"Size_DblN_peak_SoCA_HKL(2)",24.2677,24.2827
"Size_DblN_ascend_se_SoCA_HKL(2)",1.42039,1.42739
"Size_DblN_descend_se_SoCA_HKL(2)",5.81127,5.81705
"Size_DblN_peak_CA_TWL(3)",44.766,44.7841
"Size_DblN_ascend_se_CA_TWL(3)",4.50325,4.50355
"Size_DblN_descend_se_CA_TWL(3)",2.9884,2.98893
"Size_DblN_peak_OR_WA_Comm(4)",42.2487,42.305
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.50423,4.50784
"Size_DblN_peak_CA_NET(5)",45.882,45.9007
"Size_DblN_ascend_se_CA_NET(5)",4.30686,4.30787
"Size_DblN_descend_se_CA_NET(5)",3.65264,3.6629
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",43.5866,43.6141
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.0913,5.09151
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",4.362,4.37659
"Size_DblN_peak_SoCA_Rec(7)",24.6698,24.6738
"Size_DblN_ascend_se_SoCA_Rec(7)",2.91873,2.91911
"Size_DblN_descend_se_SoCA_Rec(7)",3.33639,3.33464
"Size_DblN_end_logit_SoCA_Rec(7)",-1.07238,-1.06421
"Size_DblN_peak_TWL_discard(8)",29.581,29.598
"Size_DblN_ascend_se_TWL_discard(8)",4.18426,4.1852
"Size_DblN_descend_se_TWL_discard(8)",3.1969,3.194
"SizeSel=1_BinLo_WCGBT_Survey(9)",3,NA
"SizeSel=1_BinHi_WCGBT_Survey(9)",54,NA
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",50.2054,50.2233
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.04582,4.0476
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",47.4329,47.4492
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.71503,4.71468
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",33.673,33.6937
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.2519,3.25562
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",30.6337,30.639
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.73682,3.73766
"Size_DblN_peak_WCGBT_Survey(9)",NA,10.5108
"Size_DblN_top_logit_WCGBT_Survey(9)",NA,-6
"Size_DblN_ascend_se_WCGBT_Survey(9)",NA,0.227485
"Size_DblN_descend_se_WCGBT_Survey(9)",NA,11.8389
"Size_DblN_start_logit_WCGBT_Survey(9)",NA,-999
"Size_DblN_end_logit_WCGBT_Survey(9)",NA,-999
"Bratio_2025",0.699415,0.698577
"SSB_unfished",11718.6,11747.4
"Totbio_unfished",52413.4,52648.2
"Recr_unfished",25994.2,26315.7
"Dead_Catch_SPR",2225.08,2243.46
"OFLCatch_2025",2977.96,3004.27
