"Label","log(R0)=9.25","log(R0)=9.5","log(R0)=9.75","log(R0)=10","log(R0)=10.15","log(R0)=10.25","log(R0)=10.5","log(R0)=10.75","log(R0)=11"
"N.Parms",143,143,143,143,143,143,143,143,143
"TOTAL",2597.22,2592.95,2590.16,2588.76,2588.53,2588.61,2589.58,2591.47,2594.04
"Survey",25.6817,24.3469,23.3789,22.7696,22.5728,22.5199,22.6328,23.1214,24.0041
"Length_comp",570.512,570.211,570.232,570.56,570.961,571.294,572.505,574.275,576.714
"Age_comp",1971.01,1970.62,1970.19,1969.77,1969.46,1969.24,1968.55,1967.6,1966.26
"Recruitment",29.9859,27.7656,26.3354,25.5874,25.414,25.4002,25.6304,26.0909,26.5384
"Parm_priors",0.0270051,0.000274583,0.0152131,0.0657103,0.112219,0.146209,0.251767,0.377319,0.515813
"NatM_uniform_Fem_GP_1",0.143561,0.153169,0.162858,0.172636,0.178693,0.182443,0.192247,0.201967,0.211382
"L_at_Amax_Fem_GP_1",48.2165,48.197,48.1795,48.1642,48.1569,48.1534,48.1486,48.1522,48.1677
"VonBert_K_Fem_GP_1",0.193904,0.193916,0.193905,0.193861,0.193815,0.193777,0.193647,0.193456,0.193191
"CV_young_Fem_GP_1",0.111319,0.110713,0.110168,0.109696,0.10945,0.109319,0.109055,0.10894,0.109029
"CV_old_Fem_GP_1",0.0367524,0.037031,0.0372925,0.0375309,0.0376607,0.0377327,0.0378882,0.0379798,0.0379815
"NatM_uniform_Mal_GP_1",0.337245,0.308261,0.281546,0.256714,0.24235,0.23383,0.21283,0.193826,0.177212
"L_at_Amax_Mal_GP_1",-0.335819,-0.336242,-0.336664,-0.337174,-0.337475,-0.337648,-0.338037,-0.338318,-0.338448
"VonBert_K_Mal_GP_1",0.549242,0.548771,0.548368,0.548369,0.548358,0.548314,0.548046,0.547503,0.546586
"CV_young_Mal_GP_1",0.201648,0.205451,0.208732,0.211083,0.21223,0.21284,0.214075,0.214672,0.214458
"CV_old_Mal_GP_1",0.14477,0.14577,0.146831,0.149117,0.150343,0.150908,0.151497,0.150547,0.147439
"SR_LN(R0)",9.25,9.5,9.75,10,10.1544,10.25,10.5,10.75,11
"Q_extraSD_CalCOFI_Survey(11)",0.293158,0.29098,0.290121,0.290544,0.29146,0.292286,0.295437,0.30016,0.306709
"Q_extraSD_RREAS_YOY_Survey(12)",1.22884,1.23299,1.23738,1.24201,1.24502,1.24694,1.25222,1.25811,1.26487
"Size_DblN_peak_NoCA_HKL(1)",41.2475,41.2586,41.2591,41.2511,41.2361,41.2215,41.1613,41.0609,40.911
"Size_DblN_ascend_se_NoCA_HKL(1)",4.45857,4.44949,4.43958,4.42903,4.42176,4.41686,4.40247,4.3853,4.36509
"Size_DblN_descend_se_NoCA_HKL(1)",5.0163,5.04168,5.06241,5.07627,5.07914,5.0782,5.064,5.02884,4.96906
"Size_DblN_peak_SoCA_HKL(2)",24.1315,24.1698,24.2078,24.2456,24.2687,24.283,24.3204,24.3579,24.3951
"Size_DblN_ascend_se_SoCA_HKL(2)",1.35112,1.371,1.39036,1.40933,1.42085,1.42792,1.4464,1.4651,1.48403
"Size_DblN_descend_se_SoCA_HKL(2)",5.66107,5.69889,5.73971,5.78389,5.81228,5.83011,5.8772,5.92305,5.96375
"Size_DblN_peak_CA_TWL(3)",44.4419,44.5255,44.617,44.7116,44.7699,44.8054,44.8936,44.9684,45.0183
"Size_DblN_ascend_se_CA_TWL(3)",4.51296,4.50945,4.50687,4.5046,4.50337,4.50266,4.5009,4.49905,4.49676
"Size_DblN_descend_se_CA_TWL(3)",3.01616,3.01089,3.0033,2.99443,2.98778,2.98309,2.96853,2.95036,2.9284
"Size_DblN_peak_OR_WA_Comm(4)",41.0235,41.322,41.653,42.0254,42.2614,42.4061,42.843,43.2793,43.7036
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.41418,4.43483,4.45899,4.48745,4.50534,4.5161,4.55165,4.58695,4.62196
"Size_DblN_peak_CA_NET(5)",46.0047,45.984,45.9527,45.9114,45.8767,45.8506,45.764,45.6448,45.4851
"Size_DblN_ascend_se_CA_NET(5)",4.3328,4.32663,4.31961,4.3117,4.30616,4.30244,4.29157,4.27889,4.26423
"Size_DblN_descend_se_CA_NET(5)",3.68811,3.68507,3.67632,3.6626,3.64953,3.63928,3.60449,3.55704,3.49757
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",43.2518,43.3426,43.4329,43.5312,43.5857,43.615,43.6727,43.6906,43.65
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.11112,5.10531,5.0995,5.09436,5.09087,5.08848,5.08135,5.07243,5.06116
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",4.25113,4.2854,4.3188,4.34663,4.36151,4.36962,4.38487,4.38749,4.37274
"Size_DblN_peak_SoCA_Rec(7)",24.4812,24.5353,24.5873,24.6391,24.6712,24.691,24.7424,24.7917,24.8371
"Size_DblN_ascend_se_SoCA_Rec(7)",2.88105,2.89228,2.90254,2.91258,2.9187,2.92242,2.93188,2.94059,2.94812
"Size_DblN_descend_se_SoCA_Rec(7)",3.45055,3.42048,3.38962,3.35655,3.33558,3.32256,3.28871,3.25683,3.22962
"Size_DblN_end_logit_SoCA_Rec(7)",-1.30506,-1.24166,-1.17718,-1.11142,-1.07117,-1.04663,-0.984519,-0.927557,-0.879875
"Size_DblN_peak_TWL_discard(8)",29.3024,29.3776,29.4531,29.5316,29.5827,29.6141,29.6933,29.766,29.8277
"Size_DblN_ascend_se_TWL_discard(8)",4.17025,4.17407,4.17755,4.18142,4.18418,4.1858,4.18934,4.1917,4.19246
"Size_DblN_descend_se_TWL_discard(8)",3.22972,3.22131,3.21277,3.20342,3.19655,3.19217,3.18095,3.17022,3.1606
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",50.3465,50.3143,50.2779,50.237,50.2064,50.1844,50.1139,50.018,49.8868
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.0596,4.05664,4.0533,4.0495,4.04675,4.04483,4.03893,4.03142,4.02178
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",47.5184,47.508,47.4854,47.4528,47.4222,47.3977,47.3096,47.1762,46.9851
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.74187,4.73491,4.72741,4.71939,4.71407,4.71058,4.70058,4.68895,4.67559
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",33.3504,33.4284,33.507,33.6123,33.6688,33.6975,33.7473,33.7505,33.6868
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.19554,3.20803,3.22069,3.2407,3.2508,3.25543,3.26151,3.25677,3.2368
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",30.4568,30.4995,30.544,30.5926,30.6221,30.6394,30.6806,30.7116,30.7253
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.72451,3.72708,3.72996,3.73355,3.73562,3.73674,3.73885,3.73915,3.7365
"Bratio_2025",0.792781,0.771157,0.746422,0.720788,0.70534,0.696207,0.675163,0.660824,0.657635
"SSB_unfished",7390.37,8318.09,9401.52,10665.4,11553.5,12150.3,13902,15986.7,18517.8
"Totbio_unfished",29969.7,34663.8,40261.1,46937.6,51706.2,54941.2,64565.7,76205.8,90465.3
"Recr_unfished",10404.6,13359.7,17154.2,22026.5,25704,28282.5,36315.5,46630,59874.1
"Dead_Catch_SPR",1073.23,1306.42,1592.1,1942.27,2197.41,2372.55,2902.21,3556.19,4369.14
"OFLCatch_2025",1652.53,1943.33,2282.1,2681.79,2966.56,3160.4,3746.69,4488.55,5471.99
