"Reference Points","Estimate","Lower Interval","Upper Interval"
"Unfished Spawning output","11553.3","7918.19399715325","15188.4060028467"
"Unfished Age 3+ Biomass (mt)","49571.7","33433.7681437339","65709.631856266"
"Unfished Recruitment (R0)","25703.1","14087.4518441828","37318.7481558172"
"2025 Spawning output","8149.06","4846.67748316877","11451.4425168312"
"2025 Fraction Unfished","0.705343","0.445765369887515","0.964920630112485"
"Reference Points Based SO40\%","","",""
"Proxy Spawning output SO40\%","4621.33","3167.2875988613","6075.3724011387"
"SPR Resulting in SO40\%","0.458333","0.458333","0.458333"
"Exploitation Rate Resulting in SO40\%","0.0928104","0.0834713480104253","0.102149451989575"
"Yield with SPR Based On SO40\% (mt)","2321.99","1453.48683924264","3190.49316075736"
"Reference Points Based on SPR Proxy for MSY","","",""
"Proxy Spawning output (SPR50)","5154.56","3532.74468178467","6776.37531821533"
"SPR50","0.5","",""
"Exploitation Rate Corresponding to SPR50","0.08091","0.0727497879485667","0.0890702120514333"
"Yield with SPR50 at SO SPR (mt)","2197.35","1377.00903423475","3017.69096576525"
"Reference Points Based on Estimated MSY Values","","",""
"Spawning output at MSY (SO MSY)","2904","1991.080135425","3816.919864575"
"SPR MSY","0.324141","0.318708411026932","0.329573588973068"
"Exploitation Rate Corresponding to SPR MSY","0.144795","0.128768942887971","0.160821057112029"
"MSY (mt)","2537.6","1581.6648058563","3493.5351941437"
