"","Value","converged","TOTAL","Catch","Equil_catch","Survey","Length_comp","Age_comp","Recruitment","InitEQ_Regime","Forecast_Recruitment","Parm_priors","Parm_softbounds","Parm_devs","Crash_Pen","max_grad"
"1",0.25,TRUE,2591.77,2.09567e-11,0,21.6004,573.164,1966.52,26.1326,0,0,4.34503,0.00567405,0,0,0.000413402
"2",0.3,TRUE,2589.73,2.75041e-11,0,21.6524,572.426,1967.51,25.2059,0,0,2.92803,0.00567727,0,0,0.00254007
"3",0.35,TRUE,2588.77,3.22181e-11,0,21.7699,571.932,1968.17,24.7585,0,0,2.12656,0.00567946,0,0,0.00231619
"4",0.4,TRUE,2588.28,3.52191e-11,0,21.9028,571.588,1968.63,24.5779,1.59324e-31,0,1.57952,0.0056809,0,0,0.00301048
"5",0.45,TRUE,2588.06,3.68765e-11,0,22.0324,571.347,1968.94,24.5552,0,0,1.17393,0.00568188,0,0,0.00244601
"6",0.5,TRUE,2587.99,3.75206e-11,0,22.1525,571.181,1969.16,24.6302,0,0,0.860056,0.00568253,0,0,0.00106876
"7",0.55,TRUE,2588.02,3.74219e-11,0,22.2621,571.071,1969.31,24.7659,0,0,0.612062,0.00568293,0,0,0.0026996
"8",0.6,TRUE,2588.12,3.67895e-11,0,22.362,571.004,1969.4,24.9385,0,0,0.415397,0.00568315,0,0,0.00122201
"9",0.65,TRUE,2588.27,3.57967e-11,0,22.4542,570.969,1969.45,25.1313,0,0,0.261802,0.00568319,0,0,0.00134221
"10",0.7,FALSE,2588.45,3.45808e-11,0,22.5399,570.959,1969.46,25.333,0,0,0.147274,0.00568309,0,0,0.0113994
"11",0.72,TRUE,2588.53,3.40568e-11,0,22.5728,570.961,1969.46,25.414,1.60063e-31,0,0.112207,0.00568302,0,0,0.00723897
"12",0.75,TRUE,2588.65,3.32465e-11,0,22.6208,570.968,1969.45,25.5351,0,0,0.0715405,0.00568291,0,0,0.00379401
"13",0.8,TRUE,2588.89,3.18719e-11,0,22.6974,570.99,1969.43,25.7326,0,0,0.0388766,0.00568263,0,0,0.00675306
"14",0.85,TRUE,2589.17,3.05112e-11,0,22.7707,571.022,1969.39,25.9218,0,0,0.0615189,0.00568238,0,0,0.002021
"15",0.9,TRUE,2589.52,2.91997e-11,0,22.8409,571.062,1969.34,26.1006,1.57247e-31,0,0.171266,0.00568195,0,0,0.000519781
"16",0.95,TRUE,2590.05,2.79604e-11,0,22.9082,571.106,1969.29,26.2681,0,0,0.475927,0.00568147,0,0,0.000296365
