"Label","h=0.25","h=0.3","h=0.35","h=0.4","h=0.45","h=0.5","h=0.55","h=0.6","h=0.65","h=0.7","h=0.72","h=0.75","h=0.8","h=0.85","h=0.9","h=0.95"
"N.Parms",144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
"TOTAL",2591.77,2589.73,2588.77,2588.28,2588.06,2587.99,2588.02,2588.12,2588.27,2588.45,2588.53,2588.65,2588.89,2589.17,2589.52,2590.05
"Survey",21.6004,21.6524,21.7699,21.9028,22.0324,22.1525,22.2621,22.362,22.4542,22.5399,22.5728,22.6208,22.6974,22.7707,22.8409,22.9082
"Length_comp",573.164,572.426,571.932,571.588,571.347,571.181,571.071,571.004,570.969,570.959,570.961,570.968,570.99,571.022,571.062,571.106
"Age_comp",1966.52,1967.51,1968.17,1968.63,1968.94,1969.16,1969.31,1969.4,1969.45,1969.46,1969.46,1969.45,1969.43,1969.39,1969.34,1969.29
"Recruitment",26.1326,25.2059,24.7585,24.5779,24.5552,24.6302,24.7659,24.9385,25.1313,25.333,25.414,25.5351,25.7326,25.9218,26.1006,26.2681
"Parm_priors",4.34503,2.92803,2.12656,1.57952,1.17393,0.860056,0.612062,0.415397,0.261802,0.147274,0.112207,0.0715405,0.0388766,0.0615189,0.171266,0.475927
"NatM_uniform_Fem_GP_1",0.185988,0.182397,0.180293,0.179068,0.178382,0.17805,0.177962,0.178048,0.178257,0.178554,0.178691,0.178911,0.179305,0.179718,0.180141,0.180561
"L_at_Amax_Fem_GP_1",48.1597,48.1542,48.1513,48.1501,48.15,48.1505,48.1515,48.1528,48.1544,48.1562,48.1569,48.158,48.1599,48.1619,48.1638,48.1658
"VonBert_K_Fem_GP_1",0.193729,0.193805,0.193845,0.193864,0.193871,0.19387,0.193863,0.193852,0.193838,0.193822,0.193815,0.193804,0.193785,0.193766,0.193746,0.193726
"CV_young_Fem_GP_1",0.109767,0.109578,0.109466,0.109402,0.10937,0.109359,0.109365,0.109381,0.109406,0.109437,0.10945,0.109472,0.10951,0.109549,0.109589,0.109629
"CV_old_Fem_GP_1",0.0376664,0.0376962,0.0377121,0.0377181,0.0377176,0.0377123,0.0377037,0.0376928,0.0376802,0.0376664,0.0376607,0.0376519,0.0376369,0.037622,0.037607,0.0375922
"NatM_uniform_Mal_GP_1",0.229819,0.236277,0.240022,0.242156,0.243315,0.243838,0.243922,0.243692,0.243239,0.242629,0.242353,0.241913,0.241134,0.240322,0.239499,0.238686
"L_at_Amax_Mal_GP_1",-0.337311,-0.33728,-0.337284,-0.337307,-0.337335,-0.337365,-0.337393,-0.33742,-0.337444,-0.337467,-0.337475,-0.337487,-0.337506,-0.337522,-0.337537,-0.337551
"VonBert_K_Mal_GP_1",0.54754,0.547632,0.547743,0.547864,0.547977,0.548078,0.548164,0.548236,0.548293,0.548341,0.548357,0.54838,0.54841,0.548432,0.548451,0.548466
"CV_young_Mal_GP_1",0.210664,0.212149,0.212953,0.213329,0.213447,0.213394,0.21323,0.212989,0.212696,0.21237,0.212231,0.212019,0.211657,0.211296,0.210937,0.210583
"CV_old_Mal_GP_1",0.147367,0.147654,0.148004,0.148418,0.148814,0.149185,0.149513,0.149802,0.150044,0.150262,0.150341,0.150448,0.150615,0.150746,0.150863,0.150968
"SR_LN(R0)",10.7893,10.6043,10.4732,10.3811,10.3149,10.2659,10.2286,10.2,10.1777,10.1602,10.1544,10.1466,10.136,10.1277,10.1214,10.1166
"SR_BH_steep",0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.72,0.75,0.8,0.85,0.9,0.95
"Q_extraSD_CalCOFI_Survey(11)",0.28388,0.28323,0.283374,0.284012,0.284945,0.286049,0.287246,0.288482,0.289732,0.290971,0.29146,0.292185,0.293361,0.294497,0.295584,0.296617
"Q_extraSD_RREAS_YOY_Survey(12)",1.257,1.24878,1.24443,1.24235,1.24155,1.24154,1.24198,1.2427,1.2436,1.24461,1.24502,1.24564,1.24669,1.24772,1.24872,1.24968
"Size_DblN_peak_NoCA_HKL(1)",41.102,41.1648,41.2044,41.229,41.2435,41.2508,41.2529,41.251,41.2462,41.2393,41.2361,41.231,41.2215,41.2116,41.2014,41.191
"Size_DblN_ascend_se_NoCA_HKL(1)",4.41069,4.41758,4.42147,4.42356,4.42456,4.42483,4.42461,4.42404,4.4232,4.42219,4.42176,4.42108,4.41987,4.41865,4.41742,4.4162
"Size_DblN_descend_se_NoCA_HKL(1)",5.05142,5.07246,5.08355,5.08907,5.09117,5.09116,5.0897,5.08725,5.08418,5.08068,5.07917,5.07678,5.073,5.06903,5.06509,5.06131
"Size_DblN_peak_SoCA_HKL(2)",24.2887,24.2822,24.2779,24.2748,24.2726,24.271,24.2698,24.2691,24.2687,24.2687,24.2687,24.2688,24.2691,24.2695,24.2701,24.2707
"Size_DblN_ascend_se_SoCA_HKL(2)",1.43084,1.42753,1.42534,1.42381,1.42268,1.42189,1.42134,1.421,1.42083,1.42082,1.42085,1.42092,1.42109,1.42126,1.42161,1.42201
"Size_DblN_descend_se_SoCA_HKL(2)",5.83737,5.82893,5.82376,5.82029,5.81778,5.81591,5.81453,5.81353,5.81283,5.81239,5.81227,5.81216,5.81205,5.81207,5.81217,5.81232
"Size_DblN_peak_CA_TWL(3)",44.8298,44.8216,44.8141,44.807,44.8002,44.7937,44.7877,44.782,44.7767,44.7718,44.7699,44.7672,44.7629,44.7589,44.7552,44.7517
"Size_DblN_ascend_se_CA_TWL(3)",4.50651,4.50693,4.50671,4.50623,4.50568,4.50515,4.50465,4.50421,4.50383,4.50349,4.50337,4.5032,4.50294,4.50271,4.50252,4.50235
"Size_DblN_descend_se_CA_TWL(3)",2.9806,2.98504,2.98748,2.98884,2.98954,2.98978,2.98969,2.98935,2.98881,2.98808,2.98778,2.98726,2.98641,2.98551,2.98454,2.98357
"Size_DblN_peak_OR_WA_Comm(4)",42.581,42.4738,42.4106,42.3662,42.333,42.3083,42.2901,42.2772,42.2683,42.2629,42.2613,42.2597,42.2588,42.2593,42.2606,42.2631
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.53327,4.52342,4.51801,4.51426,4.51145,4.50936,4.50782,4.50672,4.50595,4.50548,4.50532,4.50516,4.50507,4.50508,4.50514,4.50533
"Size_DblN_peak_CA_NET(5)",45.7651,45.8241,45.858,45.8772,45.8876,45.8921,45.8925,45.89,45.8854,45.8794,45.8767,45.8723,45.8646,45.8565,45.8483,45.8401
"Size_DblN_ascend_se_CA_NET(5)",4.29854,4.30339,4.306,4.30734,4.30795,4.3081,4.30795,4.30758,4.30706,4.30644,4.30617,4.30574,4.30501,4.30425,4.30349,4.30274
"Size_DblN_descend_se_CA_NET(5)",3.6019,3.62756,3.64255,3.65105,3.65562,3.65746,3.65748,3.65614,3.65384,3.6509,3.64958,3.64743,3.64371,3.63981,3.63587,3.63198
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",43.6002,43.6189,43.6254,43.6254,43.6219,43.6164,43.61,43.603,43.5958,43.5886,43.5857,43.5814,43.5744,43.5677,43.5612,43.555
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.08994,5.09249,5.0936,5.09395,5.09387,5.09355,5.09306,5.09248,5.09184,5.09115,5.09087,5.09045,5.08973,5.08902,5.08833,5.08765
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",4.36036,4.36554,4.36779,4.36849,4.36835,4.3676,4.36651,4.36518,4.3637,4.36215,4.36152,4.36054,4.35895,4.35732,4.35575,4.35423
"Size_DblN_peak_SoCA_Rec(7)",24.7085,24.6993,24.6925,24.6871,24.6828,24.6793,24.6765,24.6744,24.6728,24.6716,24.6712,24.6708,24.6702,24.67,24.6699,24.6699
"Size_DblN_ascend_se_SoCA_Rec(7)",2.92503,2.92357,2.92247,2.92159,2.92087,2.92026,2.91977,2.91936,2.91905,2.91878,2.91869,2.91859,2.91842,2.91831,2.91822,2.91815
"Size_DblN_descend_se_SoCA_Rec(7)",3.31239,3.31916,3.32372,3.32699,3.32947,3.33137,3.33283,3.33396,3.33477,3.33541,3.3356,3.33579,3.33614,3.33633,3.33642,3.33648
"Size_DblN_end_logit_SoCA_Rec(7)",-1.03638,-1.04539,-1.05163,-1.05637,-1.06018,-1.0633,-1.06583,-1.06787,-1.06949,-1.07076,-1.07117,-1.07172,-1.07246,-1.073,-1.07339,-1.07368
"Size_DblN_peak_TWL_discard(8)",29.6379,29.6271,29.6181,29.6102,29.6035,29.5978,29.593,29.5891,29.586,29.5835,29.5827,29.5815,29.5802,29.579,29.5783,29.5777
"Size_DblN_ascend_se_TWL_discard(8)",4.1867,4.18677,4.18663,4.18635,4.18603,4.18568,4.18533,4.18497,4.18463,4.18431,4.18418,4.18399,4.18372,4.18344,4.1832,4.18295
"Size_DblN_descend_se_TWL_discard(8)",3.18577,3.18749,3.18913,3.19067,3.19202,3.19322,3.19422,3.19507,3.19578,3.19634,3.19654,3.19683,3.19716,3.19746,3.19767,3.19786
