"Label","M=0.1","M=0.125","M=0.15","M=0.175","M=0.179","M=0.2","M=0.225","M=0.25"
"N.Parms",143,143,143,143,143,143,143,143
"TOTAL",2610.67,2598.41,2591.25,2588.57,2588.53,2589.93,2594.91,2602.93
"Survey",34.3329,28.3835,24.5913,22.7078,22.5729,22.4262,23.4397,25.4963
"Length_comp",574.19,571.739,570.601,570.822,570.961,572.422,575.553,579.899
"Age_comp",1976.21,1973.55,1971.31,1969.64,1969.46,1968.68,1968.34,1968.51
"Recruitment",24.9529,24.4954,24.7381,25.3133,25.414,26.0448,26.834,27.8108
"Parm_priors",0.978353,0.230524,0.00412876,0.0825761,0.112205,0.350398,0.740643,1.21205
"NatM_uniform_Fem_GP_1",0.1,0.125,0.15,0.175,0.178691,0.2,0.225,0.25
"L_at_Amax_Fem_GP_1",48.3096,48.2607,48.2105,48.1635,48.1569,48.1217,48.085,48.0292
"VonBert_K_Fem_GP_1",0.193552,0.193653,0.193767,0.193815,0.193815,0.193771,0.193661,0.193806
"CV_young_Fem_GP_1",0.113222,0.111958,0.11072,0.109603,0.10945,0.108638,0.107796,0.10669
"CV_old_Fem_GP_1",0.0355541,0.0362749,0.0369652,0.0375777,0.0376607,0.0380931,0.0385207,0.0390137
"NatM_uniform_Mal_GP_1",0.523795,0.407133,0.319982,0.251363,0.242354,0.194885,0.146987,0.105036
"L_at_Amax_Mal_GP_1",-0.334647,-0.335565,-0.336351,-0.337292,-0.337475,-0.338537,-0.339783,-0.340371
"VonBert_K_Mal_GP_1",0.550039,0.549507,0.548591,0.548248,0.548358,0.548999,0.549763,0.548614
"CV_young_Mal_GP_1",0.190774,0.198202,0.20561,0.211591,0.21223,0.215415,0.218334,0.224298
"CV_old_Mal_GP_1",0.143372,0.144331,0.144987,0.149067,0.150341,0.15818,0.168232,0.174174
"SR_LN(R0)",9.15914,9.47752,9.78674,10.1057,10.1544,10.4472,10.8292,11.2644
"Q_extraSD_CalCOFI_Survey(11)",0.293442,0.29084,0.289816,0.291047,0.291458,0.29513,0.302404,0.314827
"Q_extraSD_RREAS_YOY_Survey(12)",1.18279,1.20259,1.22275,1.24224,1.24502,1.26039,1.27667,1.29066
"Size_DblN_peak_NoCA_HKL(1)",40.98,41.0785,41.1555,41.2248,41.2362,41.2922,41.3381,41.3614
"Size_DblN_ascend_se_NoCA_HKL(1)",4.46587,4.45289,4.43854,4.42382,4.42176,4.40916,4.39314,4.3762
"Size_DblN_descend_se_NoCA_HKL(1)",4.85943,4.91643,4.9885,5.06713,5.07908,5.14711,5.22111,5.33022
"Size_DblN_peak_SoCA_HKL(2)",24.0005,24.0854,24.1704,24.2559,24.2687,24.3451,24.4468,24.509
"Size_DblN_ascend_se_SoCA_HKL(2)",1.27887,1.32637,1.37127,1.41451,1.42084,1.45857,1.50958,1.53002
