"Label","constant TWL selex","M104 base","2D TWL selex"
"N.Parms",142,144,1504
"TOTAL",2619.28,2588.53,3823.59
"Survey",23.0175,22.5728,23.0632
"Length_comp",592.106,570.961,527.401
"Age_comp",1980.03,1969.46,1972.09
"Recruitment",23.9931,25.414,24.9738
"Parm_priors",0.126402,0.112207,0.0586812
"Parm_devs",0,0,1276
"NatM_uniform_Fem_GP_1",0.180309,0.178691,0.171572
"L_at_Amax_Fem_GP_1",48.0689,48.1569,48.0286
"VonBert_K_Fem_GP_1",0.194199,0.193815,0.19482
"CV_young_Fem_GP_1",0.107446,0.10945,0.10733
"CV_old_Fem_GP_1",0.0379481,0.0376607,0.037602
"NatM_uniform_Mal_GP_1",0.227825,0.242353,0.263886
"L_at_Amax_Mal_GP_1",-0.355289,-0.337475,-0.337782
"VonBert_K_Mal_GP_1",0.618013,0.548357,0.556321
"CV_young_Mal_GP_1",-0.13005,0.21223,0.213624
"CV_old_Mal_GP_1",0.599645,0.150342,0.171457
"SR_LN(R0)",10.1847,10.1544,10.0378
"Q_extraSD_CalCOFI_Survey(11)",0.295497,0.291459,0.294112
"Q_extraSD_RREAS_YOY_Survey(12)",1.27142,1.24502,1.25282
"Size_DblN_peak_NoCA_HKL(1)",42.4317,41.2361,41.5821
"Size_DblN_ascend_se_NoCA_HKL(1)",4.48764,4.42176,4.46358
"Size_DblN_descend_se_NoCA_HKL(1)",5.27884,5.07918,5.76387
"Size_DblN_peak_SoCA_HKL(2)",24.2781,24.2687,24.2181
"Size_DblN_ascend_se_SoCA_HKL(2)",1.40975,1.42085,1.39392
"Size_DblN_descend_se_SoCA_HKL(2)",5.89948,5.81227,5.77795
"Size_DblN_peak_CA_TWL(3)",39.9023,44.7699,NA
"Size_DblN_top_logit_CA_TWL(3)",-6,-6,NA
"Size_DblN_ascend_se_CA_TWL(3)",4.26776,4.50337,NA
"Size_DblN_descend_se_CA_TWL(3)",6.02598,2.98778,NA
"Size_DblN_start_logit_CA_TWL(3)",-10,-10,NA
"Size_DblN_end_logit_CA_TWL(3)",-999,-999,NA
"Size_DblN_peak_OR_WA_Comm(4)",41.5072,42.2613,41.7673
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.35837,4.50533,4.45891
"Size_DblN_peak_CA_NET(5)",46.5663,45.8767,46.9676
"Size_DblN_ascend_se_CA_NET(5)",4.31541,4.30617,4.40416
"Size_DblN_descend_se_CA_NET(5)",4.36994,3.64955,5.10242
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",44.3837,43.5857,43.9261
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.09614,5.09087,5.12259
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",4.40417,4.36152,4.62147
"Size_DblN_peak_SoCA_Rec(7)",24.5689,24.6712,24.6116
"Size_DblN_ascend_se_SoCA_Rec(7)",2.9188,2.91869,2.90809
"Size_DblN_descend_se_SoCA_Rec(7)",3.15278,3.3356,3.36726
"Size_DblN_end_logit_SoCA_Rec(7)",-0.91764,-1.07117,-1.11385
"Size_DblN_peak_TWL_discard(8)",29.7312,29.5827,29.5353
"Size_DblN_ascend_se_TWL_discard(8)",4.25916,4.18418,4.19121
"Size_DblN_descend_se_TWL_discard(8)",3.24955,3.19654,3.20799
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",50.6633,50.2064,50.9327
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.07683,4.04676,4.08641
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",48.3423,47.4222,49.1393
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.70705,4.71407,4.83297
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",31.6995,30.6221,30.7651
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.93394,3.73562,3.76157
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",NA,33.6688,NA
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",NA,3.2508,NA
"Size_DblN_descend_se_CA_TWL(3)_BLK3repl_1875",NA,19,NA
"Size_inflection_CA_TWL(3)",NA,NA,31.7727
"Size_95%width_CA_TWL(3)",NA,NA,6.31134
"sigmasel_CA_TWL(3)_LEN(10)",NA,NA,1
"CA_TWL_ARDEV_y1978_Lbin10",NA,NA,0.000962092
"CA_TWL_ARDEV_y1978_Lbin11",NA,NA,0.000894925
"CA_TWL_ARDEV_y1978_Lbin12",NA,NA,-0.00104145
"CA_TWL_ARDEV_y1978_Lbin13",NA,NA,-0.00201723
"CA_TWL_ARDEV_y1978_Lbin14",NA,NA,-0.00428868
"CA_TWL_ARDEV_y1978_Lbin15",NA,NA,-0.00877973
"CA_TWL_ARDEV_y1978_Lbin16",NA,NA,0.0664395
