"Label","M112, SS3 k devs","M104, base"
"N.Parms",191,144
"TOTAL",2392.34,2588.53
"Survey",19.6788,22.5728
"Length_comp",537.147,570.961
"Age_comp",1798.99,1969.46
"Recruitment",25.2739,25.414
"Parm_priors",0.186938,0.112207
"Parm_devs",11.0583,0
"NatM_uniform_Fem_GP_1",0.186486,0.178691
"L_at_Amax_Fem_GP_1",47.836,48.1569
"VonBert_K_Fem_GP_1",0.213422,0.193815
"CV_young_Fem_GP_1",0.0977955,0.10945
"CV_old_Fem_GP_1",0.0362624,0.0376607
"NatM_uniform_Mal_GP_1",0.19119,0.242353
"L_at_Amax_Mal_GP_1",-0.341618,-0.337475
"VonBert_K_Mal_GP_1",0.578025,0.548357
"CV_young_Mal_GP_1",-0.099446,0.21223
"CV_old_Mal_GP_1",0.558592,0.150342
"VonBert_K_Fem_GP_1_dev_se",0.5,NA
"VonBert_K_Fem_GP_1_dev_autocorr",0,NA
"SR_LN(R0)",10.2317,10.1544
"Q_extraSD_CalCOFI_Survey(11)",0.290208,0.291459
"Q_extraSD_RREAS_YOY_Survey(12)",1.26715,1.24502
"Size_DblN_peak_NoCA_HKL(1)",43.5004,41.2361
"Size_DblN_ascend_se_NoCA_HKL(1)",4.48969,4.42176
"Size_DblN_descend_se_NoCA_HKL(1)",6.81926,5.07918
"Size_DblN_peak_SoCA_HKL(2)",24.477,24.2687
"Size_DblN_ascend_se_SoCA_HKL(2)",1.52741,1.42085
"Size_DblN_descend_se_SoCA_HKL(2)",5.96785,5.81227
"Size_DblN_peak_CA_TWL(3)",44.8508,44.7699
"Size_DblN_ascend_se_CA_TWL(3)",4.46301,4.50337
"Size_DblN_descend_se_CA_TWL(3)",3.05253,2.98778
"Size_DblN_peak_OR_WA_Comm(4)",42.8034,42.2613
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.46093,4.50533
"Size_DblN_peak_CA_NET(5)",47.3607,45.8767
"Size_DblN_ascend_se_CA_NET(5)",4.33448,4.30617
"Size_DblN_descend_se_CA_NET(5)",8.9754,3.64955
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",46.0927,43.5857
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.17657,5.09087
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",4.95357,4.36152
"Size_DblN_peak_SoCA_Rec(7)",24.3617,24.6712
"Size_DblN_ascend_se_SoCA_Rec(7)",2.85924,2.91869
"Size_DblN_descend_se_SoCA_Rec(7)",3.2183,3.3356
"Size_DblN_end_logit_SoCA_Rec(7)",-0.989578,-1.07117
"Size_DblN_peak_TWL_discard(8)",30.002,29.5827
"Size_DblN_ascend_se_TWL_discard(8)",4.30808,4.18418
"Size_DblN_descend_se_TWL_discard(8)",3.19026,3.19654
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",50.66,50.2064
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.06603,4.04676
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",51.1891,47.4222
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.85281,4.71407
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",37.4547,33.6688
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.93003,3.2508
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",31.7352,30.6221
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.94892,3.73562
"VonBert_K_Fem_GP_1_DEVmult_1978",-0.864531,NA
"VonBert_K_Fem_GP_1_DEVmult_1979",-0.129489,NA
"VonBert_K_Fem_GP_1_DEVmult_1980",0.456516,NA
"VonBert_K_Fem_GP_1_DEVmult_1981",-1.05089,NA
"VonBert_K_Fem_GP_1_DEVmult_1982",-0.974676,NA
"VonBert_K_Fem_GP_1_DEVmult_1983",-0.455496,NA
