"Label","M113 no early rec devs","M104 Pre-STAR base"
"N.Parms",114,144
"TOTAL",2597.99,2588.53
"Survey",24.6043,22.5728
"Length_comp",572.224,570.961
"Age_comp",1976.27,1969.46
"Recruitment",24.8311,25.414
"Parm_priors",0.0544418,0.112207
"NatM_uniform_Fem_GP_1",0.170903,0.178691
"L_at_Amax_Fem_GP_1",48.1918,48.1569
"VonBert_K_Fem_GP_1",0.193509,0.193815
"CV_young_Fem_GP_1",0.110284,0.10945
"CV_old_Fem_GP_1",0.0372766,0.0376607
"NatM_uniform_Mal_GP_1",0.261083,0.242353
"L_at_Amax_Mal_GP_1",-0.33746,-0.337475
"VonBert_K_Mal_GP_1",0.549305,0.548357
"CV_young_Mal_GP_1",0.207942,0.21223
"CV_old_Mal_GP_1",0.14832,0.150342
"SR_LN(R0)",10.2376,10.1544
"Q_extraSD_CalCOFI_Survey(11)",0.314345,0.291459
"Q_extraSD_RREAS_YOY_Survey(12)",1.23342,1.24502
"Size_DblN_peak_NoCA_HKL(1)",41.247,41.2361
"Size_DblN_ascend_se_NoCA_HKL(1)",4.42859,4.42176
"Size_DblN_descend_se_NoCA_HKL(1)",5.02092,5.07918
"Size_DblN_peak_SoCA_HKL(2)",24.2449,24.2687
"Size_DblN_ascend_se_SoCA_HKL(2)",1.41024,1.42085
"Size_DblN_descend_se_SoCA_HKL(2)",5.7807,5.81227
"Size_DblN_peak_CA_TWL(3)",44.6706,44.7699
"Size_DblN_ascend_se_CA_TWL(3)",4.5016,4.50337
"Size_DblN_descend_se_CA_TWL(3)",2.98489,2.98778
"Size_DblN_peak_OR_WA_Comm(4)",41.9177,42.2613
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.47505,4.50533
"Size_DblN_peak_CA_NET(5)",45.8628,45.8767
"Size_DblN_ascend_se_CA_NET(5)",4.30699,4.30617
"Size_DblN_descend_se_CA_NET(5)",3.62943,3.64955
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",43.4854,43.5857
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.08949,5.09087
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",4.31863,4.36152
"Size_DblN_peak_SoCA_Rec(7)",24.6439,24.6712
"Size_DblN_ascend_se_SoCA_Rec(7)",2.91253,2.91869
"Size_DblN_descend_se_SoCA_Rec(7)",3.36583,3.3356
"Size_DblN_end_logit_SoCA_Rec(7)",-1.10898,-1.07117
"Size_DblN_peak_TWL_discard(8)",29.546,29.5827
"Size_DblN_ascend_se_TWL_discard(8)",4.18191,4.18418
"Size_DblN_descend_se_TWL_discard(8)",3.20013,3.19654
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",50.2444,50.2064
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.05171,4.04676
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",47.4014,47.4222
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.7165,4.71407
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",33.5782,33.6688
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.23274,3.2508
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",30.5729,30.6221
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.73145,3.73562
"Bratio_2025",0.606656,0.705343
"SSB_unfished",13832.6,11553.3
"Totbio_unfished",60546.6,51705.2
"Recr_unfished",27934.5,25703.1
"Dead_Catch_SPR",2485.47,2197.35
"OFLCatch_2025",2887.16,2966.49
