"Reference Points","Estimate","Lower Interval","Upper Interval"
"Unfished Spawning output","13944.9","11105.735371275","16784.064628725"
"Unfished Age 3+ Biomass (mt)","58706","45124.2139730914","72287.7860269086"
"Unfished Recruitment (R0)","28215.2","16401.5954817442","40028.8045182558"
"2025 Spawning output","8402.08","5063.18335413679","11740.9766458632"
"2025 Fraction Unfished","0.602521","0.391852311157728","0.813189688842272"
"Reference Points Based SO40\%","","",""
"Proxy Spawning output SO40\%","5577.95","4442.28022858202","6713.61977141798"
"SPR Resulting in SO40\%","0.458333","0.458333","0.458333"
"Exploitation Rate Resulting in SO40\%","0.0899136","0.0808347332293729","0.098992466770627"
"Yield with SPR Based On SO40\% (mt)","2650.12","1813.71320945347","3486.52679054653"
"Reference Points Based on SPR Proxy for MSY","","",""
"Proxy Spawning output (SPR50)","6221.56","4954.85095650364","7488.26904349636"
"SPR50","0.5","",""
"Exploitation Rate Corresponding to SPR50","0.0783759","0.0704350275180766","0.0863167724819234"
"Yield with SPR50 at SO SPR (mt)","2508.65","1719.29606483032","3298.00393516968"
"Reference Points Based on Estimated MSY Values","","",""
"Spawning output at MSY (SO MSY)","3514.65","2808.25938033192","4221.04061966808"
"SPR MSY","0.324757","0.319421468443446","0.330092531556554"
"Exploitation Rate Corresponding to SPR MSY","0.13999","0.124547149771211","0.155432850228789"
"MSY (mt)","2893.13","1969.70276850388","3816.55723149612"
