"","Value","converged","TOTAL","Catch","Equil_catch","Survey","Length_comp","Age_comp","Recruitment","InitEQ_Regime","Forecast_Recruitment","Parm_priors","Parm_softbounds","Parm_devs","Crash_Pen","max_grad"
"1",0.25,TRUE,2599.51,2.22107e-11,0,21.9503,574.507,1972.79,25.918,0,0,4.33733,0.00567954,0,0,0.00140514
"17",0.3,TRUE,2597.52,2.99932e-11,0,22.0821,573.766,1973.83,24.9164,0,0,2.91613,0.00568374,0,0,0.00165258
"3",0.35,TRUE,2596.65,3.68055e-11,0,22.3062,573.252,1974.58,24.4021,0,0,2.10763,0.0056871,0,0,0.000817668
"2",0.4,TRUE,2596.31,4.22833e-11,0,22.5791,572.885,1975.12,24.1694,0,0,1.5532,0.00568978,0,0,0.00576237
"5",0.45,TRUE,2596.27,4.62793e-11,0,22.876,572.62,1975.52,24.1093,0,0,1.14088,0.00569198,0,0,0.000992675
"31",0.5,TRUE,2596.42,4.87982e-11,0,23.1823,572.435,1975.81,24.1588,0,0,0.821092,0.00569386,0,0,0.00640725
"4",0.55,TRUE,2596.68,4.99436e-11,0,23.4899,572.312,1976.02,24.2789,0,0,0.567966,0.00569546,0,0,9.10529e-05
"8",0.6,TRUE,2597.01,4.98883e-11,0,23.7952,572.241,1976.16,24.4432,1.75148e-31,0,0.366839,0.00569674,0,0,0.000160687
"9",0.65,TRUE,2597.39,4.88331e-11,0,24.0967,572.215,1976.23,24.6331,0,0,0.209392,0.00569779,0,0,0.00211311
"10",0.7,TRUE,2597.81,4.70004e-11,0,24.3939,572.227,1976.26,24.8342,0,0,0.0915926,0.00569854,0,0,0.00135744
"11",0.72,TRUE,2597.98,4.60992e-11,0,24.5117,572.241,1976.25,24.9153,0,0,0.0553734,0.0056988,0,0,0.00069519
"12",0.75,TRUE,2598.25,4.46125e-11,0,24.687,572.271,1976.24,25.0357,1.76032e-31,0,0.0131432,0.00569916,0,0,0.00186044
"13",0.8,TRUE,2598.72,4.18813e-11,0,24.9758,572.343,1976.19,25.2294,0,0,-0.0216859,0.00569947,0,0,0.0019569
"14",0.85,TRUE,2599.22,3.89969e-11,0,25.2595,572.436,1976.11,25.4093,0,0,-0.000685893,0.00569972,0,0,0.00153148
"15",0.9,TRUE,2599.78,3.61154e-11,0,25.5371,572.548,1976.01,25.5717,1.74012e-31,0,0.107895,0.00569988,0,0,0.00537234
"16",0.95,TRUE,2600.5,3.33482e-11,0,25.8071,572.672,1975.89,25.7149,0,0,0.411818,0.00569989,0,0,0.00117608
