Label,h=0.25,h=0.3,h=0.35,h=0.4,h=0.45,h=0.5,h=0.55,h=0.6,h=0.65,h=0.7,h=0.72,h=0.75,h=0.8,h=0.85,h=0.9,h=0.95
N.Parms,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
TOTAL,2599.51,2597.52,2596.65,2596.31,2596.27,2596.42,2596.68,2597.01,2597.39,2597.81,2597.98,2598.25,2598.72,2599.22,2599.78,2600.50
Survey,21.95,22.08,22.31,22.58,22.88,23.18,23.49,23.80,24.10,24.39,24.51,24.69,24.98,25.26,25.54,25.81
Length_comp,574.51,573.77,573.25,572.89,572.62,572.44,572.31,572.24,572.22,572.23,572.24,572.27,572.34,572.44,572.55,572.67
Age_comp,1972.79,1973.83,1974.58,1975.12,1975.52,1975.81,1976.02,1976.16,1976.23,1976.26,1976.25,1976.24,1976.19,1976.11,1976.01,1975.89
Recruitment,25.92,24.92,24.40,24.17,24.11,24.16,24.28,24.44,24.63,24.83,24.92,25.04,25.23,25.41,25.57,25.71
Parm_priors,4.34,2.92,2.11,1.55,1.14,0.82,0.57,0.37,0.21,0.09,0.06,0.01,-0.02,0.00,0.11,0.41
NatM_uniform_Fem_GP_1,0.185,0.181,0.178,0.176,0.174,0.173,0.172,0.171,0.171,0.171,0.171,0.171,0.171,0.172,0.172,0.172
L_at_Amax_Fem_GP_1,48.168,48.164,48.163,48.164,48.166,48.170,48.174,48.178,48.183,48.188,48.190,48.193,48.199,48.204,48.210,48.215
VonBert_K_Fem_GP_1,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.193,0.193,0.193,0.193
CV_young_Fem_GP_1,0.110,0.110,0.110,0.110,0.110,0.110,0.110,0.110,0.110,0.110,0.110,0.110,0.110,0.111,0.111,0.111
CV_old_Fem_GP_1,0.038,0.038,0.038,0.038,0.038,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037
NatM_uniform_Mal_GP_1,0.233,0.240,0.246,0.250,0.254,0.256,0.258,0.259,0.260,0.261,0.261,0.261,0.260,0.260,0.259,0.258
L_at_Amax_Mal_GP_1,-0.337,-0.337,-0.337,-0.337,-0.337,-0.337,-0.337,-0.337,-0.337,-0.337,-0.337,-0.337,-0.338,-0.338,-0.338,-0.338
VonBert_K_Mal_GP_1,0.548,0.548,0.548,0.548,0.548,0.549,0.549,0.549,0.549,0.549,0.549,0.549,0.549,0.550,0.550,0.550
CV_young_Mal_GP_1,0.208,0.210,0.211,0.211,0.211,0.211,0.210,0.210,0.209,0.209,0.208,0.208,0.207,0.206,0.205,0.204
CV_old_Mal_GP_1,0.145,0.144,0.145,0.145,0.146,0.146,0.147,0.147,0.148,0.148,0.148,0.149,0.149,0.149,0.150,0.150
SR_LN(R0),10.762,10.618,10.521,10.449,10.394,10.350,10.317,10.290,10.269,10.253,10.248,10.241,10.232,10.226,10.223,10.221
SR_BH_steep,0.250,0.300,0.350,0.400,0.450,0.500,0.550,0.600,0.650,0.700,0.720,0.750,0.800,0.850,0.900,0.950
Q_extraSD_CalCOFI_Survey(11),0.288,0.288,0.289,0.291,0.294,0.297,0.300,0.303,0.307,0.311,0.313,0.316,0.320,0.325,0.329,0.333
Q_extraSD_RREAS_YOY_Survey(12),1.258,1.249,1.242,1.238,1.236,1.234,1.233,1.233,1.233,1.233,1.233,1.234,1.235,1.236,1.237,1.238
Size_DblN_peak_NoCA_HKL(1),41.115,41.180,41.222,41.250,41.266,41.274,41.276,41.273,41.265,41.253,41.247,41.238,41.221,41.203,41.183,41.162
Size_DblN_ascend_se_NoCA_HKL(1),4.413,4.421,4.426,4.429,4.431,4.431,4.432,4.431,4.430,4.429,4.428,4.427,4.426,4.424,4.422,4.419
Size_DblN_descend_se_NoCA_HKL(1),5.032,5.052,5.062,5.065,5.064,5.059,5.053,5.046,5.037,5.028,5.024,5.018,5.008,4.998,4.989,4.979
Size_DblN_peak_SoCA_HKL(2),24.280,24.273,24.267,24.262,24.257,24.254,24.251,24.249,24.247,24.246,24.245,24.245,24.244,24.244,24.244,24.245
Size_DblN_ascend_se_SoCA_HKL(2),1.427,1.424,1.421,1.418,1.416,1.414,1.413,1.412,1.411,1.410,1.410,1.410,1.410,1.410,1.410,1.411
Size_DblN_descend_se_SoCA_HKL(2),5.832,5.822,5.813,5.807,5.801,5.796,5.792,5.788,5.785,5.782,5.781,5.780,5.779,5.777,5.776,5.776
Size_DblN_peak_CA_TWL(3),44.818,44.807,44.792,44.776,44.759,44.741,44.725,44.709,44.693,44.679,44.673,44.665,44.652,44.640,44.628,44.618
Size_DblN_ascend_se_CA_TWL(3),4.507,4.508,4.507,4.507,4.506,4.505,4.504,4.504,4.503,4.502,4.502,4.501,4.501,4.500,4.499,4.499
Size_DblN_descend_se_CA_TWL(3),2.978,2.983,2.986,2.987,2.988,2.989,2.988,2.988,2.987,2.986,2.985,2.984,2.983,2.981,2.979,2.977
Size_DblN_peak_OR_WA_Comm(4),42.523,42.411,42.318,42.237,42.165,42.103,42.051,42.006,41.968,41.936,41.925,41.910,41.890,41.874,41.861,41.852
Size_DblN_ascend_se_OR_WA_Comm(4),4.529,4.519,4.511,4.504,4.498,4.492,4.487,4.483,4.480,4.477,4.476,4.474,4.472,4.471,4.469,4.469
Size_DblN_peak_CA_NET(5),45.755,45.816,45.854,45.877,45.890,45.896,45.896,45.892,45.884,45.873,45.868,45.860,45.845,45.829,45.812,45.795
Size_DblN_ascend_se_CA_NET(5),4.298,4.303,4.306,4.308,4.309,4.310,4.310,4.309,4.309,4.308,4.307,4.307,4.306,4.304,4.303,4.301
Size_DblN_descend_se_CA_NET(5),3.590,3.616,3.633,3.642,3.647,3.649,3.648,3.645,3.640,3.635,3.632,3.628,3.621,3.613,3.605,3.597
Size_DblN_peak_NoCA_OR_WA_Rec(6),43.584,43.600,43.602,43.595,43.583,43.569,43.552,43.535,43.517,43.498,43.491,43.480,43.462,43.445,43.430,43.415
Size_DblN_ascend_se_NoCA_OR_WA_Rec(6),5.090,5.093,5.094,5.094,5.094,5.094,5.093,5.092,5.091,5.090,5.090,5.089,5.088,5.086,5.085,5.084
Size_DblN_descend_se_NoCA_OR_WA_Rec(6),4.344,4.348,4.348,4.346,4.343,4.339,4.335,4.331,4.326,4.322,4.321,4.318,4.314,4.309,4.305,4.301
Size_DblN_peak_SoCA_Rec(7),24.705,24.694,24.685,24.677,24.670,24.664,24.658,24.653,24.649,24.646,24.645,24.643,24.641,24.639,24.638,24.637
Size_DblN_ascend_se_SoCA_Rec(7),2.924,2.922,2.921,2.919,2.918,2.917,2.916,2.915,2.914,2.913,2.913,2.912,2.912,2.911,2.911,2.911
Size_DblN_descend_se_SoCA_Rec(7),3.317,3.325,3.332,3.339,3.344,3.349,3.354,3.358,3.361,3.364,3.365,3.366,3.369,3.370,3.372,3.373
Size_DblN_end_logit_SoCA_Rec(7),-1.044,-1.055,-1.064,-1.073,-1.080,-1.087,-1.093,-1.098,-1.103,-1.107,-1.108,-1.110,-1.113,-1.115,-1.117,-1.119
Size_DblN_peak_TWL_discard(8),29.629,29.617,29.605,29.594,29.584,29.575,29.567,29.560,29.554,29.549,29.547,29.544,29.541,29.538,29.535,29.534
Size_DblN_ascend_se_TWL_discard(8),4.186,4.186,4.186,4.185,4.185,4.184,4.184,4.183,4.183,4.182,4.182,4.182,4.181,4.181,4.180,4.180
Size_DblN_descend_se_TWL_discard(8),3.186,3.188,3.190,3.192,3.193,3.195,3.196,3.198,3.199,3.200,3.200,3.201,3.201,3.202,3.202,3.203
Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875,50.072,50.117,50.148,50.170,50.187,50.201,50.213,50.222,50.229,50.235,50.237,50.240,50.243,50.245,50.246,50.246
Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875,4.038,4.042,4.044,4.046,4.047,4.048,4.049,4.049,4.050,4.050,4.050,4.051,4.051,4.051,4.051,4.051
Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875,47.280,47.355,47.401,47.428,47.443,47.449,47.448,47.441,47.431,47.417,47.410,47.400,47.381,47.360,47.338,47.316
Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875,4.709,4.713,4.716,4.718,4.719,4.719,4.719,4.719,4.718,4.717,4.717,4.717,4.716,4.714,4.713,4.712
Size_DblN_peak_CA_TWL(3)_BLK3repl_1875,33.565,33.588,33.600,33.606,33.608,33.607,33.605,33.601,33.595,33.588,33.585,33.581,33.572,33.563,33.554,33.545
Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875,3.226,3.233,3.237,3.239,3.240,3.240,3.240,3.239,3.237,3.235,3.234,3.233,3.231,3.228,3.225,3.223
Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875,30.558,30.553,30.549,30.548,30.549,30.552,30.557,30.563,30.570,30.578,30.581,30.586,30.595,30.604,30.614,30.623
