"","Value","converged","TOTAL","Catch","Equil_catch","Survey","Length_comp","Age_comp","Recruitment","InitEQ_Regime","Forecast_Recruitment","Parm_priors","Parm_softbounds","Parm_devs","Crash_Pen","max_grad"
"1",0.1,TRUE,2618,2.14835e-09,0,34.3607,575.582,1981.96,25.1143,0,0,0.978353,0.00583298,0,0,0.000459585
"2",0.125,TRUE,2605.94,4.536e-10,0,29.0105,573.069,1979.37,24.253,3.46667e-31,0,0.230524,0.00576986,0,0,0.000599744
"3",0.15,TRUE,2599.57,1.22021e-10,0,25.7915,571.977,1977.4,24.3913,0,0,0.00412876,0.00572218,0,0,0.00082821
"4",0.171052,TRUE,2597.98,4.60995e-11,0,24.5117,572.241,1976.25,24.9153,1.76148e-31,0,0.0553718,0.00569878,0,0,0.00345853
"5",0.175,TRUE,2598.04,3.88808e-11,0,24.4013,572.394,1976.12,25.0354,0,0,0.0825761,0.00569575,0,0,0.000494015
"6",0.2,TRUE,3017.21,2.9344e-08,0,35.7311,936.886,2015.58,28.589,0,0,0.350398,0.0731969,0,0,0.00648831
"7",0.225,TRUE,2607.05,5.05546e-12,0,25.9824,578.095,1975.59,26.6353,0,0,0.740643,0.00573182,0,0,0.000268742
"21",0.25,TRUE,2616.35,2.18941e-12,0,28.4088,583.404,1976.16,27.1633,0,0,1.21205,0.00648596,0,0,0.00205715
"9",0.275,TRUE,2628.02,5.35061e-13,0,32.0233,590.448,1976.64,27.1664,0,0,1.738,0.006903,0,0,0.000337341
"31",0.3,TRUE,2642.06,4.24829e-13,0,33.7266,594.973,1983.59,27.4615,0,0,2.3007,0.00941917,0,0,0.00250434
"11",0.325,TRUE,2659.47,1.06838e-12,0,34.6706,600.818,1993.37,27.7099,0,0,2.8879,0.0123859,0,0,0.00162572
"51",0.35,TRUE,2677.36,3.32062e-12,0,35.977,617.618,1993.6,26.6597,0,0,3.491,0.0149724,0,0,0.00205798
