"Label","M_female=0.1","M_female=0.125","M_female=0.15","M_female=0.171","M_female=0.175","M_female=0.2","M_female=0.225","M_female=0.25"
"N.Parms",114,114,114,114,114,114,114,114
"TOTAL",2618,2605.94,2599.57,2597.98,2598.04,2600.72,2607.05,2616.35
"Survey",34.3607,29.0105,25.7915,24.5117,24.4013,24.5503,25.9824,28.4088
"Length_comp",575.582,573.069,571.977,572.241,572.394,574.379,578.095,583.404
"Age_comp",1981.96,1979.37,1977.4,1976.25,1976.12,1975.57,1975.59,1976.16
"Recruitment",25.1143,24.253,24.3913,24.9153,25.0354,25.8633,26.6353,27.1633
"Parm_priors",0.978353,0.230524,0.00412876,0.0553718,0.0825761,0.350398,0.740643,1.21205
"NatM_uniform_Fem_GP_1",0.1,0.125,0.15,0.171052,0.175,0.2,0.225,0.25
"L_at_Amax_Fem_GP_1",48.3154,48.2726,48.2268,48.19,48.1832,48.1447,48.1124,48.0661
"VonBert_K_Fem_GP_1",0.193493,0.193489,0.193528,0.193531,0.193525,0.193439,0.193291,0.193353
"CV_young_Fem_GP_1",0.113688,0.112447,0.111202,0.110246,0.110078,0.109134,0.108354,0.107386
"CV_old_Fem_GP_1",0.0354339,0.0361216,0.0367888,0.0372932,0.0373817,0.0378745,0.0382732,0.0387158
"NatM_uniform_Mal_GP_1",0.525011,0.407718,0.319883,0.260589,0.250535,0.193292,0.14464,0.10181
"L_at_Amax_Mal_GP_1",-0.334615,-0.33568,-0.336593,-0.337454,-0.337671,-0.33904,-0.340387,-0.341106
"VonBert_K_Mal_GP_1",0.550509,0.55023,0.549497,0.54925,0.549414,0.550441,0.551451,0.550606
"CV_young_Mal_GP_1",0.188179,0.195482,0.202987,0.208243,0.208936,0.212489,0.214863,0.219872
"CV_old_Mal_GP_1",0.142166,0.14376,0.144877,0.14829,0.14979,0.159803,0.170492,0.176337
"SR_LN(R0)",9.10811,9.51772,9.91479,10.2476,10.3103,10.7152,11.1514,11.6695
"Q_extraSD_CalCOFI_Survey(11)",0.294877,0.299107,0.30594,0.313159,0.314656,0.325527,0.339203,0.356065
"Q_extraSD_RREAS_YOY_Survey(12)",1.18493,1.20192,1.21919,1.23343,1.23605,1.25207,1.26695,1.27966
"Size_DblN_peak_NoCA_HKL(1)",40.9852,41.101,41.1882,41.2474,41.2599,41.3181,41.3397,41.3195
"Size_DblN_ascend_se_NoCA_HKL(1)",4.46691,4.45514,4.4412,4.42847,4.4262,4.41034,4.39204,4.37153
"Size_DblN_descend_se_NoCA_HKL(1)",4.84806,4.89594,4.96184,5.02408,5.03654,5.1119,5.17465,5.24813
"Size_DblN_peak_SoCA_HKL(2)",23.9919,24.0819,24.1708,24.2452,24.2591,24.3502,24.4514,24.5108
"Size_DblN_ascend_se_SoCA_HKL(2)",1.2749,1.32549,1.37263,1.41035,1.4173,1.46249,1.51326,1.53211
"Size_DblN_descend_se_SoCA_HKL(2)",5.5099,5.59196,5.68786,5.78143,5.80073,5.93441,6.09141,6.28904
"Size_DblN_peak_CA_TWL(3)",43.9401,44.1737,44.4267,44.6731,44.7215,45.0368,45.3687,45.6941
"Size_DblN_ascend_se_CA_TWL(3)",4.51564,4.50785,4.50254,4.50165,4.5016,4.50217,4.50438,4.50537
"Size_DblN_descend_se_CA_TWL(3)",3.01982,3.01063,3.00384,2.98528,2.98103,2.94639,2.89477,2.85377
"Size_DblN_peak_OR_WA_Comm(4)",39.5714,40.27,41.0985,41.925,42.0973,43.3649,45.397,53.9892
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.29869,4.34728,4.41007,4.47569,4.4895,4.59319,4.76729,5.3901
"Size_DblN_peak_CA_NET(5)",45.8065,45.8176,45.8413,45.8676,45.8747,45.9097,45.9212,45.9243
"Size_DblN_ascend_se_CA_NET(5)",4.33353,4.323,4.31422,4.30744,4.30625,4.29804,4.28809,4.27881
"Size_DblN_descend_se_CA_NET(5)",3.5427,3.56219,3.59596,3.63212,3.64043,3.69072,3.73341,3.78989
