"Label","logR0=8.5","logR0=9","logR0=9.5","logR0=10","logR0=10.248","logR0=10.5","logR0=11","logR0=11.5"
"N.Parms",114,114,114,114,114,114,114,114
"TOTAL",2642.18,2619.27,2605.07,2598.69,2597.98,2598.64,2603.02,2609.13
"Survey",44.3288,35.3952,29.0626,25.413,24.5117,24.1593,25.0923,28.1012
"Length_comp",580.398,575.698,572.63,571.821,572.241,573.254,577.248,583.728
"Age_comp",1983.1,1980.26,1978.33,1976.88,1976.25,1975.57,1973.48,1969.72
"Recruitment",31.5856,27.054,24.9107,24.5706,24.9153,25.4946,26.764,26.8808
"Parm_priors",2.76759,0.858066,0.136376,0.0034041,0.0553684,0.156845,0.433647,0.693862
"NatM_uniform_Fem_GP_1",0.074401,0.102791,0.131224,0.158283,0.171051,0.18354,0.205923,0.222292
"L_at_Amax_Fem_GP_1",48.4376,48.3715,48.2871,48.2157,48.19,48.173,48.1767,48.2476
"VonBert_K_Fem_GP_1",0.19262,0.19283,0.193226,0.193497,0.193531,0.193483,0.193119,0.192316
"CV_young_Fem_GP_1",0.116392,0.114754,0.112703,0.110908,0.110246,0.109759,0.109481,0.110506
"CV_old_Fem_GP_1",0.0342685,0.0350512,0.036038,0.0369354,0.0372932,0.0375781,0.0378288,0.0374709
"NatM_uniform_Mal_GP_1",0.680567,0.499726,0.378436,0.293677,0.260591,0.231595,0.187239,0.161465
"L_at_Amax_Mal_GP_1",-0.333975,-0.335396,-0.336309,-0.337025,-0.337454,-0.337898,-0.338406,-0.338564
"VonBert_K_Mal_GP_1",0.55476,0.554043,0.552006,0.549818,0.549249,0.548863,0.547366,0.545987
"CV_young_Mal_GP_1",0.169866,0.179603,0.192837,0.204471,0.208243,0.210708,0.21228,0.206418
"CV_old_Mal_GP_1",0.137563,0.146846,0.148732,0.14769,0.148289,0.149002,0.145428,0.138273
"SR_LN(R0)",8.5,9,9.5,10,10.2476,10.5,11,11.5
"Q_extraSD_CalCOFI_Survey(11)",0.317529,0.316081,0.314479,0.312745,0.313158,0.315085,0.325891,0.351393
"Q_extraSD_RREAS_YOY_Survey(12)",1.17182,1.18878,1.2074,1.22513,1.23343,1.24161,1.2573,1.27306
"Size_DblN_peak_NoCA_HKL(1)",41.0555,41.1649,41.2378,41.2598,41.2474,41.2067,40.9868,40.587
"Size_DblN_ascend_se_NoCA_HKL(1)",4.5069,4.48767,4.46576,4.44153,4.42847,4.41357,4.37602,4.33219
"Size_DblN_descend_se_NoCA_HKL(1)",4.72659,4.79001,4.89945,4.99616,5.02413,5.0314,4.96275,4.7933
"Size_DblN_peak_SoCA_HKL(2)",23.8823,23.991,24.0985,24.1987,24.2451,24.2905,24.3734,24.4324
"Size_DblN_ascend_se_SoCA_HKL(2)",1.21074,1.27593,1.33528,1.38709,1.41033,1.43273,1.47396,1.50472
"Size_DblN_descend_se_SoCA_HKL(2)",5.45967,5.53039,5.62152,5.7259,5.78143,5.8388,5.94062,5.99252
"Size_DblN_peak_CA_TWL(3)",43.8881,44.054,44.2845,44.5401,44.6731,44.7979,44.9732,44.9689
"Size_DblN_ascend_se_CA_TWL(3)",4.54123,4.52051,4.5091,4.50291,4.50165,4.50038,4.49706,4.48984
"Size_DblN_descend_se_CA_TWL(3)",3.00104,2.9879,2.99415,2.99438,2.98528,2.97214,2.93286,2.88368
"Size_DblN_peak_OR_WA_Comm(4)",39.1879,39.8107,40.5578,41.4369,41.925,42.4179,43.3984,43.9497
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.2814,4.32187,4.37132,4.43689,4.47569,4.51417,4.5946,4.6394
"Size_DblN_peak_CA_NET(5)",45.8772,45.902,45.9349,45.9107,45.8676,45.7948,45.5359,45.0834
"Size_DblN_ascend_se_CA_NET(5)",4.34879,4.33836,4.32941,4.31631,4.30744,4.29647,4.26893,4.23016
"Size_DblN_descend_se_CA_NET(5)",3.5398,3.57593,3.62518,3.64206,3.63213,3.60688,3.50768,3.39125
