"Label","M126 constant TWL selex","M116 Pre-STAR base","M125 2D selex"
"N.Parms",112,114,1474
"TOTAL",2624.36,2597.98,3832.74
"Survey",24.9956,24.5116,24.855
"Length_comp",588.294,572.241,528.587
"Age_comp",1986.7,1976.25,1978.84
"Recruitment",24.3386,24.9152,24.4489
"Parm_priors",0.0270967,0.0553727,0.0217717
"Parm_devs",0,0,1275.98
"NatM_uniform_Fem_GP_1",0.165831,0.171052,0.164596
"L_at_Amax_Fem_GP_1",48.046,48.19,48.053
"VonBert_K_Fem_GP_1",0.195049,0.193531,0.194674
"CV_young_Fem_GP_1",0.108197,0.110246,0.107846
"CV_old_Fem_GP_1",0.0372876,0.0372932,0.0373376
"NatM_uniform_Mal_GP_1",0.283332,0.260589,0.283349
"L_at_Amax_Mal_GP_1",-0.345938,-0.337454,-0.337484
"VonBert_K_Mal_GP_1",0.580272,0.549249,0.555879
"CV_young_Mal_GP_1",0.186367,0.208244,0.212771
"CV_old_Mal_GP_1",0.274943,0.148289,0.166451
"SR_LN(R0)",10.1564,10.2476,10.1304
"Q_extraSD_CalCOFI_Survey(11)",0.316505,0.313158,0.313587
"Q_extraSD_RREAS_YOY_Survey(12)",1.24936,1.23343,1.24176
"Size_DblN_peak_NoCA_HKL(1)",41.8567,41.2474,41.5444
"Size_DblN_ascend_se_NoCA_HKL(1)",4.4806,4.42847,4.46522
"Size_DblN_descend_se_NoCA_HKL(1)",5.58721,5.02413,5.67817
"Size_DblN_peak_SoCA_HKL(2)",24.2158,24.2451,24.1992
"Size_DblN_ascend_se_SoCA_HKL(2)",1.40092,1.41033,1.38508
"Size_DblN_descend_se_SoCA_HKL(2)",5.76154,5.78144,5.74868
"Size_DblN_peak_CA_TWL(3)",38.3034,44.6731,NA
"Size_DblN_top_logit_CA_TWL(3)",-6,-6,NA
"Size_DblN_ascend_se_CA_TWL(3)",4.09518,4.50165,NA
"Size_DblN_descend_se_CA_TWL(3)",11.467,2.98528,NA
"Size_DblN_start_logit_CA_TWL(3)",-10,-10,NA
"Size_DblN_end_logit_CA_TWL(3)",-999,-999,NA
"Size_DblN_peak_OR_WA_Comm(4)",41.1127,41.925,41.4558
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.37953,4.47569,4.43086
"Size_DblN_peak_CA_NET(5)",46.8346,45.8676,46.9377
"Size_DblN_ascend_se_CA_NET(5)",4.38122,4.30744,4.40459
"Size_DblN_descend_se_CA_NET(5)",4.79476,3.63213,4.98372
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",43.7648,43.4907,43.7922
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.10078,5.08974,5.11924
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",4.51408,4.32053,4.56684
"Size_DblN_peak_SoCA_Rec(7)",24.4953,24.6445,24.5861
"Size_DblN_ascend_se_SoCA_Rec(7)",2.88113,2.91266,2.90202
"Size_DblN_descend_se_SoCA_Rec(7)",3.43598,3.36501,3.40079
"Size_DblN_end_logit_SoCA_Rec(7)",-1.12114,-1.10801,-1.15004
"Size_DblN_peak_TWL_discard(8)",29.5946,29.5467,29.5085
"Size_DblN_ascend_se_TWL_discard(8)",4.21434,4.18199,4.1895
"Size_DblN_descend_se_TWL_discard(8)",3.20597,3.20012,3.20863
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",50.9685,50.2373,50.9782
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.10538,4.05049,4.09224
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",48.6803,47.4103,49.1153
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.77989,4.71708,4.83595
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",30.9218,30.5808,30.698
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.79555,3.73193,3.75367
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",NA,33.5853,NA
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",NA,3.23437,NA
"Size_DblN_descend_se_CA_TWL(3)_BLK3repl_1875",NA,19,NA
"Size_inflection_CA_TWL(3)",NA,NA,31.6716
"Size_95%width_CA_TWL(3)",NA,NA,6.25678
"sigmasel_CA_TWL(3)_LEN(10)",NA,NA,1
"CA_TWL_ARDEV_y1978_Lbin10",NA,NA,0.000963559
"CA_TWL_ARDEV_y1978_Lbin11",NA,NA,0.000926599
"CA_TWL_ARDEV_y1978_Lbin12",NA,NA,-0.00104305
"CA_TWL_ARDEV_y1978_Lbin13",NA,NA,-0.00203616
"CA_TWL_ARDEV_y1978_Lbin14",NA,NA,-0.00432498
"CA_TWL_ARDEV_y1978_Lbin15",NA,NA,-0.00882034
"CA_TWL_ARDEV_y1978_Lbin16",NA,NA,0.067136
"CA_TWL_ARDEV_y1978_Lbin17",NA,NA,0.14182
"CA_TWL_ARDEV_y1978_Lbin18",NA,NA,-0.0335987
"CA_TWL_ARDEV_y1978_Lbin19",NA,NA,-0.0550706
"CA_TWL_ARDEV_y1978_Lbin20",NA,NA,-0.123748
"CA_TWL_ARDEV_y1978_Lbin21",NA,NA,-0.173735
"CA_TWL_ARDEV_y1978_Lbin22",NA,NA,-0.148563
"CA_TWL_ARDEV_y1978_Lbin23",NA,NA,-0.187903
"CA_TWL_ARDEV_y1978_Lbin24",NA,NA,-0.0797542
"CA_TWL_ARDEV_y1978_Lbin25",NA,NA,-0.0904344
"CA_TWL_ARDEV_y1978_Lbin26",NA,NA,0.316805
"CA_TWL_ARDEV_y1978_Lbin27",NA,NA,0.355291
"CA_TWL_ARDEV_y1978_Lbin28",NA,NA,-0.131384
"CA_TWL_ARDEV_y1978_Lbin29",NA,NA,-0.110758
"CA_TWL_ARDEV_y1978_Lbin30",NA,NA,-0.0440238
"CA_TWL_ARDEV_y1978_Lbin31",NA,NA,-0.0870031
"CA_TWL_ARDEV_y1978_Lbin32",NA,NA,-0.134721
"CA_TWL_ARDEV_y1978_Lbin33",NA,NA,-0.133401
"CA_TWL_ARDEV_y1978_Lbin34",NA,NA,-0.0363015
"CA_TWL_ARDEV_y1978_Lbin35",NA,NA,-0.0210702
"CA_TWL_ARDEV_y1978_Lbin36",NA,NA,0.145784
"CA_TWL_ARDEV_y1978_Lbin37",NA,NA,0.143784
"CA_TWL_ARDEV_y1978_Lbin38",NA,NA,-0.0744093
"CA_TWL_ARDEV_y1979_Lbin10",NA,NA,-0.000552665
"CA_TWL_ARDEV_y1979_Lbin11",NA,NA,-0.000705992
"CA_TWL_ARDEV_y1979_Lbin12",NA,NA,-0.00104852
"CA_TWL_ARDEV_y1979_Lbin13",NA,NA,-0.00191934
"CA_TWL_ARDEV_y1979_Lbin14",NA,NA,-0.000783943
"CA_TWL_ARDEV_y1979_Lbin15",NA,NA,-0.00167352
"CA_TWL_ARDEV_y1979_Lbin16",NA,NA,-0.0125325
"CA_TWL_ARDEV_y1979_Lbin17",NA,NA,-0.0221207
"CA_TWL_ARDEV_y1979_Lbin18",NA,NA,-0.0371923
"CA_TWL_ARDEV_y1979_Lbin19",NA,NA,-0.0673829
"CA_TWL_ARDEV_y1979_Lbin20",NA,NA,-0.112306
"CA_TWL_ARDEV_y1979_Lbin21",NA,NA,-0.183289
"CA_TWL_ARDEV_y1979_Lbin22",NA,NA,-0.151425
"CA_TWL_ARDEV_y1979_Lbin23",NA,NA,-0.212384
"CA_TWL_ARDEV_y1979_Lbin24",NA,NA,-0.283158
"CA_TWL_ARDEV_y1979_Lbin25",NA,NA,-0.342599
"CA_TWL_ARDEV_y1979_Lbin26",NA,NA,-0.292625
"CA_TWL_ARDEV_y1979_Lbin27",NA,NA,-0.307879
"CA_TWL_ARDEV_y1979_Lbin28",NA,NA,-0.184888
"CA_TWL_ARDEV_y1979_Lbin29",NA,NA,-0.188077
"CA_TWL_ARDEV_y1979_Lbin30",NA,NA,-0.0905274
"CA_TWL_ARDEV_y1979_Lbin31",NA,NA,-0.170024
