"Label","M127 est M & h","M116 Pre-STAR base"
"N.Parms",115,114
"TOTAL",2596.26,2597.98
"Survey",22.772,24.5116
"Length_comp",572.702,572.241
"Age_comp",1975.4,1976.25
"Recruitment",24.1151,24.9152
"Parm_priors",1.27074,0.0553727
"NatM_uniform_Fem_GP_1",0.174703,0.171052
"L_at_Amax_Fem_GP_1",48.1652,48.19
"VonBert_K_Fem_GP_1",0.193738,0.193531
"CV_young_Fem_GP_1",0.109908,0.110246
"CV_old_Fem_GP_1",0.0375219,0.0372932
"NatM_uniform_Mal_GP_1",0.252756,0.260589
"L_at_Amax_Mal_GP_1",-0.337182,-0.337454
"VonBert_K_Mal_GP_1",0.548284,0.549249
"CV_young_Mal_GP_1",0.211151,0.208244
"CV_old_Mal_GP_1",0.145386,0.148289
"SR_LN(R0)",10.4109,10.2476
"SR_BH_steep",0.432765,0.72
"Q_extraSD_CalCOFI_Survey(11)",0.292722,0.313158
"Q_extraSD_RREAS_YOY_Survey(12)",1.23644,1.23343
"Size_DblN_peak_NoCA_HKL(1)",41.2614,41.2474
"Size_DblN_ascend_se_NoCA_HKL(1)",4.43007,4.42847
"Size_DblN_descend_se_NoCA_HKL(1)",5.06433,5.02413
"Size_DblN_peak_SoCA_HKL(2)",24.2588,24.2451
"Size_DblN_ascend_se_SoCA_HKL(2)",1.41671,1.41033
"Size_DblN_descend_se_SoCA_HKL(2)",5.80263,5.78144
"Size_DblN_peak_CA_TWL(3)",44.7644,44.6731
"Size_DblN_ascend_se_CA_TWL(3)",4.50637,4.50165
"Size_DblN_descend_se_CA_TWL(3)",2.98802,2.98528
"Size_DblN_peak_OR_WA_Comm(4)",42.1887,41.925
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.49958,4.47569
"Size_DblN_peak_CA_NET(5)",45.8868,45.8676
"Size_DblN_ascend_se_CA_NET(5)",4.30888,4.30744
"Size_DblN_descend_se_CA_NET(5)",3.64592,3.63213
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",43.5879,43.4907
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.0945,5.08974
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",4.34385,4.32053
"Size_DblN_peak_SoCA_Rec(7)",24.6724,24.6445
"Size_DblN_ascend_se_SoCA_Rec(7)",2.9183,2.91266
"Size_DblN_descend_se_SoCA_Rec(7)",3.34251,3.36501
"Size_DblN_end_logit_SoCA_Rec(7)",-1.07769,-1.10801
"Size_DblN_peak_TWL_discard(8)",29.5878,29.5467
"Size_DblN_ascend_se_TWL_discard(8)",4.18506,4.18199
"Size_DblN_descend_se_TWL_discard(8)",3.19276,3.20012
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",50.1818,50.2373
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.04648,4.05049
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",47.4388,47.4103
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.71842,4.71708
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",33.6074,33.5853
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.23973,3.23437
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",30.5488,30.5808
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.72584,3.73193
"Bratio_2025",0.4701,0.602521
"SSB_unfished",15678.3,13944.9
"Totbio_unfished",69364.8,61068.6
"Recr_unfished",33219.5,28215.2
"Dead_Catch_SPR",1665.63,2508.65
"OFLCatch_2025",2626.33,2894.42
