"Label","turn off rec devs in M116","M116 Pre-STAR base"
"N.Parms",45,114
"TOTAL",3107.51,2597.98
"Survey",46.9368,24.5116
"Length_comp",671.828,572.241
"Age_comp",2388.74,1976.25
"Recruitment",0,24.9152
"Parm_priors",0.00100456,0.0553727
"NatM_uniform_Fem_GP_1",0.152157,0.171052
"L_at_Amax_Fem_GP_1",48.5864,48.19
"VonBert_K_Fem_GP_1",0.188422,0.193531
"CV_young_Fem_GP_1",0.102072,0.110246
"CV_old_Fem_GP_1",0.0339554,0.0372932
"NatM_uniform_Mal_GP_1",0.27741,0.260589
"L_at_Amax_Mal_GP_1",-0.355556,-0.337454
"VonBert_K_Mal_GP_1",0.616994,0.549249
"CV_young_Mal_GP_1",-0.132737,0.208244
"CV_old_Mal_GP_1",0.702233,0.148289
"SR_LN(R0)",9.88195,10.2476
"Q_extraSD_CalCOFI_Survey(11)",0.414771,0.313158
"Q_extraSD_RREAS_YOY_Survey(12)",1.73879,1.23343
"Size_DblN_peak_NoCA_HKL(1)",42.3657,41.2474
"Size_DblN_ascend_se_NoCA_HKL(1)",4.4556,4.42847
"Size_DblN_descend_se_NoCA_HKL(1)",4.28609,5.02413
"Size_DblN_peak_SoCA_HKL(2)",24.2082,24.2451
"Size_DblN_ascend_se_SoCA_HKL(2)",1.4112,1.41033
"Size_DblN_descend_se_SoCA_HKL(2)",5.77562,5.78144
"Size_DblN_peak_CA_TWL(3)",44.0722,44.6731
"Size_DblN_ascend_se_CA_TWL(3)",4.4902,4.50165
"Size_DblN_descend_se_CA_TWL(3)",2.88264,2.98528
"Size_DblN_peak_OR_WA_Comm(4)",39.6667,41.925
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.12227,4.47569
"Size_DblN_peak_CA_NET(5)",46.2656,45.8676
"Size_DblN_ascend_se_CA_NET(5)",4.29262,4.30744
"Size_DblN_descend_se_CA_NET(5)",4.0143,3.63213
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",44.9091,43.4907
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.1134,5.08974
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",3.5723,4.32053
"Size_DblN_peak_SoCA_Rec(7)",24.5,24.6445
"Size_DblN_ascend_se_SoCA_Rec(7)",2.96596,2.91266
"Size_DblN_descend_se_SoCA_Rec(7)",3.17194,3.36501
"Size_DblN_end_logit_SoCA_Rec(7)",-0.702032,-1.10801
"Size_DblN_peak_TWL_discard(8)",29.5319,29.5467
"Size_DblN_ascend_se_TWL_discard(8)",4.33653,4.18199
"Size_DblN_descend_se_TWL_discard(8)",3.31852,3.20012
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",49.9746,50.2373
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",3.96804,4.05049
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",50.0496,47.4103
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.82822,4.71708
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",36.5407,33.5853
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.8241,3.23437
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",32.2996,30.5808
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",4.08525,3.73193
"Bratio_2025",0.78926,0.602521
"SSB_unfished",12446.1,13944.9
"Totbio_unfished",51898.3,61068.6
"Recr_unfished",19573.8,28215.2
"Dead_Catch_SPR",1906.37,2508.65
"OFLCatch_2025",2971.18,2894.42
