M_female,BH_steepness,TOTAL,Catch,Equil_catch,Survey,Length_comp,Age_comp,Recruitment,InitEQ_Regime,Forecast_Recruitment,Parm_priors,Parm_softbounds,Parm_devs,Crash_Pen,NLL.change
0.13,0.25,2613.61,1.93792e-10,0,26.0569,576.654,1974.67,31.9113,0,0,4.31595,0.00575124,0,0,17.3499999999999
0.14,0.25,2608.66,1.23763e-10,0,24.7755,575.6,1974.03,30.035,0,0,4.21245,0.00572968,0,0,12.3999999999996
0.15,0.25,2604.89,8.12921e-11,0,23.7474,574.849,1973.54,28.5861,0,0,4.16746,0.00571119,0,0,8.62999999999965
0.16,0.25,2602.19,5.47634e-11,0,22.9593,574.395,1973.17,27.4897,0,0,4.17021,0.00569634,0,0,5.92999999999984
0.17,0.25,2600.46,3.77319e-11,0,22.3988,574.238,1972.92,26.6863,0,0,4.21227,0.00568727,0,0,4.19999999999982
0.171052,0.25,2600.33,3.6319e-11,0,22.3525,574.238,1972.9,26.6167,0,0,4.2187,0.00568649,0,0,4.06999999999971
0.174703,0.25,2599.96,3.18589e-11,0,22.2101,574.265,1972.84,26.3954,0,0,4.24369,0.00568407,0,0,3.69999999999982
0.18,0.25,2599.62,2.64671e-11,0,22.0522,574.364,1972.79,26.1268,0,0,4.28696,0.00568166,0,0,3.35999999999967
0.19,0.25,2599.6,1.90513e-11,0,21.9031,574.685,1972.85,25.7728,0,0,4.3889,0.00567869,0,0,3.33999999999969
0.2,0.25,2600.33,1.38549e-11,0,21.9409,575.269,1973.02,25.5855,0,0,4.51372,0.00567991,0,0,4.06999999999971
0.21,0.25,2601.76,1.01539e-11,0,22.152,576.119,1973.29,25.5361,0,0,4.65786,0.00568832,0,0,5.5
0.22,0.25,2603.85,7.49636e-12,0,22.5227,577.224,1973.68,25.6003,0,0,4.81837,0.00570788,0,0,7.58999999999969
0.13,0.3,2609.13,2.45323e-10,0,26.3939,575.467,1975.7,28.6312,0,0,2.93488,0.00574996,0,0,12.8699999999999
0.14,0.3,2604.8,1.54148e-10,0,25.0477,574.554,1975.08,27.2811,2.71957e-31,0,2.83138,0.00572921,0,0,8.53999999999996
0.15,0.3,2601.57,9.96987e-11,0,23.9596,573.931,1974.59,26.2959,2.34364e-31,0,2.78639,0.00571147,0,0,5.30999999999995
0.16,0.3,2599.33,6.61744e-11,0,23.117,573.597,1974.21,25.6096,2.03763e-31,0,2.78914,0.00569829,0,0,3.06999999999971
0.17,0.3,2598.01,4.48872e-11,0,22.5067,573.551,1973.94,25.1694,0,0,2.83121,0.00568997,0,0,1.75
0.171052,0.3,2597.92,4.31387e-11,0,22.4554,573.562,1973.92,25.1355,0,0,2.83763,0.00568931,0,0,1.65999999999985
0.174703,0.3,2597.68,3.76721e-11,0,22.2958,573.618,1973.86,25.0348,0,0,2.86263,0.00568725,0,0,1.41999999999962
0.18,0.3,2597.52,3.11947e-11,0,22.1136,573.735,1973.83,24.9321,0,0,2.9059,0.00568441,0,0,1.25999999999976
0.19,0.3,2597.81,2.21389e-11,0,21.9234,574.136,1973.88,24.8607,0,0,3.00784,0.00568181,0,0,1.54999999999973
0.2,0.3,2598.83,1.58312e-11,0,21.9245,574.81,1974.03,24.9248,0,0,3.13266,0.00568376,0,0,2.56999999999971
0.21,0.3,2600.51,1.14205e-11,0,22.1017,575.744,1974.28,25.0996,0,0,3.2768,0.00569395,0,0,4.25
0.22,0.3,2602.82,8.30019e-12,0,22.4408,576.93,1974.65,25.364,0,0,3.4373,0.00571702,0,0,6.55999999999995
0.13,0.35,2606.6,2.87119e-10,0,26.6797,574.647,1976.49,26.6235,0,0,2.15293,0.00574981,0,0,10.3399999999997
