"Label","M130=M116 with 2015 h,M,W-L","M123=M116 with 2015 h,M new W-L"
"N.Parms",112,112
"TOTAL",2599.19,2598.67
"Survey",24.8147,24.4816
"Length_comp",573.457,573.501
"Age_comp",1977.1,1976.85
"Recruitment",23.8075,23.8176
"Parm_priors",0.0114131,0.0114131
"L_at_Amax_Fem_GP_1",48.138,48.1301
"VonBert_K_Fem_GP_1",0.194399,0.194462
"CV_young_Fem_GP_1",0.109358,0.10922
"CV_old_Fem_GP_1",0.0376605,0.0377041
"Wtlen_1_Fem_GP_1",4.05e-06,8.41443e-06
"Wtlen_2_Fem_GP_1",3.2,3.13495
"L_at_Amax_Mal_GP_1",-0.337365,-0.337185
"VonBert_K_Mal_GP_1",0.553589,0.553172
"CV_young_Mal_GP_1",0.21148,0.212874
"CV_old_Mal_GP_1",0.159892,0.158306
"Wtlen_1_Mal_GP_1",2.24e-06,6.93782e-06
"Wtlen_2_Mal_GP_1",3.32,3.20201
"SR_LN(R0)",10.6341,10.0978
"Q_extraSD_CalCOFI_Survey(11)",0.298719,0.297928
"Q_extraSD_RREAS_YOY_Survey(12)",1.22032,1.21942
"Size_DblN_peak_NoCA_HKL(1)",41.9018,41.9133
"Size_DblN_ascend_se_NoCA_HKL(1)",4.50908,4.51076
"Size_DblN_descend_se_NoCA_HKL(1)",4.86952,4.89856
"Size_DblN_peak_SoCA_HKL(2)",24.1494,24.1501
"Size_DblN_ascend_se_SoCA_HKL(2)",1.36286,1.36304
"Size_DblN_descend_se_SoCA_HKL(2)",5.78961,5.79334
"Size_DblN_peak_CA_TWL(3)",44.7988,44.825
"Size_DblN_ascend_se_CA_TWL(3)",4.50998,4.51167
"Size_DblN_descend_se_CA_TWL(3)",2.95189,2.95324
"Size_DblN_peak_OR_WA_Comm(4)",42.2693,42.3233
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.51804,4.52326
"Size_DblN_peak_CA_NET(5)",46.1031,46.1662
"Size_DblN_ascend_se_CA_NET(5)",4.32063,4.32719
"Size_DblN_descend_se_CA_NET(5)",3.72909,3.77164
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",43.9646,44.0053
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.13686,5.14034
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",4.24985,4.26512
"Size_DblN_peak_SoCA_Rec(7)",24.6171,24.6209
"Size_DblN_ascend_se_SoCA_Rec(7)",2.91671,2.91787
"Size_DblN_descend_se_SoCA_Rec(7)",3.26469,3.2607
"Size_DblN_end_logit_SoCA_Rec(7)",-1.12374,-1.11863
"Size_DblN_peak_TWL_discard(8)",29.3413,29.3409
"Size_DblN_ascend_se_TWL_discard(8)",4.17222,4.17175
"Size_DblN_descend_se_TWL_discard(8)",3.25565,3.25725
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",50.2377,50.3078
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.04288,4.04756
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",47.8282,47.8816
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.73911,4.74352
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",33.6165,33.6036
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.25671,3.25425
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",30.4426,30.4334
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.72319,3.72227
"Bratio_2025",0.56292,0.559691
"SSB_unfished",23564.6,13776.4
"Totbio_unfished",59306.2,60068.7
"Recr_unfished",41527.1,24289.4
"Dead_Catch_SPR",2001.89,2012.87
"OFLCatch_2025",2583.58,2564.2
