"Label","M132 no bias, sum(devs)=0","M131 no bias, sum(devs)!=0","M116 pre-STAR base with age 1+ sumbio","M116 sum(devs)=0"
"N.Parms",114,114,114,114
"TOTAL",2600.16,2597.79,2597.98,2601.57
"Survey",27.3242,23.9478,24.5116,29.4027
"Length_comp",572.157,572.098,572.241,572.539
"Age_comp",1977.02,1976.34,1976.25,1977.09
"Recruitment",23.6321,25.3335,24.9152,22.5274
"Parm_priors",0.0197402,0.0716942,0.0553711,0.00750609
"NatM_uniform_Fem_GP_1",0.164088,0.173502,0.171052,0.160258
"L_at_Amax_Fem_GP_1",48.2217,48.178,48.19,48.2473
"VonBert_K_Fem_GP_1",0.193264,0.193627,0.193531,0.193037
"CV_young_Fem_GP_1",0.11069,0.110038,0.110246,0.111147
"CV_old_Fem_GP_1",0.0369877,0.0374126,0.0372932,0.0367511
"NatM_uniform_Mal_GP_1",0.276287,0.254407,0.26059,0.28633
"L_at_Amax_Mal_GP_1",-0.337739,-0.337459,-0.337454,-0.337908
"VonBert_K_Mal_GP_1",0.550412,0.549129,0.549249,0.551112
"CV_young_Mal_GP_1",0.205025,0.209317,0.208243,0.201882
"CV_old_Mal_GP_1",0.151856,0.14848,0.148289,0.153465
"SR_LN(R0)",10.0807,10.324,10.2476,9.96301
"Q_extraSD_CalCOFI_Survey(11)",0.343651,0.306191,0.313158,0.37103
"Q_extraSD_RREAS_YOY_Survey(12)",1.22576,1.24198,1.23343,1.21575
"Size_DblN_peak_NoCA_HKL(1)",41.2215,41.257,41.2474,41.1926
"Size_DblN_ascend_se_NoCA_HKL(1)",4.4289,4.42739,4.42847,4.42847
"Size_DblN_descend_se_NoCA_HKL(1)",4.98001,5.04428,5.02414,4.93776
"Size_DblN_peak_SoCA_HKL(2)",24.2289,24.251,24.2452,24.2197
"Size_DblN_ascend_se_SoCA_HKL(2)",1.40281,1.41314,1.41038,1.39867
"Size_DblN_descend_se_SoCA_HKL(2)",5.75499,5.79221,5.78143,5.73837
"Size_DblN_peak_CA_TWL(3)",44.5611,44.7075,44.6731,44.4925
"Size_DblN_ascend_se_CA_TWL(3)",4.49742,4.50229,4.50165,4.49498
"Size_DblN_descend_se_CA_TWL(3)",2.98293,2.98596,2.98528,2.97957
"Size_DblN_peak_OR_WA_Comm(4)",41.5973,42.0358,41.9248,41.4166
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.44439,4.48557,4.47565,4.42772
"Size_DblN_peak_CA_NET(5)",45.8596,45.8796,45.8676,45.8237
"Size_DblN_ascend_se_CA_NET(5)",4.30853,4.30729,4.30744,4.30692
"Size_DblN_descend_se_CA_NET(5)",3.62139,3.63896,3.63214,3.60061
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",43.402,43.5371,43.4907,43.3273
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.08742,5.09096,5.08974,5.08496
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",4.28834,4.32914,4.32052,4.26497
"Size_DblN_peak_SoCA_Rec(7)",24.6168,24.6545,24.6445,24.5987
"Size_DblN_ascend_se_SoCA_Rec(7)",2.90702,2.9153,2.91266,2.90234
"Size_DblN_descend_se_SoCA_Rec(7)",3.39355,3.3543,3.36502,3.41268
"Size_DblN_end_logit_SoCA_Rec(7)",-1.14005,-1.09431,-1.10801,-1.16222
"Size_DblN_peak_TWL_discard(8)",29.5161,29.5595,29.5467,29.4963
"Size_DblN_ascend_se_TWL_discard(8)",4.18033,4.18309,4.18199,4.17869
"Size_DblN_descend_se_TWL_discard(8)",3.20455,3.19889,3.20012,3.20682
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",50.2965,50.1926,50.2373,50.3552
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.05371,4.04646,4.05049,4.05874
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",47.4025,47.4235,47.4103,47.3606
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.71949,4.71603,4.71707,4.71951
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",33.5401,33.6274,33.5852,33.4864
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.22552,3.24315,3.23437,3.21449
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",30.6105,30.5723,30.5808,30.6216
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.73933,3.72839,3.73193,3.74381
"Bratio_2025",0.75182,0.570239,0.60252,0.857795
"SSB_unfished",12898.1,14595.1,13944.9,12058.5
"Totbio_unfished",55409.8,64372.7,61068.5,51225.4
"Recr_unfished",23877.4,30454.7,28215.1,21226.5
"Dead_Catch_SPR",2202.38,2674.04,2508.64,1997.87
"OFLCatch_2025",3167.72,2919.45,2894.4,3276.71
