"Label","M134 M.I. Weights","M116 Francis Weights"
"N.Parms",114,114
"TOTAL",3504.89,2597.98
"Survey",28.7368,24.5116
"Length_comp",1643.55,572.241
"Age_comp",1807.7,1976.25
"Recruitment",24.8898,24.9152
"Parm_priors",0.0102151,0.0553727
"NatM_uniform_Fem_GP_1",0.161276,0.171052
"L_at_Amax_Fem_GP_1",47.4435,48.19
"VonBert_K_Fem_GP_1",0.197321,0.193531
"CV_young_Fem_GP_1",0.104951,0.110246
"CV_old_Fem_GP_1",0.0420138,0.0372932
"NatM_uniform_Mal_GP_1",0.208927,0.260589
"L_at_Amax_Mal_GP_1",-0.343382,-0.337454
"VonBert_K_Mal_GP_1",0.528991,0.549249
"CV_young_Mal_GP_1",0.0444898,0.208244
"CV_old_Mal_GP_1",0.640023,0.148289
"SR_LN(R0)",10.1093,10.2476
"Q_extraSD_CalCOFI_Survey(11)",0.328388,0.313158
"Q_extraSD_RREAS_YOY_Survey(12)",1.3917,1.23343
"Size_DblN_peak_NoCA_HKL(1)",41.3024,41.2474
"Size_DblN_ascend_se_NoCA_HKL(1)",4.39138,4.42847
"Size_DblN_descend_se_NoCA_HKL(1)",10.1929,5.02413
"Size_DblN_peak_SoCA_HKL(2)",24.3932,24.2451
"Size_DblN_ascend_se_SoCA_HKL(2)",1.44212,1.41033
"Size_DblN_descend_se_SoCA_HKL(2)",5.82757,5.78144
"Size_DblN_peak_CA_TWL(3)",44.6911,44.6731
"Size_DblN_ascend_se_CA_TWL(3)",4.51822,4.50165
"Size_DblN_descend_se_CA_TWL(3)",3.25449,2.98528
"Size_DblN_peak_OR_WA_Comm(4)",41.9314,41.925
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.41846,4.47569
"Size_DblN_peak_CA_NET(5)",47.2338,45.8676
"Size_DblN_ascend_se_CA_NET(5)",4.42034,4.30744
"Size_DblN_descend_se_CA_NET(5)",10.4642,3.63213
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",45.0579,43.4907
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.19237,5.08974
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",7.39983,4.32053
"Size_DblN_peak_SoCA_Rec(7)",24.2682,24.6445
"Size_DblN_ascend_se_SoCA_Rec(7)",2.86417,2.91266
"Size_DblN_descend_se_SoCA_Rec(7)",3.36887,3.36501
"Size_DblN_end_logit_SoCA_Rec(7)",-0.992303,-1.10801
"Size_DblN_peak_TWL_discard(8)",30.0111,29.5467
"Size_DblN_ascend_se_TWL_discard(8)",4.35703,4.18199
"Size_DblN_descend_se_TWL_discard(8)",3.1495,3.20012
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",52.9627,50.2373
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.27086,4.05049
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",49.7316,47.4103
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.85855,4.71708
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",34.9863,33.5853
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.5097,3.23437
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",31.5382,30.5808
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.89583,3.73193
"Bratio_2025",0.578843,0.602521
"SSB_unfished",13047.2,13944.9
"Totbio_unfished",57938.6,61068.6
"Recr_unfished",24570.2,28215.2
"Dead_Catch_SPR",2280.88,2508.65
"OFLCatch_2025",2654.55,2894.42
