"Label","M141 est apical male selex","M116 Pre-STAR base"
"N.Parms",114,114
"TOTAL",2824.84,2597.98
"Survey",25.3638,24.5116
"Length_comp",546.577,572.241
"Age_comp",2224.58,1976.25
"Recruitment",27.7298,24.9152
"Parm_priors",0.579159,0.0553727
"NatM_uniform_Fem_GP_1",0.215389,0.171052
"L_at_Amax_Fem_GP_1",47.9961,48.19
"VonBert_K_Fem_GP_1",0.192933,0.193531
"CV_young_Fem_GP_1",0.106077,0.110246
"CV_old_Fem_GP_1",0.0376475,0.0372932
"NatM_uniform_Mal_GP_1",0,0.260589
"L_at_Amax_Mal_GP_1",-0.323132,-0.337454
"VonBert_K_Mal_GP_1",0.516379,0.549249
"CV_young_Mal_GP_1",0.213847,0.208244
"CV_old_Mal_GP_1",0.0577985,0.148289
"SR_LN(R0)",10.9121,10.2476
"Q_extraSD_CalCOFI_Survey(11)",0.349141,0.313158
"Q_extraSD_RREAS_YOY_Survey(12)",1.22906,1.23343
"Size_DblN_peak_NoCA_HKL(1)",43.9875,41.2474
"Size_DblN_ascend_se_NoCA_HKL(1)",4.70766,4.42847
"Size_DblN_descend_se_NoCA_HKL(1)",4.39303,5.02413
"Size_DblN_peak_SoCA_HKL(2)",24.1888,24.2451
"Size_DblN_ascend_se_SoCA_HKL(2)",1.37184,1.41033
"Size_DblN_descend_se_SoCA_HKL(2)",6.2453,5.78144
"Size_DblN_peak_CA_TWL(3)",45.6903,44.6731
"Size_DblN_ascend_se_CA_TWL(3)",4.57813,4.50165
"Size_DblN_descend_se_CA_TWL(3)",2.90127,2.98528
"SzSel_Male_Peak_CA_TWL(3)",0,NA
"SzSel_Male_Ascend_CA_TWL(3)",0,NA
"SzSel_Male_Descend_CA_TWL(3)",0,NA
"SzSel_Male_Final_CA_TWL(3)",0,NA
"SzSel_Male_Scale_CA_TWL(3)",0.645358,NA
"Size_DblN_peak_OR_WA_Comm(4)",56.0612,41.925
"Size_DblN_ascend_se_OR_WA_Comm(4)",5.49787,4.47569
"Size_DblN_peak_CA_NET(5)",47.318,45.8676
"Size_DblN_ascend_se_CA_NET(5)",4.38653,4.30744
"Size_DblN_descend_se_CA_NET(5)",6.89943,3.63213
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",47.7454,43.4907
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.35152,5.08974
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",9.76266,4.32053
"Size_DblN_peak_SoCA_Rec(7)",24.9921,24.6445
"Size_DblN_ascend_se_SoCA_Rec(7)",2.99857,2.91266
"Size_DblN_descend_se_SoCA_Rec(7)",2.85195,3.36501
"Size_DblN_end_logit_SoCA_Rec(7)",-0.811675,-1.10801
"Size_DblN_peak_TWL_discard(8)",29.3216,29.5467
"Size_DblN_ascend_se_TWL_discard(8)",4.1229,4.18199
"Size_DblN_descend_se_TWL_discard(8)",3.30689,3.20012
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",51.3389,50.2373
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.05372,4.05049
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",50.8134,47.4103
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.91557,4.71708
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",32.8685,33.5853
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.08143,3.23437
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",31.1236,30.5808
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.81368,3.73193
"Bratio_2025",0.673142,0.602521
"SSB_unfished",15948.6,13944.9
"Totbio_unfished",88107.5,61068.6
"Recr_unfished",54838.1,28215.2
"Dead_Catch_SPR",4064.9,2508.65
"OFLCatch_2025",5566.49,2894.42
