"Label","M143 time-var. k, matches index","M136, free annual k devs","M116 Pre-STAR base"
"N.Parms",115,161,114
"TOTAL",2597.09,2401,2597.98
"Survey",23.2627,21.1077,24.5116
"Length_comp",576.109,538.574,572.241
"Age_comp",1972.35,1805.25,1976.25
"Recruitment",24.3607,24.6249,24.9152
"Parm_priors",1.00632,0.124897,0.0553727
"NatM_uniform_Fem_GP_1",0.181719,0.180141,0.171052
"L_at_Amax_Fem_GP_1",47.8941,47.8507,48.19
"VonBert_K_Fem_GP_1",0.19861,0.215465,0.193531
"CV_young_Fem_GP_1",0.103544,0.098085,0.110246
"CV_old_Fem_GP_1",0.0399451,0.0361101,0.0372932
"NatM_uniform_Mal_GP_1",0.211382,0.20663,0.260589
"L_at_Amax_Mal_GP_1",-0.350864,-0.341353,-0.337454
"VonBert_K_Mal_GP_1",0.610532,0.577267,0.549249
"CV_young_Mal_GP_1",-0.146211,-0.100235,0.208244
"CV_old_Mal_GP_1",0.60882,0.558107,0.148289
"VonBert_K_Fem_GP_1_ENV_mult",0.341604,NA,NA
"SR_LN(R0)",10.4064,10.325,10.2476
"Q_extraSD_CalCOFI_Survey(11)",0.309371,0.30899,0.313158
"Q_extraSD_RREAS_YOY_Survey(12)",1.24868,1.25796,1.23343
"Size_DblN_peak_NoCA_HKL(1)",41.4892,43.4643,41.2474
"Size_DblN_ascend_se_NoCA_HKL(1)",4.39914,4.49159,4.42847
"Size_DblN_descend_se_NoCA_HKL(1)",5.57769,6.46981,5.02413
"Size_DblN_peak_SoCA_HKL(2)",24.2651,24.4621,24.2451
"Size_DblN_ascend_se_SoCA_HKL(2)",1.37437,1.52246,1.41033
"Size_DblN_descend_se_SoCA_HKL(2)",6.03396,5.93309,5.78144
"Size_DblN_peak_CA_TWL(3)",44.9817,44.7626,44.6731
"Size_DblN_ascend_se_CA_TWL(3)",4.47383,4.4616,4.50165
"Size_DblN_descend_se_CA_TWL(3)",3.12219,3.05266,2.98528
"Size_DblN_peak_OR_WA_Comm(4)",42.9507,42.4825,41.925
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.48376,4.43242,4.47569
"Size_DblN_peak_CA_NET(5)",46.2098,47.3363,45.8676
"Size_DblN_ascend_se_CA_NET(5)",4.31305,4.33565,4.30744
"Size_DblN_descend_se_CA_NET(5)",4.2898,8.89577,3.63213
