"Label","Add Triennial ages","Old base"
"N.Parms",114,114
"TOTAL",2620.26,2597.98
"Survey",24.5754,24.5116
"Length_comp",569.086,572.241
"Age_comp",2002.35,1976.25
"Recruitment",24.1847,24.9152
"Parm_priors",0.052763,0.0553727
"NatM_uniform_Fem_GP_1",0.170632,0.171052
"L_at_Amax_Fem_GP_1",48.1693,48.19
"VonBert_K_Fem_GP_1",0.193995,0.193531
"CV_young_Fem_GP_1",0.108403,0.110246
"CV_old_Fem_GP_1",0.0378172,0.0372932
"NatM_uniform_Mal_GP_1",0.265634,0.260589
"L_at_Amax_Mal_GP_1",-0.332921,-0.337454
"VonBert_K_Mal_GP_1",0.539875,0.549249
"CV_young_Mal_GP_1",0.202977,0.208244
"CV_old_Mal_GP_1",0.111547,0.148289
"SR_LN(R0)",10.2399,10.2476
"Q_extraSD_CalCOFI_Survey(11)",0.313346,0.313158
"Q_extraSD_RREAS_YOY_Survey(12)",1.23395,1.23343
"Size_DblN_peak_NoCA_HKL(1)",41.2543,41.2474
"Size_DblN_ascend_se_NoCA_HKL(1)",4.43802,4.42847
"Size_DblN_descend_se_NoCA_HKL(1)",5.04207,5.02413
"Size_DblN_peak_SoCA_HKL(2)",24.2445,24.2451
"Size_DblN_ascend_se_SoCA_HKL(2)",1.40305,1.41033
"Size_DblN_descend_se_SoCA_HKL(2)",5.76629,5.78144
"Size_DblN_peak_CA_TWL(3)",44.6987,44.6731
"Size_DblN_ascend_se_CA_TWL(3)",4.51202,4.50165
"Size_DblN_descend_se_CA_TWL(3)",2.98744,2.98528
"Size_DblN_peak_OR_WA_Comm(4)",42.0433,41.925
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.49554,4.47569
"Size_DblN_peak_CA_NET(5)",45.9693,45.8676
"Size_DblN_ascend_se_CA_NET(5)",4.32086,4.30744
"Size_DblN_descend_se_CA_NET(5)",3.6855,3.63213
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",43.5026,43.4907
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.09927,5.08974
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",4.37314,4.32053
"Size_DblN_peak_SoCA_Rec(7)",24.6727,24.6445
"Size_DblN_ascend_se_SoCA_Rec(7)",2.91997,2.91266
"Size_DblN_descend_se_SoCA_Rec(7)",3.35209,3.36501
"Size_DblN_end_logit_SoCA_Rec(7)",-1.13513,-1.10801
"Size_DblN_peak_TWL_discard(8)",29.5005,29.5467
"Size_DblN_ascend_se_TWL_discard(8)",4.17252,4.18199
"Size_DblN_descend_se_TWL_discard(8)",3.20254,3.20012
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",50.291,50.2373
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.05288,4.05049
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",47.5625,47.4103
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.73429,4.71708
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",33.4902,33.5853
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.21286,3.23437
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",30.4535,30.5808
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.71216,3.73193
"Bratio_2025",0.593059,0.602521
"SSB_unfished",13903.6,13944.9
"Totbio_unfished",60830.5,61068.6
"Recr_unfished",27998.3,28215.2
"Dead_Catch_SPR",2493.65,2508.65
"OFLCatch_2025",2834.36,2894.42
