"Reference Points","Estimate","Lower Interval","Upper Interval"
"Unfished Spawning output","13903.6","11069.3352812363","16737.8647187637"
"Unfished Age 3+ Biomass (mt)","58488.5","44931.5075174958","72045.4924825042"
"Unfished Recruitment (R0)","27998.3","16227.5402944463","39769.0597055537"
"2025 Spawning output","8245.63","4945.97183310728","11545.2881668927"
"2025 Fraction Unfished","0.593059","0.385340056954461","0.800777943045539"
"Reference Points Based SO40\%","","",""
"Proxy Spawning output SO40\%","5561.43","4427.72411249453","6695.13588750547"
"SPR Resulting in SO40\%","0.458333","0.458333","0.458333"
"Exploitation Rate Resulting in SO40\%","0.0898169","0.0806985791543642","0.0989352208456359"
"Yield with SPR Based On SO40\% (mt)","2633.76","1799.75220537055","3467.76779462945"
"Reference Points Based on SPR Proxy for MSY","","",""
"Proxy Spawning output (SPR50)","6203.13","4938.61219623836","7467.64780376164"
"SPR50","0.5","",""
"Exploitation Rate Corresponding to SPR50","0.0782934","0.0703165817786001","0.0862702182213999"
"Yield with SPR50 at SO SPR (mt)","2493.65","1706.33050744628","3280.96949255372"
"Reference Points Based on Estimated MSY Values","","",""
"Spawning output at MSY (SO MSY)","3513.84","2806.81631196491","4220.86368803509"
"SPR MSY","0.325381","0.3201527764716","0.3306092235284"
"Exploitation Rate Corresponding to SPR MSY","0.139515","0.12410911469196","0.15492088530804"
"MSY (mt)","2872.79","1953.19449809365","3792.38550190635"
