"","Value","converged","TOTAL","Catch","Equil_catch","Survey","Length_comp","Age_comp","Recruitment","InitEQ_Regime","Forecast_Recruitment","Parm_priors","Parm_softbounds","Parm_devs","Crash_Pen","max_grad"
"1",0.25,TRUE,2622.39,2.00185e-11,0,22.1798,571.365,1999.3,25.2034,1.4788e-31,0,4.33726,0.00569385,0,0,0.00159094
"2",0.3,TRUE,2620.29,2.70947e-11,0,22.2759,570.621,2000.26,24.2137,0,0,2.91486,0.00569846,0,0,0.000225293
"3",0.35,TRUE,2619.34,3.33467e-11,0,22.4726,570.103,2000.94,23.7068,0,0,2.10573,0.00570225,0,0,4.86973e-05
"4",0.4,TRUE,2618.93,3.84149e-11,0,22.7239,569.732,2001.44,23.4781,0,0,1.55099,0.00570532,0,0,0.00353592
"5",0.45,TRUE,2618.83,4.21359e-11,0,23.0034,569.466,2001.8,23.4187,0,0,1.13851,0.0057078,0,0,0.00146071
"6",0.5,TRUE,2618.91,4.4509e-11,0,23.2951,569.28,2002.05,23.4659,0,0,0.818652,0.00570969,0,0,0.000210712
"11",0.55,TRUE,2619.12,4.56328e-11,0,23.5903,569.157,2002.22,23.5809,1.74709e-31,0,0.565488,0.00571116,0,0,0.000865762
"8",0.6,TRUE,2619.4,4.5664e-11,0,23.8844,569.087,2002.32,23.7377,1.76029e-31,0,0.36434,0.00571223,0,0,0.00135815
"9",0.65,TRUE,2619.73,4.47942e-11,0,24.1752,569.061,2002.37,23.9181,0,0,0.206863,0.00571306,0,0,0.000745096
"10",0.7,TRUE,2620.1,4.32267e-11,0,24.462,569.072,2002.36,24.1084,1.77091e-31,0,0.0890141,0.00571347,0,0,0.00375462
"21",0.72,TRUE,2620.26,4.24512e-11,0,24.5754,569.086,2002.35,24.1847,0,0,0.0527661,0.00571355,0,0,0.00645851
"12",0.75,TRUE,2620.5,4.11653e-11,0,24.7443,569.115,2002.32,24.298,0,0,0.0104815,0.00571362,0,0,0.00455969
"13",0.8,TRUE,2620.92,3.87999e-11,0,25.0216,569.183,2002.25,24.4794,0,0,-0.0244682,0.00571363,0,0,0.00124032
"14",0.85,TRUE,2621.37,3.62997e-11,0,25.2933,569.272,2002.16,24.6474,1.75927e-31,0,-0.00363036,0.00571341,0,0,0.00165376
"15",0.9,TRUE,2621.89,3.37961e-11,0,25.5583,569.377,2002.05,24.7987,0,0,0.104752,0.00571329,0,0,0.00232809
"16",0.95,TRUE,2622.58,3.13848e-11,0,25.8152,569.494,2001.93,24.9319,0,0,0.40845,0.0057129,0,0,0.00178563
