"Label","M_female=0.1","M_female=0.125","M_female=0.15","M_female=0.171","M_female=0.175","M_female=0.2","M_female=0.225","M_female=0.25"
"N.Parms",114,114,114,114,114,114,114,114
"TOTAL",2639.9,2628.02,2621.77,2620.26,2620.32,2623.04,2629.34,2638.5
"Survey",34.2529,28.9511,25.791,24.5754,24.462,24.6742,26.1781,28.7268
"Length_comp",572.036,569.647,568.685,569.086,569.298,571.412,575.25,580.663
"Age_comp",2008.23,2005.64,2003.6,2002.35,2002.16,2001.49,2001.33,2001.6
"Recruitment",24.4004,23.5443,23.6815,24.1847,24.315,25.1127,25.8356,26.2911
"Parm_priors",0.978353,0.230524,0.00412876,0.0527642,0.0825761,0.350398,0.740643,1.21205
"NatM_uniform_Fem_GP_1",0.1,0.125,0.15,0.170632,0.175,0.2,0.225,0.25
"L_at_Amax_Fem_GP_1",48.2838,48.2435,48.2016,48.1693,48.1628,48.128,48.0987,48.0604
"VonBert_K_Fem_GP_1",0.194099,0.194063,0.194044,0.193995,0.193979,0.193839,0.193652,0.193623
"CV_young_Fem_GP_1",0.111191,0.11011,0.109119,0.108404,0.108264,0.10755,0.10695,0.10624
"CV_old_Fem_GP_1",0.0360982,0.0367634,0.0373764,0.0378172,0.0379029,0.0383367,0.0386909,0.0390562
"NatM_uniform_Mal_GP_1",0.527649,0.410876,0.32347,0.265634,0.254609,0.197857,0.149668,0.107509
"L_at_Amax_Mal_GP_1",-0.330612,-0.331502,-0.332284,-0.332921,-0.333089,-0.334255,-0.335365,-0.335962
"VonBert_K_Mal_GP_1",0.541874,0.541272,0.540479,0.539875,0.539878,0.540676,0.541368,0.540556
"CV_young_Mal_GP_1",0.187684,0.193897,0.199329,0.202977,0.20352,0.205192,0.206183,0.209127
"CV_old_Mal_GP_1",0.110926,0.110262,0.110299,0.111548,0.112398,0.120691,0.129217,0.134016
"SR_LN(R0)",9.10713,9.51641,9.91326,10.2399,10.3095,10.717,11.1605,11.7023
"Q_extraSD_CalCOFI_Survey(11)",0.294323,0.298651,0.30586,0.313346,0.315107,0.326585,0.341011,0.359023
"Q_extraSD_RREAS_YOY_Survey(12)",1.18559,1.20259,1.21993,1.23395,1.23686,1.25297,1.26785,1.28096
"Size_DblN_peak_NoCA_HKL(1)",41.0216,41.1276,41.2076,41.2543,41.264,41.3124,41.3219,41.2837
"Size_DblN_ascend_se_NoCA_HKL(1)",4.47926,4.46628,4.45151,4.43802,4.43519,4.41857,4.3995,4.37782
"Size_DblN_descend_se_NoCA_HKL(1)",4.8737,4.92311,4.98625,5.04204,5.05421,5.12193,5.17511,5.22367
"Size_DblN_peak_SoCA_HKL(2)",23.9964,24.085,24.1727,24.2445,24.2598,24.35,24.4509,24.5103
"Size_DblN_ascend_se_SoCA_HKL(2)",1.26981,1.31963,1.36637,1.40304,1.41074,1.4558,1.50673,1.5261
"Size_DblN_descend_se_SoCA_HKL(2)",5.5011,5.58188,5.67651,5.76629,5.78697,5.91768,6.07014,6.25884
"Size_DblN_peak_CA_TWL(3)",43.9771,44.2071,44.458,44.6987,44.7513,45.0625,45.3901,45.6953
"Size_DblN_ascend_se_CA_TWL(3)",4.52681,4.51873,4.51302,4.51203,4.51191,4.51191,4.51364,4.51295
"Size_DblN_descend_se_CA_TWL(3)",3.03039,3.01936,3.00956,2.98743,2.98204,2.94405,2.88873,2.84565
"Size_DblN_peak_OR_WA_Comm(4)",39.6577,40.3667,41.2138,42.0432,42.2347,43.5401,45.8595,54.2453
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.31518,4.36491,4.42945,4.49553,4.51076,4.61732,4.81822,5.40764
"Size_DblN_peak_CA_NET(5)",45.919,45.9297,45.9507,45.9693,45.9744,46.0031,46.0051,45.9821
"Size_DblN_ascend_se_CA_NET(5)",4.3477,4.33713,4.32803,4.32086,4.31939,4.31071,4.30013,4.28875
"Size_DblN_descend_se_CA_NET(5)",3.60999,3.62618,3.65588,3.68549,3.69288,3.73814,3.77339,3.80946
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",42.6192,42.9034,43.2186,43.5026,43.5717,43.9788,44.3898,44.8105
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.11807,5.10963,5.10317,5.09927,5.09909,5.09795,5.0969,5.0979
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",4.15317,4.21899,4.2981,4.37314,4.38854,4.49236,4.6271,4.83697
"Size_DblN_peak_SoCA_Rec(7)",24.2464,24.4081,24.5612,24.6727,24.6958,24.8235,24.9433,25.0552
"Size_DblN_ascend_se_SoCA_Rec(7)",2.82615,2.86376,2.89753,2.91997,2.92454,2.94904,2.97063,2.9894
"Size_DblN_descend_se_SoCA_Rec(7)",3.62889,3.53206,3.4323,3.3521,3.33453,3.23094,3.12455,3.01619
"Size_DblN_end_logit_SoCA_Rec(7)",-1.59258,-1.43189,-1.26942,-1.13513,-1.10639,-0.940546,-0.776117,-0.615323
"Size_DblN_peak_TWL_discard(8)",29.0521,29.1998,29.3619,29.5005,29.532,29.7214,29.9104,30.0951
"Size_DblN_ascend_se_TWL_discard(8)",4.15257,4.15926,4.1668,4.17252,4.17404,4.18372,4.19175,4.19777
"Size_DblN_descend_se_TWL_discard(8)",3.24406,3.23228,3.21672,3.20254,3.19899,3.17623,3.15287,3.12921
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",50.0009,50.064,50.1761,50.291,50.3178,50.4761,50.6626,50.8615
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.03879,4.04209,4.04777,4.05288,4.05396,4.05926,4.06732,4.07612
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",47.3334,47.4045,47.4859,47.5625,47.5815,47.6916,47.7675,47.8221
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.76505,4.75269,4.74186,4.73429,4.73285,4.72439,4.71412,4.70372
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",32.9575,33.1448,33.3342,33.4902,33.5353,33.844,34.1141,34.3367
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.12734,3.15898,3.18931,3.21285,3.221,3.27903,3.32359,3.35478
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",29.9634,30.1007,30.278,30.4535,30.4957,30.7957,31.149,31.539
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.66771,3.67788,3.69437,3.71216,3.71668,3.75268,3.79566,3.84193
"Bratio_2025",0.524475,0.5731,0.592024,0.593057,0.59214,0.582381,0.569959,0.560973
"SSB_unfished",12648.3,12642.7,13122.5,13903.5,14119.2,15797.4,18739.5,24977.1
"Totbio_unfished",45074.3,48522.3,54142.9,60830.5,62540.5,75059.5,95458.9,136418
"Recr_unfished",9019.38,13580.8,20196.4,27998.3,30017.5,45116.8,70299.3,120853
"Dead_Catch_SPR",1206.02,1554.88,2006.16,2493.65,2614.61,3477.13,4832.92,7469.23
"OFLCatch_2025",1307.41,1757.43,2289.36,2834.35,2967.3,3906.82,5393.56,8377.72
