,2D_len_resid
1,-0.0061469
2,-0.000861759
3,-0.00720718
4,-0.0184276
5,0.105281
6,-0.035617
7,-0.0757954
8,1.49185
9,-0.0591302
10,-0.317695
11,-0.319525
12,-0.414442
13,-0.348052
14,0.00465235
15,-0.335711
16,-0.306165
17,-0.0875523
18,0.190008
19,-0.241622
20,-0.251552
21,0.716835
22,0.114623
23,0.32992
24,0.815653
25,-0.0129743
26,-0.00155063
27,-5.05E-05
28,-0.0062355
29,-0.000411474
30,-0.00498082
31,-0.0174471
32,-0.0258052
33,-0.0366605
34,-0.0818244
35,-0.158433
36,-0.252805
37,-0.377217
38,-0.223598
39,0.177169
40,0.907255
41,-0.20337
42,0.363923
43,0.105487
44,-0.0919237
45,-0.0419958
46,0.263424
47,4.21169
48,-9.78E-06
49,16.0736
50,-5.29E-10
51,-1.72E-12
52,0
53,0
54,0
55,-0.0125028
56,-0.00158389
57,-0.00932103
58,-0.0233311
59,-0.028418
60,-0.0363264
61,0.0488691
62,-0.111376
63,-0.188404
64,-0.283182
65,0.0123977
66,-0.59914
67,-0.728336
68,-0.36122
69,-0.602369
70,-0.581767
71,0.263077
72,-0.179672
73,0.695435
74,0.699358
75,0.843511
76,-0.2391
77,0.225263
78,-0.0624079
79,-0.0145484
80,-0.00176963
81,-5.83E-05
82,-0.0126646
83,-0.000939985
84,-0.00653608
85,-0.0221199
86,-0.0317932
87,-0.0374392
88,-0.0724601
89,-0.132064
90,-0.225069
91,-0.40666
92,-0.48695
93,-0.0992254
94,0.17273
95,0.125022
96,0.665147
97,1.19615
98,-0.153622
99,-0.0408848
100,0.922914
101,-0.000654259
102,0.335167
103,0.713281
104,-6.56E-10
105,-2.16E-12
106,-8.65E-19
107,-8.65E-19
108,-8.65E-19
109,-0.00705773
110,-0.00216823
111,-0.0148919
112,-0.0358006
113,-0.0417717
114,-0.0405066
115,0.00883135
116,-0.10238
117,-0.148959
118,-0.0377308
119,-0.284095
120,-0.510958
121,-0.472696
122,-0.450344
123,-0.295689
124,0.297806
125,0.138266
126,0.234432
127,0.104089
128,0.265891
129,-0.026748
130,0.0412882
131,-0.136085
132,-0.0561805
133,-0.0131416
134,-0.00159587
135,-5.29E-05
136,-0.00715314
137,-0.000914761
138,-0.0107866
139,-0.0340072
140,-0.0474401
141,-0.0436996
142,-0.0704518
143,-0.111775
144,0.0632176
145,-0.248919
146,-0.382892
147,-0.254876
148,0.187592
149,0.487122
150,0.324944
151,0.273587
152,0.126679
153,0.668293
154,0.335781
155,1.47334
156,24.7071
157,0.312019
158,1.13338
159,-1.86E-12
160,2.38E-18
161,2.38E-18
162,2.38E-18
163,-0.00357583
164,-0.000933497
165,-0.00806639
166,-0.0201384
167,-0.0275399
168,-0.0500223
169,-0.0964106
170,-0.131921
171,-0.154645
172,-0.165565
173,-0.0649643
174,-0.318505
175,-0.47076
176,-0.728316
177,0.126687
178,0.731855
179,0.0804398
180,0.187489
181,-0.25641
182,0.133886
183,0.170515
184,-0.295612
185,-0.148974
186,-0.0474038
187,-0.0111814
188,-0.00138947
189,-4.71E-05
190,-0.00363031
191,-0.000366301
192,-0.00570618
193,-0.0190356
194,-0.0294332
195,-0.0489191
196,-0.0954302
197,-0.133477
198,-0.169567
199,-0.244463
200,-0.447203
201,-0.0244879
202,0.34868
203,0.654686
204,-0.359272
205,-0.321706
206,-0.11248
207,0.0919554
208,-0.00672787
209,0.0698334
210,-8.51E-06
211,-8.13E-08
212,-4.48E-10
213,-1.43E-12
214,-1.32E-18
215,-1.32E-18
216,-1.32E-18
217,-0.00380289
218,-0.000676363
219,-0.00708945
220,-0.0186216
221,-0.0256637
222,-0.0477652
223,-0.0987361
224,-0.131869
225,-0.26514
226,-0.385997
227,-0.321501
228,-0.180402
229,-0.357789
230,-0.665148
231,-0.057562
232,-0.0625069
233,0.296649
234,0.642247
235,0.656035
236,0.238488
237,-0.0407006
238,-0.116178
239,-0.206971
240,0.386709
241,-0.0157989
