"Label","M152, 2D-AR trawl sel","M146, pre-STAR base"
"N.Parms",1474,114
"TOTAL",3860.18,2620.26
"Survey",24.637,24.5754
"Length_comp",531.005,569.086
"Age_comp",2006.22,2002.35
"Recruitment",23.1952,24.1847
"Parm_priors",0.0553835,0.052763
"NatM_uniform_Fem_GP_1",0.171054,0.170632
"L_at_Amax_Fem_GP_1",47.98,48.1693
"VonBert_K_Fem_GP_1",0.195294,0.193995
"CV_young_Fem_GP_1",0.105324,0.108403
"CV_old_Fem_GP_1",0.0383776,0.0378172
"NatM_uniform_Mal_GP_1",0.260507,0.265634
"L_at_Amax_Mal_GP_1",-0.342457,-0.332921
"VonBert_K_Mal_GP_1",0.585492,0.539875
"CV_young_Mal_GP_1",-0.091854,0.202977
"CV_old_Mal_GP_1",0.508295,0.111547
"SR_LN(R0)",10.2355,10.2399
"Q_extraSD_CalCOFI_Survey(11)",0.314116,0.313346
"Q_extraSD_RREAS_YOY_Survey(12)",1.252,1.23395
"Size_DblN_peak_NoCA_HKL(1)",42.0331,41.2543
"Size_DblN_ascend_se_NoCA_HKL(1)",4.48089,4.43802
"Size_DblN_descend_se_NoCA_HKL(1)",5.63964,5.04207
"Size_DblN_peak_SoCA_HKL(2)",24.2479,24.2445
"Size_DblN_ascend_se_SoCA_HKL(2)",1.38314,1.40305
"Size_DblN_descend_se_SoCA_HKL(2)",5.82998,5.76629
"Size_inflection_CA_TWL(3)",32.1903,NA
"Size_95%width_CA_TWL(3)",6.5686,NA
"Size_DblN_peak_OR_WA_Comm(4)",41.6988,42.0433
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.41022,4.49554
"Size_DblN_peak_CA_NET(5)",47.0821,45.9693
"Size_DblN_ascend_se_CA_NET(5)",4.39277,4.32086
"Size_DblN_descend_se_CA_NET(5)",6.58365,3.6855
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",44.337,43.5026
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.12915,5.09927
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",4.69698,4.37314
"Size_DblN_peak_SoCA_Rec(7)",24.6351,24.6727
"Size_DblN_ascend_se_SoCA_Rec(7)",2.93243,2.91997
"Size_DblN_descend_se_SoCA_Rec(7)",3.19035,3.35209
"Size_DblN_end_logit_SoCA_Rec(7)",-1.01786,-1.13513
"Size_DblN_peak_TWL_discard(8)",29.5297,29.5005
"Size_DblN_ascend_se_TWL_discard(8)",4.21524,4.17252
"Size_DblN_descend_se_TWL_discard(8)",3.26734,3.20254
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",51.2366,50.291
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.11482,4.05288
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",49.4206,47.5625
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.82722,4.73429
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",31.0658,30.4535
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.82631,3.71216
"sigmasel_CA_TWL(3)_LEN(10)",1,NA
"CA_TWL_ARDEV_y1978_Lbin10",0.000894079,NA
"CA_TWL_ARDEV_y1978_Lbin11",0.000911421,NA
"CA_TWL_ARDEV_y1978_Lbin12",-0.000840229,NA
"CA_TWL_ARDEV_y1978_Lbin13",-0.00174827,NA
"CA_TWL_ARDEV_y1978_Lbin14",-0.00400075,NA
"CA_TWL_ARDEV_y1978_Lbin15",-0.00837969,NA
