"Reference Points","Estimate","Lower Interval","Upper Interval"
"Unfished Spawning output","12081.1","10133.6405856813","14028.5594143187"
"Unfished Age 3+ Biomass (mt)","49525.3","40728.3936481889","58322.2063518111"
"Unfished Recruitment (R0)","21247","13517.7252298475","28976.2747701525"
"2025 Spawning output","10096.3","6366.48853742028","13826.1114625797"
"2025 Fraction Unfished","0.835705","0.629487389366618","1.04192261063338"
"Reference Points Based SO40\%","","",""
"Proxy Spawning output SO40\%","4832.45","4053.46623427252","5611.43376572748"
"SPR Resulting in SO40\%","0.458333","0.458333","0.458333"
"Exploitation Rate Resulting in SO40\%","0.0857054","0.0763886720002092","0.0950221279997908"
"Yield with SPR Based On SO40\% (mt)","2111.92","1567.07745179365","2656.76254820635"
"Reference Points Based on SPR Proxy for MSY","","",""
"Proxy Spawning output (SPR50)","5390.04","4521.1742459055","6258.9057540945"
"SPR50","0.5","",""
"Exploitation Rate Corresponding to SPR50","0.0746921","0.0665328287312793","0.0828513712687207"
"Yield with SPR50 at SO SPR (mt)","2000.35","1486.09072980841","2514.60927019159"
"Reference Points Based on Estimated MSY Values","","",""
"Spawning output at MSY (SO MSY)","3063.59","2568.28162157493","3558.89837842507"
"SPR MSY","0.326153","0.321031006519562","0.331274993480438"
"Exploitation Rate Corresponding to SPR MSY","0.132829","0.117312709920711","0.148345290079289"
"MSY (mt)","2300.54","1699.27008867874","2901.80991132126"
