"Label","pre-STAR base, no_devs_no_tuning","pre-STAR base","pre-STAR base, SumtoZero_no_tuning","pre-STAR base_SumtoZero_tuned"
"N.Parms",45,114,114,114
"TOTAL",3119.28,2620.26,2623.63,2628.76
"Survey",47.2198,24.5754,29.2113,28.8437
"Length_comp",667.444,569.086,569.314,569.318
"Age_comp",2404.61,2002.35,2003.13,2008.48
"Recruitment",0,24.1847,21.9611,22.1016
"Parm_priors",0.000145624,0.052763,0.00720529,0.00762021
"NatM_uniform_Fem_GP_1",0.155104,0.170632,0.160135,0.160305
"L_at_Amax_Fem_GP_1",48.5737,48.1693,48.2233,48.2343
"VonBert_K_Fem_GP_1",0.188661,0.193995,0.19354,0.193437
"CV_young_Fem_GP_1",0.102287,0.108403,0.109169,0.109627
"CV_old_Fem_GP_1",0.0341771,0.0378172,0.0373066,0.0371305
"NatM_uniform_Mal_GP_1",0.271288,0.265634,0.29056,0.291283
"L_at_Amax_Mal_GP_1",-0.352523,-0.332921,-0.333476,-0.333614
"VonBert_K_Mal_GP_1",0.610046,0.539875,0.541893,0.54329
"CV_young_Mal_GP_1",-0.130527,0.202977,0.197506,0.195227
"CV_old_Mal_GP_1",0.664551,0.111547,0.11795,0.116982
"SR_LN(R0)",9.92437,10.2399,9.96397,9.9755
"Q_extraSD_CalCOFI_Survey(11)",0.42103,0.313346,0.36792,0.362759
"Q_extraSD_RREAS_YOY_Survey(12)",1.74013,1.23395,1.21651,1.21882
"Size_DblN_peak_NoCA_HKL(1)",42.2779,41.2543,41.2015,41.2221
"Size_DblN_ascend_se_NoCA_HKL(1)",4.45239,4.43802,4.43794,4.43953
"Size_DblN_descend_se_NoCA_HKL(1)",4.27015,5.04207,4.96037,4.94261
"Size_DblN_peak_SoCA_HKL(2)",24.2179,24.2445,24.22,24.2085
"Size_DblN_ascend_se_SoCA_HKL(2)",1.41464,1.40305,1.39182,1.38717
"Size_DblN_descend_se_SoCA_HKL(2)",5.77886,5.76629,5.72541,5.72307
"Size_DblN_peak_CA_TWL(3)",44.1099,44.6987,44.5196,44.512
"Size_DblN_ascend_se_CA_TWL(3)",4.4936,4.51202,4.50526,4.50507
"Size_DblN_descend_se_CA_TWL(3)",2.87379,2.98744,2.98335,2.98109
"Size_DblN_peak_OR_WA_Comm(4)",39.7714,42.0433,41.527,41.4919
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.13545,4.49554,4.44656,4.44415
"Size_DblN_peak_CA_NET(5)",46.1843,45.9693,45.9271,45.9189
"Size_DblN_ascend_se_CA_NET(5)",4.28931,4.32086,4.32033,4.31861
"Size_DblN_descend_se_CA_NET(5)",3.94869,3.6855,3.65529,3.64158
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",44.908,43.5026,43.3387,43.333
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.11652,5.09927,5.09408,5.0929
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",3.58902,4.37314,4.31794,4.29938
"Size_DblN_peak_SoCA_Rec(7)",24.5356,24.6727,24.6283,24.6264
"Size_DblN_ascend_se_SoCA_Rec(7)",2.97296,2.91997,2.91017,2.9093
"Size_DblN_descend_se_SoCA_Rec(7)",3.16005,3.35209,3.39698,3.3996
"Size_DblN_end_logit_SoCA_Rec(7)",-0.700357,-1.13513,-1.18612,-1.18879
"Size_DblN_peak_TWL_discard(8)",29.5087,29.5005,29.4566,29.4528
"Size_DblN_ascend_se_TWL_discard(8)",4.32471,4.17252,4.17033,4.17038
"Size_DblN_descend_se_TWL_discard(8)",3.32058,3.20254,3.20781,3.20796
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",49.9965,50.291,50.4124,50.3572
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",3.96989,4.05288,4.06154,4.05703
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",49.777,47.5625,47.5105,47.5059
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.81357,4.73429,4.73592,4.73515
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",36.3449,33.4902,33.4209,33.422
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.79197,3.21286,3.20087,3.20076
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",32.1683,30.4535,30.4881,30.4817
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",4.05895,3.71216,3.72284,3.72151
"Bratio_2025",0.798484,0.593059,0.835705,0.813412
"SSB_unfished",12484.2,13903.6,12081.1,12202.8
"Totbio_unfished",52519,60830.5,51324,51832.8
"Recr_unfished",20422,27998.3,21247,21493.4
"Dead_Catch_SPR",1960.32,2493.65,2000.35,2021.78
"OFLCatch_2025",3086.82,2834.36,3199.68,3142.71
