"Label","Add Var to WCGBTS","Pre-STAR base"
"N.Parms",115,114
"TOTAL",2616.28,2620.26
"Survey",21.8011,24.5754
"Length_comp",568.447,569.086
"Age_comp",2002.17,2002.35
"Recruitment",23.8447,24.1847
"Parm_priors",0.00839151,0.052763
"NatM_uniform_Fem_GP_1",0.160608,0.170632
"L_at_Amax_Fem_GP_1",48.1485,48.1693
"VonBert_K_Fem_GP_1",0.194259,0.193995
"CV_young_Fem_GP_1",0.10814,0.108403
"CV_old_Fem_GP_1",0.0379611,0.0378172
"NatM_uniform_Mal_GP_1",0.288023,0.265634
"L_at_Amax_Mal_GP_1",-0.332469,-0.332921
"VonBert_K_Mal_GP_1",0.539114,0.539875
"CV_young_Mal_GP_1",0.206626,0.202977
"CV_old_Mal_GP_1",0.107352,0.111547
"SR_LN(R0)",10.085,10.2399
"Q_extraSD_WCGBT_Survey(9)",0.145238,NA
"Q_extraSD_CalCOFI_Survey(11)",0.309374,0.313346
"Q_extraSD_RREAS_YOY_Survey(12)",1.22206,1.23395
"Size_DblN_peak_NoCA_HKL(1)",41.3166,41.2543
"Size_DblN_ascend_se_NoCA_HKL(1)",4.45201,4.43802
"Size_DblN_descend_se_NoCA_HKL(1)",5.07419,5.04207
"Size_DblN_peak_SoCA_HKL(2)",24.2321,24.2445
"Size_DblN_ascend_se_SoCA_HKL(2)",1.39682,1.40305
"Size_DblN_descend_se_SoCA_HKL(2)",5.76527,5.76629
"Size_DblN_peak_CA_TWL(3)",44.7203,44.6987
"Size_DblN_ascend_se_CA_TWL(3)",4.51733,4.51202
"Size_DblN_descend_se_CA_TWL(3)",2.99867,2.98744
"Size_DblN_peak_OR_WA_Comm(4)",41.9589,42.0433
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.49508,4.49554
"Size_DblN_peak_CA_NET(5)",46.052,45.9693
"Size_DblN_ascend_se_CA_NET(5)",4.33157,4.32086
"Size_DblN_descend_se_CA_NET(5)",3.73143,3.6855
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",43.4612,43.5026
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.10833,5.09927
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",4.40804,4.37314
"Size_DblN_peak_SoCA_Rec(7)",24.657,24.6727
"Size_DblN_ascend_se_SoCA_Rec(7)",2.91706,2.91997
"Size_DblN_descend_se_SoCA_Rec(7)",3.36727,3.35209
"Size_DblN_end_logit_SoCA_Rec(7)",-1.14689,-1.13513
"Size_DblN_peak_TWL_discard(8)",29.4698,29.5005
"Size_DblN_ascend_se_TWL_discard(8)",4.17358,4.17252
"Size_DblN_descend_se_TWL_discard(8)",3.2044,3.20254
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",50.3065,50.291
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.05545,4.05288
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",47.6673,47.5625
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.74604,4.73429
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",33.4501,33.4902
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.21018,3.21286
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",30.3741,30.4535
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.70504,3.71216
"Bratio_2025",0.641005,0.593059
"SSB_unfished",13501.6,13903.6
"Totbio_unfished",57568.6,60830.5
"Recr_unfished",23981.4,27998.3
"Dead_Catch_SPR",2253.38,2493.65
"OFLCatch_2025",2798.37,2834.36
