"Label","pre-STAR base","STAR_base, asymptotic"
"N.Parms",109,114
"TOTAL",2621.33,2620.26
"Survey",24.3068,24.5754
"Length_comp",572.015,569.086
"Age_comp",2000.48,2002.35
"Recruitment",24.4251,24.1847
"Parm_priors",0.09587,0.052763
"NatM_uniform_Fem_GP_1",0.176717,0.170632
"L_at_Amax_Fem_GP_1",47.8597,48.1693
"VonBert_K_Fem_GP_1",0.197212,0.193995
"CV_young_Fem_GP_1",0.10456,0.108403
"CV_old_Fem_GP_1",0.0392014,0.0378172
"NatM_uniform_Mal_GP_1",0.240991,0.265634
"L_at_Amax_Mal_GP_1",-0.328637,-0.332921
"VonBert_K_Mal_GP_1",0.527929,0.539875
"CV_young_Mal_GP_1",0.234784,0.202977
"CV_old_Mal_GP_1",0.100485,0.111547
"SR_LN(R0)",10.3141,10.2399
"Q_extraSD_CalCOFI_Survey(11)",0.310176,0.313346
"Q_extraSD_RREAS_YOY_Survey(12)",1.22962,1.23395
"Size_DblN_peak_NoCA_HKL(1)",41.0802,41.2543
"Size_DblN_ascend_se_NoCA_HKL(1)",4.40454,4.43802
"Size_DblN_descend_se_NoCA_HKL(1)",7,5.04207
"Size_DblN_end_logit_NoCA_HKL(1)",10,-999
"Size_DblN_peak_SoCA_HKL(2)",23.7877,24.2445
"Size_DblN_ascend_se_SoCA_HKL(2)",1.19502,1.40305
"Size_DblN_descend_se_SoCA_HKL(2)",7,5.76629
"Size_DblN_end_logit_SoCA_HKL(2)",10,-999
"Size_DblN_peak_CA_TWL(3)",45.1016,44.6987
"Size_DblN_ascend_se_CA_TWL(3)",4.56318,4.51202
"Size_DblN_descend_se_CA_TWL(3)",7,2.98744
"Size_DblN_start_logit_CA_TWL(3)",-999,-10
"Size_DblN_end_logit_CA_TWL(3)",10,-999
"Size_DblN_peak_OR_WA_Comm(4)",43.1091,42.0433
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.59961,4.49554
"Size_DblN_descend_se_OR_WA_Comm(4)",7,10
"Size_DblN_end_logit_OR_WA_Comm(4)",10,-999
"Size_DblN_peak_CA_NET(5)",46.9793,45.9693
"Size_DblN_ascend_se_CA_NET(5)",4.41998,4.32086
"Size_DblN_descend_se_CA_NET(5)",7,3.6855
"Size_DblN_end_logit_CA_NET(5)",10,-999
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",44.1095,43.5026
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.14483,5.09927
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",7,4.37314
"Size_DblN_end_logit_NoCA_OR_WA_Rec(6)",10,-999
"Size_DblN_peak_SoCA_Rec(7)",24.7313,24.6727
"Size_DblN_ascend_se_SoCA_Rec(7)",2.93596,2.91997
"Size_DblN_descend_se_SoCA_Rec(7)",3.2784,3.35209
"Size_DblN_end_logit_SoCA_Rec(7)",-1.04934,-1.13513
"Size_DblN_peak_TWL_discard(8)",29.5722,29.5005
"Size_DblN_ascend_se_TWL_discard(8)",4.18083,4.17252
"Size_DblN_descend_se_TWL_discard(8)",3.19426,3.20254
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",51.396,50.291
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.1411,4.05288
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",48.7764,47.5625
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.8135,4.73429
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",33.9196,33.4902
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.31476,3.21286
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",30.6478,30.4535
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.74154,3.71216
"Size_DblN_descend_se_NoCA_HKL(1)_BLK1repl_1875",NA,10
"Size_DblN_descend_se_SoCA_HKL(2)_BLK2repl_1875",NA,10
"Size_DblN_descend_se_CA_TWL(3)_BLK3repl_1875",NA,19
"Bratio_2025",0.586533,0.593059
"SSB_unfished",13702,13903.6
"Totbio_unfished",61698.3,60830.5
"Recr_unfished",30156.1,27998.3
"Dead_Catch_SPR",2633.12,2493.65
"OFLCatch_2025",3159.83,2834.36
