"Reference Points","Estimate","Lower Interval","Upper Interval"
"Unfished Spawning output","13702","10882.0626179633","16521.9373820367"
"Unfished Age 3+ Biomass (mt)","59180.1","45381.5419564013","72978.6580435987"
"Unfished Recruitment (R0)","30156.1","17654.7441195691","42657.4558804309"
"2025 Spawning output","8036.68","4818.575934504","11254.784065496"
"2025 Fraction Unfished","0.586533","0.380080193688473","0.792985806311526"
"Reference Points Based SO40\%","","",""
"Proxy Spawning output SO40\%","5480.8","4352.82896711329","6608.77103288671"
"SPR Resulting in SO40\%","0.458333","0.458333","0.458333"
"Exploitation Rate Resulting in SO40\%","0.093034","0.0840951530564285","0.101972846943572"
"Yield with SPR Based On SO40\% (mt)","2779.05","1912.48328365937","3645.61671634063"
"Reference Points Based on SPR Proxy for MSY","","",""
"Proxy Spawning output (SPR50)","6113.2","4855.07755871991","7371.32244128009"
"SPR50","0.5","",""
"Exploitation Rate Corresponding to SPR50","0.0811634","0.0733643701116378","0.0889624298883622"
"Yield with SPR50 at SO SPR (mt)","2633.12","1814.84679623843","3451.39320376157"
"Reference Points Based on Estimated MSY Values","","",""
"Spawning output at MSY (SO MSY)","3495.96","2788.40712168909","4203.51287831091"
"SPR MSY","0.327559","0.322186542721977","0.332931457278023"
"Exploitation Rate Corresponding to SPR MSY","0.14315","0.127723417472283","0.158576582527717"
"MSY (mt)","3022.12","2067.90173430675","3976.33826569325"
