"Label","STAR_base, sum2zero","STAR_base, 'simple devs'","Est. Steepness, sum=0","Est. Steepness, simple devs"
"N.Parms",109,109,110,110
"TOTAL",2625.35,2621.33,2620.33,2619.62
"Survey",29.383,24.3068,22.8307,22.7242
"Length_comp",572.553,572.015,572.476,572.356
"Age_comp",2001.45,2000.48,1999.83,1999.75
"Recruitment",21.9279,24.4251,23.1554,23.4976
"Parm_priors",0.029659,0.09587,2.03528,1.28875
"NatM_uniform_Fem_GP_1",0.166385,0.176717,0.177145,0.180018
"L_at_Amax_Fem_GP_1",47.8867,47.8597,47.8518,47.8481
"VonBert_K_Fem_GP_1",0.197084,0.197212,0.197278,0.197285
"CV_young_Fem_GP_1",0.10486,0.10456,0.104427,0.104398
"CV_old_Fem_GP_1",0.0388597,0.0392014,0.0393058,0.0393598
"NatM_uniform_Mal_GP_1",0.262928,0.240991,0.241456,0.235016
"L_at_Amax_Mal_GP_1",-0.328515,-0.328637,-0.328475,-0.328553
"VonBert_K_Mal_GP_1",0.527649,0.527929,0.527785,0.527771
"CV_young_Mal_GP_1",0.234186,0.234784,0.236126,0.235852
"CV_old_Mal_GP_1",0.100871,0.100485,0.0983471,0.0986046
"SR_LN(R0)",10.0272,10.3141,10.4499,10.4708
"SR_BH_steep",0.72,0.72,0.355189,0.436122
"Q_extraSD_CalCOFI_Survey(11)",0.369204,0.310176,0.291314,0.292265
"Q_extraSD_RREAS_YOY_Survey(12)",1.21044,1.22962,1.22737,1.23338
"Size_DblN_peak_NoCA_HKL(1)",40.9307,41.0802,41.1167,41.1185
"Size_DblN_ascend_se_NoCA_HKL(1)",4.39267,4.40454,4.41217,4.40945
"Size_DblN_peak_SoCA_HKL(2)",23.7196,23.7877,23.8021,23.817
"Size_DblN_ascend_se_SoCA_HKL(2)",1.15476,1.19502,1.20324,1.21176
"Size_DblN_peak_CA_TWL(3)",44.8644,45.1016,45.1907,45.2178
"Size_DblN_ascend_se_CA_TWL(3)",4.554,4.56318,4.57031,4.56957
"Size_DblN_peak_OR_WA_Comm(4)",42.4699,43.1091,43.3118,43.424
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.53816,4.59961,4.61833,4.62843
"Size_DblN_peak_CA_NET(5)",46.9819,46.9793,46.9989,46.9763
"Size_DblN_ascend_se_CA_NET(5)",4.42463,4.41998,4.42243,4.41935
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",43.8363,44.1095,44.2333,44.2475
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.13249,5.14483,5.15374,5.15249
"Size_DblN_peak_SoCA_Rec(7)",24.6975,24.7313,24.7489,24.7536
"Size_DblN_ascend_se_SoCA_Rec(7)",2.92893,2.93596,2.93918,2.94014
"Size_DblN_descend_se_SoCA_Rec(7)",3.31733,3.2784,3.26715,3.26042
"Size_DblN_end_logit_SoCA_Rec(7)",-1.09432,-1.04934,-1.03316,-1.0247
"Size_DblN_peak_TWL_discard(8)",29.5312,29.5722,29.6032,29.6064
"Size_DblN_ascend_se_TWL_discard(8)",4.17845,4.18083,4.18347,4.18329
"Size_DblN_descend_se_TWL_discard(8)",3.19896,3.19426,3.18771,3.1882
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",51.7113,51.396,51.3171,51.276
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.16585,4.1411,4.13497,4.13211
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",48.8155,48.7764,48.8253,48.7717
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.82246,4.8135,4.81877,4.81277
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",33.8176,33.9196,33.9046,33.9304
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.29515,3.31476,3.31329,3.3173
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",30.6978,30.6478,30.6158,30.6093
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.75506,3.74154,3.73728,3.73448
"Bratio_2025",0.85815,0.586533,0.442581,0.456206
"SSB_unfished",11694.7,13702,15607.5,15394.6
"Totbio_unfished",51220.8,61698.3,70333.1,69919.7
"Recr_unfished",22633.4,30156.1,34541.9,35270.8
"Dead_Catch_SPR",2089.4,2633.12,570.005,1772.22
"OFLCatch_2025",3662.86,3159.83,2742.1,2837.85
