"Label","WCGBTS index with depth","STAR_base, asymptotic"
"N.Parms",109,109
"TOTAL",2623.68,2621.33
"Survey",21.5414,24.3068
"Length_comp",575.661,572.015
"Age_comp",2002.52,2000.48
"Recruitment",23.8003,24.4251
"Parm_priors",0.154713,0.09587
"NatM_uniform_Fem_GP_1",0.183322,0.176717
"L_at_Amax_Fem_GP_1",47.8219,47.8597
"VonBert_K_Fem_GP_1",0.197116,0.197212
"CV_young_Fem_GP_1",0.103827,0.10456
"CV_old_Fem_GP_1",0.0397356,0.0392014
"NatM_uniform_Mal_GP_1",0.213062,0.240991
"L_at_Amax_Mal_GP_1",-0.342244,-0.328637
"VonBert_K_Mal_GP_1",0.581458,0.527929
"CV_young_Mal_GP_1",-0.0878664,0.234784
"CV_old_Mal_GP_1",0.52092,0.100485
"SR_LN(R0)",10.42,10.3141
"Q_extraSD_CalCOFI_Survey(11)",0.31001,0.310176
"Q_extraSD_RREAS_YOY_Survey(12)",1.23642,1.22962
"Size_DblN_peak_NoCA_HKL(1)",41.8325,41.0802
"Size_DblN_ascend_se_NoCA_HKL(1)",4.4355,4.40454
"Size_DblN_peak_SoCA_HKL(2)",23.9386,23.7877
"Size_DblN_ascend_se_SoCA_HKL(2)",1.25641,1.19502
"Size_DblN_peak_CA_TWL(3)",44.988,45.1016
"Size_DblN_ascend_se_CA_TWL(3)",4.51044,4.56318
"Size_DblN_peak_OR_WA_Comm(4)",42.9949,43.1091
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.52306,4.59961
"Size_DblN_peak_CA_NET(5)",46.9472,46.9793
"Size_DblN_ascend_se_CA_NET(5)",4.37817,4.41998
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",44.981,44.1095
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.16107,5.14483
"Size_DblN_peak_SoCA_Rec(7)",24.7077,24.7313
"Size_DblN_ascend_se_SoCA_Rec(7)",2.94947,2.93596
"Size_DblN_descend_se_SoCA_Rec(7)",3.07113,3.2784
"Size_DblN_end_logit_SoCA_Rec(7)",-0.867923,-1.04934
"Size_DblN_peak_TWL_discard(8)",29.7256,29.5722
"Size_DblN_ascend_se_TWL_discard(8)",4.23375,4.18083
"Size_DblN_descend_se_TWL_discard(8)",3.24104,3.19426
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",51.5902,51.396
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.15827,4.1411
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",48.8502,48.7764
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.77226,4.8135
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",35.7126,33.9196
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.68002,3.31476
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",31.3385,30.6478
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.86892,3.74154
"Bratio_2025",0.591774,0.586533
"SSB_unfished",14027,13702
"Totbio_unfished",64517.5,61698.3
"Recr_unfished",33525.1,30156.1
"Dead_Catch_SPR",2808.35,2633.12
"OFLCatch_2025",3448.2,3159.83
