"Label","Request 15, part 2","Request 15, part 1","STAR_base, asymptotic"
"N.Parms",111,111,109
"TOTAL",2504.08,2623.98,2621.33
"Survey",20.8814,23.7454,24.3068
"Length_comp",547.765,576.047,572.015
"Age_comp",1910.19,1999.49,2000.48
"Recruitment",24.978,24.4948,24.4251
"Parm_priors",0.261886,0.190949,0.09587
"NatM_uniform_Fem_GP_1",0.19309,0.186864,0.176717
"L_at_Amax_Fem_GP_1",47.9478,47.8898,47.8597
"VonBert_K_Fem_GP_1",0.194724,0.196148,0.197212
"CV_young_Fem_GP_1",0.106472,0.10534,0.10456
"CV_old_Fem_GP_1",0.0383198,0.0389251,0.0392014
"NatM_uniform_Mal_GP_1",0.210632,0.221478,0.240991
"L_at_Amax_Mal_GP_1",-0.331914,-0.329156,-0.328637
"VonBert_K_Mal_GP_1",0.515228,0.522471,0.527929
"CV_young_Mal_GP_1",0.282895,0.241422,0.234784
"CV_old_Mal_GP_1",0.0976553,0.0991619,0.100485
"SR_LN(R0)",10.5984,10.4741,10.3141
"Q_extraSD_CalCOFI_Survey(11)",0.319175,0.311304,0.310176
"Q_extraSD_RREAS_YOY_Survey(12)",1.2193,1.22145,1.22962
"Size_DblN_peak_NoCA_HKL(1)",40.742,41.1363,41.0802
"Size_DblN_ascend_se_NoCA_HKL(1)",4.34515,4.40052,4.40454
"Size_DblN_peak_SoCA_HKL(2)",23.9622,23.9061,23.7877
"Size_DblN_ascend_se_SoCA_HKL(2)",1.2889,1.25942,1.19502
"Size_DblN_peak_CA_TWL(3)",45.2431,45.2961,45.1016
"Size_DblN_ascend_se_CA_TWL(3)",4.55686,4.56528,4.56318
"Size_DblN_peak_OR_WA_Comm(4)",43.8812,43.8327,43.1091
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.65065,4.65388,4.59961
"Size_DblN_peak_CA_NET(5)",46.7937,46.973,46.9793
"Size_DblN_ascend_se_CA_NET(5)",4.39984,4.41402,4.41998
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",44.128,44.3716,44.1095
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.10821,5.13991,5.14483
"Size_DblN_peak_SoCA_Rec(7)",24.8731,24.844,24.7313
"Size_DblN_ascend_se_SoCA_Rec(7)",2.95568,2.9544,2.93596
"Size_DblN_descend_se_SoCA_Rec(7)",3.28158,3.24869,3.2784
"Size_DblN_end_logit_SoCA_Rec(7)",-0.884118,-0.929,-1.04934
"Size_DblN_peak_TWL_discard(8)",29.8865,29.7569,29.5722
"Size_DblN_ascend_se_TWL_discard(8)",4.19023,4.18468,4.18083
"Size_DblN_descend_se_TWL_discard(8)",3.12582,3.15782,3.19426
"Size_DblN_peak_WCGBT_Survey(9)",35.007,34.5851,NA
"Size_DblN_top_logit_WCGBT_Survey(9)",-6,-6,NA
"Size_DblN_ascend_se_WCGBT_Survey(9)",6.01307,6.02168,NA
"Size_DblN_descend_se_WCGBT_Survey(9)",7,7,NA
"Size_DblN_start_logit_WCGBT_Survey(9)",-999,-999,NA
"Size_DblN_end_logit_WCGBT_Survey(9)",10,10,NA
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",51.1943,51.3651,51.396
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.12214,4.13495,4.1411
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",48.3927,48.7705,48.7764
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.77539,4.80557,4.8135
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",33.9404,33.9973,33.9196
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.29897,3.32249,3.31476
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",30.9603,30.791,30.6478
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.77461,3.757,3.74154
"Size_DblN_peak_Triennial_Survey(10)",NA,58,NA
"Size_DblN_top_logit_Triennial_Survey(10)",NA,-6,NA
"Size_DblN_ascend_se_Triennial_Survey(10)",NA,10,NA
"Size_DblN_descend_se_Triennial_Survey(10)",NA,7,NA
"Size_DblN_start_logit_Triennial_Survey(10)",NA,-999,NA
"Size_DblN_end_logit_Triennial_Survey(10)",NA,10,NA
"SizeSel=1_BinLo_WCGBT_Survey(9)",NA,NA,3
"SizeSel=1_BinHi_WCGBT_Survey(9)",NA,NA,54
"Bratio_2025",0.633227,0.597469,0.586533
"SSB_unfished",14983.1,14233.4,13702
"Totbio_unfished",70061.3,65718.3,61698.3
"Recr_unfished",40069.3,35385.5,30156.1
"Dead_Catch_SPR",3197.6,2927.31,2633.12
"OFLCatch_2025",4170.22,3612.96,3159.83
