Label,proposed final base,"STAR_base, asymptotic"
N.Parms,106,109
TOTAL,2633.050,2621.330
Survey,29.272,24.307
Length_comp,569.289,572.015
Age_comp,2011.060,2000.480
Recruitment,23.397,24.425
Parm_priors,0.025,0.096
NatM_uniform_Fem_GP_1,0.165,0.177
L_at_Amax_Fem_GP_1,47.901,47.860
VonBert_K_Fem_GP_1,0.197,0.197
CV_young_Fem_GP_1,0.105,0.105
CV_old_Fem_GP_1,0.039,0.039
NatM_uniform_Mal_GP_1,0.266,0.241
L_at_Amax_Mal_GP_1,-0.328,-0.329
VonBert_K_Mal_GP_1,0.526,0.528
CV_young_Mal_GP_1,0.236,0.235
CV_old_Mal_GP_1,0.1,0.100
SR_LN(R0),10.032,10.314
Q_extraSD_CalCOFI_Survey(11),0.355,0.310
Q_extraSD_RREAS_YOY_Survey(12),0.683,1.230
Size_DblN_peak_NoCA_HKL(1),40.974,41.080
Size_DblN_ascend_se_NoCA_HKL(1),4.399,4.405
Size_DblN_peak_SoCA_HKL(2),23.799,23.788
Size_DblN_ascend_se_SoCA_HKL(2),1.2,1.195
Size_DblN_peak_CA_TWL(3),44.904,45.102
Size_DblN_ascend_se_CA_TWL(3),4.556,4.563
Size_DblN_peak_OR_WA_Comm(4),42.753,43.109
Size_DblN_ascend_se_OR_WA_Comm(4),4.559,4.600
Size_DblN_peak_CA_NET(5),46.991,46.979
Size_DblN_ascend_se_CA_NET(5),4.426,4.420
Size_DblN_peak_NoCA_OR_WA_Rec(6),43.894,44.110
Size_DblN_ascend_se_NoCA_OR_WA_Rec(6),5.136,5.145
Size_DblN_peak_SoCA_Rec(7),24.708,24.731
Size_DblN_ascend_se_SoCA_Rec(7),2.924,2.936
Size_DblN_descend_se_SoCA_Rec(7),3.318,3.278
Size_DblN_end_logit_SoCA_Rec(7),-1.112,-1.049
Size_DblN_peak_TWL_discard(8),29.552,29.572
Size_DblN_ascend_se_TWL_discard(8),4.167,4.181
Size_DblN_descend_se_TWL_discard(8),3.193,3.194
Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875,51.604,51.396
Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875,4.157,4.141
Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875,48.830,48.776
Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875,4.824,4.814
Size_DblN_peak_CA_TWL(3)_BLK3repl_1875,33.792,33.920
Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875,3.290,3.315
Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875,30.678,30.648
Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875,3.752,3.742
Bratio_2025,0.832,0.587
SSB_unfished,11922.2,13702
Totbio_unfished,52043.2,61698.3
Recr_unfished,22733.5,30156.1
Dead_Catch_SPR,2113.52,2633.12
OFLCatch_2025,3616.72,3159.83
