"","Value","converged","TOTAL","Catch","Equil_catch","Survey","Length_comp","Age_comp","Recruitment","InitEQ_Regime","Forecast_Recruitment","Parm_priors","Parm_softbounds","Parm_devs","Crash_Pen","max_grad"
"1",0.25,TRUE,2633.77,1.77603e-11,0,23.3549,572.782,2005.49,27.6011,0,0,4.53906,0.0033446,0,0,0.000334354
"2",0.3,TRUE,2630.15,4.18684e-11,0,22.9008,570.928,2007.48,25.8378,0,0,3.00003,0.0033351,0,0,0.000271448
"3",0.35,TRUE,2628.92,7.46509e-11,0,23.2755,569.911,2008.88,24.7249,0,0,2.12503,0.00333959,0,0,0.00514599
"4",0.4,TRUE,2628.78,1.07756e-10,0,24.0477,569.343,2009.84,24.0096,0,0,1.53604,0.00333937,0,0,0.00767993
"5",0.45,TRUE,2629.17,1.33678e-10,0,24.9793,569.037,2010.49,23.5614,0,0,1.10779,0.0033393,0,0,0.00153488
"6",0.5,TRUE,2629.82,1.48217e-10,0,25.9385,568.899,2010.9,23.3055,0,0,0.782077,0.00333739,0,0,0.00148435
"7",0.55,TRUE,2630.57,1.51235e-10,0,26.8522,568.875,2011.12,23.192,0,0,0.528043,0.00333471,0,0,0.00360643
"8",0.6,TRUE,2631.34,1.453e-10,0,27.6825,568.935,2011.21,23.1821,0,0,0.328434,0.00333197,0,0,0.00236106
"9",0.65,TRUE,2632.08,1.33965e-10,0,28.4141,569.055,2011.19,23.2432,0,0,0.173706,0.00332947,0,0,0.00608575
"10",0.7,TRUE,2632.78,1.20389e-10,0,29.0459,569.216,2011.11,23.3482,0,0,0.0592807,0.00332713,0,0,0.000898629
"11",0.72,TRUE,2633.05,1.14861e-10,0,29.2721,569.289,2011.06,23.3977,0,0,0.024521,0.00332623,0,0,0.00523121
"12",0.75,TRUE,2633.44,1.06772e-10,0,29.585,569.403,2010.99,23.476,0,0,-0.0154396,0.00332478,0,0,0.00188308
"13",0.8,TRUE,2634.05,9.43017e-11,0,30.0428,569.603,2010.84,23.6115,0,0,-0.0464221,0.00332247,0,0,0.000435704
"14",0.85,TRUE,2634.65,8.34586e-11,0,30.4314,569.807,2010.68,23.7452,0,0,-0.0216518,0.00332024,0,0,0.00108915
"15",0.9,TRUE,2635.27,7.42825e-11,0,30.7623,570.007,2010.53,23.872,0,0,0.0904714,0.00331811,0,0,0.00243695
"16",0.95,TRUE,2636.02,6.66198e-11,0,31.0457,570.199,2010.38,23.9892,0,0,0.397614,0.00331609,0,0,0.00207395
