"Label","h=0.25","h=0.3","h=0.35","h=0.4","h=0.45","h=0.5","h=0.55","h=0.6","h=0.65","h=0.7","h=0.72","h=0.75","h=0.8","h=0.85","h=0.9","h=0.95"
"N.Parms",106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106
"TOTAL",2633.77,2630.15,2628.92,2628.78,2629.17,2629.82,2630.57,2631.34,2632.08,2632.78,2633.05,2633.44,2634.05,2634.65,2635.27,2636.02
"Survey",23.3549,22.9008,23.2755,24.0477,24.9793,25.9385,26.8522,27.6825,28.4141,29.0459,29.2721,29.585,30.0428,30.4314,30.7623,31.0457
"Length_comp",572.782,570.928,569.911,569.343,569.037,568.899,568.875,568.935,569.055,569.216,569.289,569.403,569.603,569.807,570.007,570.199
"Age_comp",2005.49,2007.48,2008.88,2009.84,2010.49,2010.9,2011.12,2011.21,2011.19,2011.11,2011.06,2010.99,2010.84,2010.68,2010.53,2010.38
"Recruitment",27.6011,25.8378,24.7249,24.0096,23.5614,23.3055,23.192,23.1821,23.2432,23.3482,23.3977,23.476,23.6115,23.7452,23.872,23.9892
"Parm_priors",4.53906,3.00003,2.12503,1.53604,1.10779,0.782077,0.528043,0.328434,0.173706,0.0592807,0.024521,-0.0154396,-0.0464221,-0.0216518,0.0904714,0.397614
"NatM_uniform_Fem_GP_1",0.201852,0.189311,0.180122,0.173542,0.169047,0.166203,0.164658,0.164102,0.164262,0.164903,0.165249,0.165835,0.166914,0.168044,0.169164,0.170237
"L_at_Amax_Fem_GP_1",47.8539,47.8585,47.8649,47.8719,47.8783,47.884,47.8889,47.893,47.8965,47.8995,47.9006,47.9021,47.9043,47.9062,47.9079,47.9094
"VonBert_K_Fem_GP_1",0.197162,0.197142,0.197118,0.197089,0.19706,0.197033,0.197009,0.196987,0.196967,0.196949,0.196943,0.196933,0.196918,0.196905,0.196893,0.196881
"CV_young_Fem_GP_1",0.104526,0.104544,0.104594,0.10466,0.104726,0.10479,0.104851,0.104907,0.104961,0.10501,0.105029,0.105056,0.105098,0.105137,0.105173,0.105205
"CV_old_Fem_GP_1",0.0393103,0.0392174,0.0391079,0.0390017,0.0389099,0.0388336,0.0387719,0.0387228,0.038684,0.0386531,0.0386426,0.0386283,0.0386081,0.0385912,0.0385768,0.0385645
"NatM_uniform_Mal_GP_1",0.195397,0.217166,0.234803,0.248384,0.258059,0.264312,0.267682,0.268777,0.268215,0.266557,0.265697,0.264266,0.261684,0.259037,0.256462,0.254032
"L_at_Amax_Mal_GP_1",-0.328283,-0.328365,-0.328344,-0.328309,-0.328277,-0.328259,-0.328252,-0.328252,-0.328255,-0.328259,-0.32826,-0.328262,-0.328263,-0.328263,-0.32826,-0.328257
"VonBert_K_Mal_GP_1",0.524418,0.525687,0.526327,0.526651,0.526792,0.526819,0.526769,0.526667,0.52653,0.526372,0.526305,0.526207,0.526039,0.525877,0.525723,0.525578
"CV_young_Mal_GP_1",0.237358,0.237338,0.237414,0.23741,0.237324,0.23715,0.236908,0.236618,0.236304,0.235984,0.235859,0.235672,0.235379,0.23511,0.234867,0.234649
"SR_LN(R0)",11.0654,10.7505,10.5275,10.3658,10.2488,10.1655,10.1079,10.07,10.0469,10.0344,10.0316,10.0293,10.029,10.0319,10.0366,10.0423
"SR_BH_steep",0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.72,0.75,0.8,0.85,0.9,0.95
"Q_extraSD_CalCOFI_Survey(11)",0.293619,0.289307,0.289386,0.292962,0.299371,0.307973,0.318096,0.329037,0.340135,0.350853,0.354944,0.360821,0.369845,0.377867,0.384924,0.391096
"Size_DblN_peak_NoCA_HKL(1)",40.6361,40.9291,41.0789,41.1464,41.1679,41.1602,41.1334,41.094,41.0466,40.9948,40.9735,40.9415,40.8889,40.8385,40.7911,40.7472
"Size_DblN_ascend_se_NoCA_HKL(1)",4.34841,4.38663,4.40722,4.41739,4.42141,4.42138,4.41862,4.41403,4.40828,4.40189,4.39925,4.39527,4.38873,4.38246,4.37657,4.3711
"Size_DblN_peak_SoCA_HKL(2)",23.8918,23.8643,23.8432,23.8272,23.8156,23.8076,23.8025,23.7997,23.7987,23.7989,23.7993,23.8,23.8015,23.8033,23.8052,23.8071
"Size_DblN_peak_CA_TWL(3)",45.4217,45.3425,45.2583,45.1777,45.1073,45.0478,44.9995,44.9617,44.9329,44.9113,44.9044,44.8955,44.8839,44.8754,44.8691,44.8644
"Size_DblN_ascend_se_CA_TWL(3)",4.57271,4.57305,4.57168,4.56933,4.56667,4.56402,4.56162,4.55958,4.55793,4.55667,4.55625,4.55572,4.55503,4.55454,4.55419,4.55395
"Size_DblN_peak_OR_WA_Comm(4)",45.6612,44.4957,43.9122,43.4602,43.2057,43.0181,42.89,42.8107,42.7679,42.7529,42.752,42.7568,42.7717,42.7939,42.8195,42.8464
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.82957,4.72064,4.66768,4.62486,4.60224,4.58506,4.57308,4.56551,4.56124,4.5596,4.55938,4.55975,4.56089,4.56274,4.56493,4.56727
"Size_DblN_peak_CA_NET(5)",46.6689,46.8489,46.9525,47.0093,47.0378,47.0476,47.045,47.0342,47.0181,46.9989,46.9908,46.9784,46.9576,46.9373,46.9181,46.9002
"Size_DblN_ascend_se_CA_NET(5)",4.39683,4.41022,4.41873,4.42394,4.42693,4.42837,4.42871,4.4283,4.42738,4.42617,4.42563,4.4248,4.42338,4.42198,4.42064,4.41939
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",44.2559,44.3175,44.2938,44.2332,44.1643,44.0972,44.0371,43.9856,43.9425,43.9068,43.8942,43.8771,43.8524,43.8315,43.8137,43.7984
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.13959,5.15026,5.15406,5.15412,5.15239,5.14972,5.14662,5.14341,5.14027,5.1373,5.13617,5.13455,5.13205,5.12978,5.12775,5.12592
"Size_DblN_peak_SoCA_Rec(7)",24.8297,24.799,24.7734,24.7526,24.7365,24.7247,24.7165,24.7113,24.7087,24.7078,24.7079,24.7082,24.7095,24.7112,24.7131,24.7152
"Size_DblN_ascend_se_SoCA_Rec(7)",2.94383,2.93967,2.93573,2.93231,2.92954,2.92741,2.92586,2.92483,2.9242,2.92389,2.92383,2.92379,2.92385,2.92399,2.92419,2.9244
"Size_DblN_descend_se_SoCA_Rec(7)",3.21194,3.2369,3.25864,3.27665,3.2907,3.30126,3.30875,3.31369,3.31659,3.31799,3.31824,3.31832,3.31797,3.3172,3.31621,3.31511
"Size_DblN_end_logit_SoCA_Rec(7)",-0.972116,-1.00583,-1.03537,-1.05955,-1.07814,-1.09177,-1.10117,-1.10713,-1.11043,-1.1118,-1.11196,-1.11187,-1.11113,-1.10991,-1.10847,-1.10694
"Size_DblN_peak_TWL_discard(8)",29.7179,29.679,29.6452,29.6173,29.5953,29.5787,29.5669,29.5592,29.5546,29.5526,29.5523,29.5522,29.553,29.5544,29.5563,29.5583
"Size_DblN_ascend_se_TWL_discard(8)",4.17113,4.17196,4.17178,4.17117,4.17038,4.16959,4.16884,4.16816,4.16757,4.16704,4.16685,4.16659,4.1662,4.16585,4.16555,4.16529
"Size_DblN_descend_se_TWL_discard(8)",3.16904,3.1745,3.17909,3.18289,3.18601,3.18846,3.19031,3.19162,3.19249,3.193,3.19313,3.19324,3.19331,3.19324,3.19309,3.19289
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",50.9254,51.0737,51.1884,51.2769,51.3494,51.4093,51.4606,51.5074,51.5513,51.5904,51.6046,51.6226,51.6493,51.6707,51.688,51.7018
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.10579,4.11625,4.12481,4.13159,4.13718,4.14178,4.14566,4.14924,4.15269,4.15579,4.15692,4.15827,4.16032,4.16193,4.16321,4.16422
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",48.2532,48.5109,48.7233,48.8425,48.9064,48.9317,48.9309,48.9125,48.8824,48.8454,48.8297,48.8052,48.7637,48.7231,48.6842,48.6477
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.77524,4.79363,4.811,4.82127,4.8272,4.82997,4.83056,4.82967,4.82779,4.8253,4.82422,4.82252,4.8196,4.81672,4.81395,4.81133
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",33.8713,33.9,33.8899,33.8679,33.8459,33.8278,33.8143,33.8047,33.798,33.7931,33.7914,33.7893,33.7859,33.7828,33.7797,33.7768
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.2941,3.30636,3.30828,3.30619,3.30299,3.29981,3.29702,3.29459,3.29248,3.29055,3.28977,3.28874,3.28699,3.28532,3.2837,3.28218
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",30.5901,30.5979,30.5996,30.6004,30.6037,30.6107,30.6216,30.636,30.6526,30.6705,30.6778,30.6886,30.7062,30.7227,30.7379,30.7519
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.72046,3.72787,3.73257,3.73583,3.73847,3.74091,3.74335,3.74585,3.74837,3.75085,3.75181,3.7532,3.75539,3.75738,3.75917,3.76077
"Bratio_2025",0.310984,0.371476,0.432201,0.493377,0.554524,0.614538,0.67205,0.725653,0.774186,0.816984,0.832444,0.853903,0.885251,0.911615,0.933697,0.95219
"SSB_unfished",21725.7,18271.3,16284.6,15001.6,14108.2,13452.7,12953.4,12563.4,12254.1,12006.9,11922.3,11808.6,11649.2,11520.7,11416.7,11332
"Totbio_unfished",104358,84990.3,73956.8,66956.6,62221,58880.6,56460.2,54677.6,53353.1,52365.2,52043.8,51627.2,51075.6,50662.8,50353.4,50121.2
"Recr_unfished",63922.6,46655.5,37328.6,31755.8,28249.1,25989.6,24536,23624.6,23084,22797.3,22733.7,22680.8,22675.4,22740.3,22847.4,22978.5
"Dead_Catch_SPR",1.55802e-13,1.09996e-12,479.054,1265.53,1614.35,1795.5,1904.79,1981.19,2041.75,2094.1,2113.55,2141.56,2185.51,2226.47,2264.69,2300.29
"OFLCatch_2025",3141.2,2928.76,2865.12,2883.2,2953.08,3055.74,3178,3309.41,3441.55,3568.39,3616.64,3686,3792.48,3887.44,3971.4,4045.39
