"","base_len_resid"
"1",-0.00722976
"2",-0.000446232
"3",-0.00212266
"4",-0.00404823
"5",0.48949
"6",-0.00970373
"7",-0.0372826
"8",2.14842
"9",-0.0871937
"10",-0.464015
"11",-0.587729
"12",-0.672152
"13",-0.241209
"14",-0.0673773
"15",-0.242332
"16",-0.226073
"17",0.130628
"18",0.66431
"19",-0.0609385
"20",-0.0688603
"21",0.892937
"22",0.156324
"23",0.334606
"24",0.789478
"25",-0.0140588
"26",-0.00193581
"27",-7.63729e-05
"28",-0.00713805
"29",-0.000964637
"30",-0.00188719
"31",-0.00346167
"32",-0.004628
"33",-0.011911
"34",-0.042444
"35",-0.101423
"36",-0.253276
"37",-0.49517
"38",-0.529847
"39",-0.205088
"40",1.23909
"41",-0.319236
"42",0.298399
"43",-0.0167578
"44",-0.1476
"45",-0.067426
"46",0.0964074
"47",2.56911
"48",-0.000341283
"49",16.0502
"50",-2.33582e-07
"51",-3.37099e-09
"52",-3.32485e-11
"53",-1.99649e-13
"54",0
"55",-0.0139267
"56",-0.000825372
"57",-0.00260467
"58",-0.00487133
"59",-0.00458103
"60",-0.00916282
"61",0.221844
"62",-0.0822286
"63",-0.194647
"64",-0.391843
"65",-0.343504
"66",-0.953985
"67",-0.982456
"68",-0.382535
"69",-0.478833
"70",-0.402627
"71",0.965136
"72",0.0894173
"73",2.05862
"74",1.11914
"75",1.13948
"76",-0.180469
"77",0.253424
"78",-0.061922
"79",-0.0151785
"80",-0.00208664
"81",-8.23628e-05
"82",-0.013759
"83",-0.00197604
"84",-0.00231224
"85",-0.00411891
"86",-0.00508387
"87",-0.0107783
"88",-0.0349782
"89",-0.103328
"90",-0.232189
"91",-0.500396
"92",-0.710861
"93",-0.552945
"94",-0.236735
"95",-0.00468768
"96",0.611596
"97",1.03404
"98",-0.18095
"99",-0.0704971
"100",0.564847
"101",-0.00461438
"102",0.321858
"103",0.71237
"104",-2.1247e-07
"105",-2.9428e-09
"106",-2.78452e-11
"107",-1.53264e-13
"108",8.65167e-19
"109",-0.00797461
"110",-0.00108085
"111",-0.00517297
"112",-0.00873225
"113",-0.00786524
"114",-0.010505
"115",0.134991
"116",-0.0758364
"117",-0.15343
"118",-0.141016
"119",-0.471274
"120",-0.786375
"121",-0.693541
"122",-0.409443
"123",-0.17461
"124",0.882545
"125",0.517747
"126",0.763567
"127",0.43316
"128",0.48605
"129",0.0772137
"130",0.0719933
"131",-0.136688
"132",-0.0584856
"133",-0.0144482
"134",-0.00204011
"135",-8.26989e-05
"136",-0.00789007
"137",-0.00184125
"138",-0.00465936
"139",-0.00747603
"140",-0.00840339
"141",-0.0129567
"142",-0.0327961
"143",-0.0859976
"144",0.0328284
"145",-0.345309
"146",-0.603715
"147",-0.63342
"148",-0.116855
"149",0.395019
"150",0.225952
"151",0.277422
"152",0.0398577
"153",0.407914
"154",0.150041
"155",0.936724
"156",23.8025
"157",0.311646
"158",1.13335
"159",-2.49857e-09
"160",-2.41145e-11
"161",-1.37585e-13
"162",1.58857e-18
"163",-0.00430841
"164",-0.000441627
"165",-0.00250201
"166",-0.00459119
"167",-0.00505467
"168",-0.0139911
"169",-0.0464252
"170",-0.0999529
"171",-0.162693
"172",-0.229649
"173",-0.240485
"174",-0.487973
"175",-0.584322
"176",-0.740086
"177",0.225838
"178",1.46125
"179",0.281772
"180",0.461784
"181",-0.166692
"182",0.241904
"183",0.215494
"184",-0.298174
"185",-0.155848
"186",-0.0513888
"187",-0.012838
"188",-0.00189226
"189",-8.00388e-05
"190",-0.00425708
"191",-0.000801822
"192",-0.00226727
"193",-0.00406677
"194",-0.00571443
"195",-0.0142248
"196",-0.0424519
"197",-0.0981316
"198",-0.186719
"199",-0.325489
"200",-0.592739
"201",-0.295398
"202",0.162025
"203",0.522326
"204",-0.42734
"205",-0.317407
"206",-0.151569
"207",0.021113
"208",-0.0172945
"209",0.0402018
"210",-0.000260543
"211",-8.1104e-06
"212",-1.67697e-07
"213",-2.39166e-09
"214",-2.35471e-11
"215",-1.25113e-13
"216",0
"217",-0.004817
"218",-0.000325251
"219",-0.00192166
"220",-0.00381888
"221",-0.0041978
"222",-0.01277
"223",-0.0470763
"224",-0.0801463
"225",-0.288472
"226",-0.525469
"227",-0.605511
"228",-0.527134
"229",-0.56782
"230",-0.782763
"231",-0.019758
"232",0.0965669
"233",0.919239
"234",1.93087
"235",1.58061
"236",0.372832
"237",-0.00252133
"238",-0.130266
"239",-0.219011
"240",0.340932
"241",-0.018352
"242",-0.00276411
"243",-0.000118741
"244",-0.0047515
"245",-0.000649187
"246",-0.00171946
"247",-0.00333425
"248",-0.00498654
"249",-0.0144064
"250",-0.049866
"251",-0.0347179
"252",-0.301385
"253",-0.422178
"254",-0.685609
"255",-0.709858
"256",-0.261563
"257",-0.135522
"258",-0.399799
"259",-0.319708
"260",-0.198715
"261",-0.0688988
"262",-0.0247802
"263",-0.00532432
"264",-0.000408323
"265",-1.32258e-05
"266",-2.82339e-07
"267",-4.14022e-09
"268",-4.17471e-11
"269",-2.6743e-13
"270",9.13268e-19
"271",-0.00608648
"272",-0.000290176
"273",-0.00143884
"274",-0.00295246
"275",-0.00298976
"276",-0.00838784
"277",-0.0319738
"278",-0.0904371
"279",-0.211976
"280",-0.445535
"281",-0.751147
"282",-0.878432
"283",-0.793716
"284",-0.684653
"285",-0.518417
"286",-0.445923
"287",1.17505
"288",2.42563
"289",1.49984
"290",1.16035
"291",0.884472
"292",0.403953
"293",-0.196912
"294",0.00554565
"295",6.80783
"296",-0.00277912
"297",-0.000116247
"298",-0.00600242
"299",-0.000661473
"300",-0.00126883
"301",-0.00249261
"302",-0.00351465
"303",-0.00999165
"304",-0.0366123
"305",-0.105034
"306",-0.270457
"307",-0.530544
"308",-0.735816
"309",-0.643001
"310",-0.797371
"311",-0.314976
"312",-0.35623
"313",-0.318009
"314",-0.201514
"315",0.496992
"316",1.41825
"317",0.122089
"318",0.0448737
"319",0.31292
"320",-2.85953e-07
"321",-4.12788e-09
"322",-4.0665e-11
"323",-2.44369e-13
"324",9.30665e-19
"325",-0.0422941
"326",-0.00275436
"327",-0.00283507
"328",-0.00555217
"329",-0.00513279
"330",-0.0102654
"331",-0.0373247
