"Label","logR0=9.5","logR0=9.75","logR0=10","logR0=10.25","logR0=10.5","logR0=10.75"
"N.Parms",106,106,106,106,106,106
"TOTAL",2638.2,2634.39,2633.07,2633.72,2635.82,2638.77
"Survey",30.541,29.3065,29.2163,29.9858,31.3183,32.9067
"Length_comp",569.843,569.091,569.205,570.272,572.219,574.874
"Age_comp",2012.2,2011.76,2011.16,2010.31,2009.19,2007.81
"Recruitment",25.4902,24.2259,23.4662,23.0503,22.8514,22.773
"Parm_priors",0.116133,0.00838085,0.017032,0.105351,0.240497,0.393242
"NatM_uniform_Fem_GP_1",0.132874,0.148216,0.16337,0.177879,0.191292,0.203105
"L_at_Amax_Fem_GP_1",47.9122,47.9066,47.9011,47.8981,47.8981,47.9014
"VonBert_K_Fem_GP_1",0.197603,0.19728,0.196978,0.196711,0.196497,0.196351
"CV_young_Fem_GP_1",0.105573,0.105287,0.105054,0.104886,0.104783,0.104741
"CV_old_Fem_GP_1",0.0381182,0.0383719,0.0386155,0.0388022,0.0389209,0.0389658
"NatM_uniform_Mal_GP_1",0.362135,0.312768,0.270559,0.234926,0.205527,0.18229
"L_at_Amax_Mal_GP_1",-0.326088,-0.32716,-0.328154,-0.328871,-0.329271,-0.329334
"VonBert_K_Mal_GP_1",0.525768,0.525897,0.52629,0.526198,0.525479,0.52405
"CV_young_Mal_GP_1",0.235565,0.236129,0.235892,0.235664,0.235746,0.236369
"SR_LN(R0)",9.5,9.75,10,10.25,10.5,10.75
"Q_extraSD_CalCOFI_Survey(11)",0.312233,0.32967,0.351965,0.375794,0.399031,0.42006
"Size_DblN_peak_NoCA_HKL(1)",40.9256,40.9908,40.9823,40.8615,40.6255,40.2896
"Size_DblN_ascend_se_NoCA_HKL(1)",4.42998,4.41937,4.40213,4.37482,4.33748,4.29171
"Size_DblN_peak_SoCA_HKL(2)",23.6945,23.7443,23.7933,23.8389,23.8791,23.9124
"Size_DblN_peak_CA_TWL(3)",44.6108,44.7355,44.8849,45.0359,45.1688,45.2663
"Size_DblN_ascend_se_CA_TWL(3)",4.56907,4.56098,4.5566,4.5547,4.55418,4.55417
"Size_DblN_peak_OR_WA_Comm(4)",41.5664,42.0742,42.6638,43.3621,44.19,45.1146
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.47392,4.5089,4.55225,4.60815,4.67877,4.75945
"Size_DblN_peak_CA_NET(5)",47.1671,47.0948,47.0045,46.8797,46.7154,46.5135
"Size_DblN_ascend_se_CA_NET(5)",4.45616,4.44205,4.42751,4.41231,4.39654,4.38056
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",43.3427,43.6241,43.8673,44.0461,44.1305,44.1021
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.14303,5.14095,5.13682,5.13036,5.12037,5.10644
"Size_DblN_peak_SoCA_Rec(7)",24.5432,24.6208,24.6983,24.7715,24.8363,24.8894
"Size_DblN_ascend_se_SoCA_Rec(7)",2.89377,2.90797,2.92209,2.9352,2.94636,2.95502
"Size_DblN_descend_se_SoCA_Rec(7)",3.4067,3.36911,3.32416,3.27744,3.23401,3.19857
"Size_DblN_end_logit_SoCA_Rec(7)",-1.32226,-1.22215,-1.1239,-1.03383,-0.956869,-0.897507
"Size_DblN_peak_TWL_discard(8)",29.2998,29.4207,29.5373,29.6506,29.7465,29.8215
"Size_DblN_ascend_se_TWL_discard(8)",4.15643,4.16148,4.16617,4.17112,4.17427,4.17564
"Size_DblN_descend_se_TWL_discard(8)",3.22045,3.20779,3.19501,3.18027,3.16725,3.15643
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",51.8459,51.7223,51.6174,51.509,51.403,51.2827
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.18265,4.16985,4.1583,4.14682,4.13697,4.1275
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",49.1145,48.9994,48.8525,48.637,48.3894,48.1279
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.86852,4.8482,4.82704,4.8032,4.78044,4.76062
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",33.3805,33.556,33.7698,33.9107,33.9751,33.9573
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.21293,3.24439,3.28599,3.3087,3.31407,3.30216
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",30.4463,30.5471,30.6631,30.7764,30.8766,30.9519
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.73026,3.73896,3.75038,3.76114,3.76973,3.77449
"Bratio_2025",0.601233,0.717135,0.820552,0.906357,0.971992,1.01691
"SSB_unfished",10866.5,11247.3,11830.7,12687.7,13908.9,15633.8
"Totbio_unfished",43339.9,46830.6,51376.2,57343.5,65205.8,75658.3
"Recr_unfished",13359.7,17154.2,22026.5,28282.5,36315.5,46630
"Dead_Catch_SPR",1494.39,1753.12,2068.7,2460.07,2952.34,3580.91
"OFLCatch_2025",1875.88,2599.95,3490.98,4572.79,5877.12,7448.04
