"Reference Points","Estimate","Lower Interval","Upper Interval"
"Unfished Spawning output","11922.2","11922.2","11922.2"
"Unfished Age 10+ Biomass (mt)","24996.1","24996.1","24996.1"
"Unfished Recruitment (R0)","22733.4","22733.4","22733.4"
"2025 Spawning output","9924.89","9924.89","9924.89"
"2025 Fraction Unfished","0.83247","0.83247","0.83247"
"Reference Points Based SO40\%","","",""
"Proxy Spawning output SO40\%","4768.89","4768.89","4768.89"
"SPR Resulting in SO40\%","0.458333","0.458333","0.458333"
"Exploitation Rate Resulting in SO40\%","0.312138","0.312138","0.312138"
"Yield with SPR Based On SO40\% (mt)","2229.59","2229.59","2229.59"
"Reference Points Based on SPR Proxy for MSY","","",""
"Proxy Spawning output (SPR50)","5319.15","5319.15","5319.15"
"SPR50","0.5","",""
"Exploitation Rate Corresponding to SPR50","0.251571","0.251571","0.251571"
"Yield with SPR50 at SO SPR (mt)","2113.52","2113.52","2113.52"
"Reference Points Based on Estimated MSY Values","","",""
"Spawning output at MSY (SO MSY)","3055.54","3055.54","3055.54"
"SPR MSY","0.328595","0.328595","0.328595"
"Exploitation Rate Corresponding to SPR MSY","0.680533","0.680533","0.680533"
"MSY (mt)","2420.62","2420.62","2420.62"
