"Label","h=0.72, female M = male M","h=0.72, sex-specific M (base)","est.h, sex-specific M"
"N.Parms",105,106,107
"TOTAL",2654.44,2633.05,2628.74
"Survey",32.528,29.2722,23.765
"Length_comp",582.19,569.289,569.496
"Age_comp",2016.01,2011.06,2009.56
"Recruitment",23.0631,23.3966,24.2116
"Parm_priors",0.645681,0.0245204,1.70941
"NatM_uniform_Fem_GP_1",0.219441,0.165249,0.175467
"L_at_Amax_Fem_GP_1",47.6498,47.9006,47.8696
"VonBert_K_Fem_GP_1",0.198229,0.196942,0.197098
"CV_young_Fem_GP_1",0.101589,0.105029,0.104638
"CV_old_Fem_GP_1",0.0423663,0.0386426,0.0390355
"NatM_uniform_Mal_GP_1",0,0.265697,0.244333
"L_at_Amax_Mal_GP_1",-0.337546,-0.32826,-0.32832
"VonBert_K_Mal_GP_1",0.562079,0.526306,0.526568
"CV_young_Mal_GP_1",0.220773,0.235858,0.237421
"SR_LN(R0)",10.7547,10.0316,10.4138
"SR_BH_steep",0.72,0.72,0.383418
"Q_extraSD_CalCOFI_Survey(11)",0.42333,0.35495,0.291434
"Size_DblN_peak_NoCA_HKL(1)",44.2705,40.9735,41.1303
"Size_DblN_ascend_se_NoCA_HKL(1)",4.65521,4.39925,4.41484
"Size_DblN_peak_SoCA_HKL(2)",23.9357,23.7993,23.832
"Size_DblN_peak_CA_TWL(3)",46.7756,44.9044,45.2034
"Size_DblN_ascend_se_CA_TWL(3)",4.59268,4.55625,4.57017
"Size_DblN_peak_OR_WA_Comm(4)",57.4522,42.7525,43.5867
"Size_DblN_ascend_se_OR_WA_Comm(4)",5.52177,4.55947,4.63675
"Size_DblN_peak_CA_NET(5)",48.1337,46.9908,46.9943
"Size_DblN_ascend_se_CA_NET(5)",4.41656,4.42563,4.42249
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",48.886,43.8942,44.255
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.35464,5.13617,5.15436
"Size_DblN_peak_SoCA_Rec(7)",24.87,24.7079,24.7589
"Size_DblN_ascend_se_SoCA_Rec(7)",2.97066,2.92383,2.93337
"Size_DblN_descend_se_SoCA_Rec(7)",2.77095,3.31823,3.27113
"Size_DblN_end_logit_SoCA_Rec(7)",-0.637521,-1.11196,-1.05218
"Size_DblN_peak_TWL_discard(8)",29.5355,29.5523,29.6259
"Size_DblN_ascend_se_TWL_discard(8)",4.16959,4.16685,4.17139
"Size_DblN_descend_se_TWL_discard(8)",3.33567,3.19313,3.18172
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",52.5355,51.6041,51.2498
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.15543,4.15685,4.1295
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",56.635,48.8295,48.8107
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",5.2268,4.8242,4.81848
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",37.7027,33.7915,33.8755
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",4.03537,3.28981,3.30707
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",32.0522,30.6778,30.6
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.97672,3.75181,3.73485
"Bratio_2025",0.999818,0.83247,0.473065
"SSB_unfished",13005.8,11922.2,15373
"Totbio_unfished",72246.8,52043.2,68964.7
"Recr_unfished",46848.1,22733.5,33316.1
"Dead_Catch_SPR",3546.77,2113.52,1076.64
"OFLCatch_2025",7732.73,3616.72,2870.29
