"Label","McAllister-Ianelli data weighting","Base; Francis tuning"
"N.Parms",106,106
"TOTAL",3623.83,2633.05
"Survey",36.2255,29.2722
"Length_comp",1654.71,569.289
"Age_comp",1910.96,2011.06
"Recruitment",21.9256,23.3966
"Parm_priors",0.000250963,0.0245204
"NatM_uniform_Fem_GP_1",0.153218,0.165249
"L_at_Amax_Fem_GP_1",47.0959,47.9006
"VonBert_K_Fem_GP_1",0.20353,0.196942
"CV_young_Fem_GP_1",0.100323,0.105029
"CV_old_Fem_GP_1",0.0475557,0.0386426
"NatM_uniform_Mal_GP_1",0.24482,0.265697
"L_at_Amax_Mal_GP_1",-0.317505,-0.32826
"VonBert_K_Mal_GP_1",0.473468,0.526306
"CV_young_Mal_GP_1",0.142515,0.235858
"SR_LN(R0)",9.941,10.0316
"Q_extraSD_CalCOFI_Survey(11)",0.356002,0.35495
"Size_DblN_peak_NoCA_HKL(1)",42.0558,40.9735
"Size_DblN_ascend_se_NoCA_HKL(1)",4.51391,4.39925
"Size_DblN_peak_SoCA_HKL(2)",23.8763,23.7993
"Size_DblN_peak_CA_TWL(3)",45.2016,44.9044
"Size_DblN_ascend_se_CA_TWL(3)",4.60909,4.55625
"Size_DblN_peak_OR_WA_Comm(4)",43.2417,42.7525
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.59133,4.55947
"Size_DblN_peak_CA_NET(5)",47.8225,46.9908
"Size_DblN_ascend_se_CA_NET(5)",4.47855,4.42563
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",45.9219,43.8942
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.28858,5.13617
"Size_DblN_peak_SoCA_Rec(7)",24.5543,24.7079
"Size_DblN_ascend_se_SoCA_Rec(7)",2.92548,2.92383
"Size_DblN_descend_se_SoCA_Rec(7)",3.21763,3.31823
"Size_DblN_end_logit_SoCA_Rec(7)",-1.1066,-1.11196
"Size_DblN_peak_TWL_discard(8)",29.5109,29.5523
"Size_DblN_ascend_se_TWL_discard(8)",4.23911,4.16685
"Size_DblN_descend_se_TWL_discard(8)",3.24811,3.19313
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",53.4308,51.6041
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.28676,4.15685
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",54.9472,48.8295
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",5.22528,4.8242
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",34.5072,33.7915
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.44614,3.28981
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",30.6093,30.6778
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.7488,3.75181
"Bratio_2025",0.794961,0.83247
"SSB_unfished",12156.1,11922.2
"Totbio_unfished",53199.6,52043.2
"Recr_unfished",20764.5,22733.5
"Dead_Catch_SPR",2053.78,2113.52
"OFLCatch_2025",3412.55,3616.72
