Year,(1-SPR)/(1-SPR50%),Lower Interval (SPR),Upper Interval (SPR),Exploitation Rate,Lower Interval (Rate),Upper Interval (Rate)
2015,0.127065,0.127065,0.127065,0.00556969,0.00556969,0.00556969
2016,0.0528872,0.0528872,0.0528872,0.00200886,0.00200886,0.00200886
2017,0.114915,0.114915,0.114915,0.00476791,0.00476791,0.00476791
2018,0.169852,0.169852,0.169852,0.00750127,0.00750127,0.00750127
2019,0.243637,0.243637,0.243637,0.0120112,0.0120112,0.0120112
2020,0.274102,0.274102,0.274102,0.0144518,0.0144518,0.0144518
2021,0.305384,0.305384,0.305384,0.0170556,0.0170556,0.0170556
2022,0.311928,0.311928,0.311928,0.0182693,0.0182693,0.0182693
2023,0.446026,0.446026,0.446026,0.0282191,0.0282191,0.0282191
2024,0.447277,0.447277,0.447277,0.0276529,0.0276529,0.0276529
